[2025-07-12T00:19:55.491Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=ac6b16e4-d73f-42c4-bdd1-2f6297103ddc&response_mode=fragment&response_type=code&scope=openid&nonce=6abcb48e-27f8-4f5a-b967-2dfe23341641 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:19:55.493Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=ac6b16e4-d73f-42c4-bdd1-2f6297103ddc&response_mode=fragment&response_type=code&scope=openid&nonce=6abcb48e-27f8-4f5a-b967-2dfe23341641 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:19:57.627Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk4OTYsImlhdCI6MTc1MjI3OTU5NiwiYXV0aF90aW1lIjoxNzUyMjc5NTk1LCJqdGkiOiI3NzM5OWE3NS0zOTY2LTQ5OTktOTg5ZC0yMjM5Yzg2NWUxYTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.F0s1ZXgCjrq3ft-9SGMJ0TyxMApykxHotP_VUHjUrRXsVNJLvpU6NwA9bo-SCZGrPKGkE73VSwE3Rc6Kg8p-ceKRgC7zLqmFfNtDiEG_-SA1or9m0vepM-fOeDdXhceOa_oCje-QDL8_pT2OTcD4IwwtVcp_Fotl6I2W8xmsegwoR_9nK7sHVFqrD_Wr0wVZ9xRj07u6D0gb-yZNfLa1wJywd0Fa9k-UXSBXIvKWYlJFhCDe_-0UEFU7sIw-iuqi9t_YwezlxN0G7Dbtr86NGk4p2wx8xSkCYLLzFUfFsO1Ik8wNl1Qud3rn0ysV005WS0jFTODFM13RYk2TJsCohQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:19:59.638Z] [INFO] http://localhost:81/ui/static/js/main.9990e67b.js 1:3172772 "Field with key = customFieldAdditional was not found on left side of pickMap. Autocomplete will show values without filtration"

[2025-07-12T00:19:59.651Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk4OTYsImlhdCI6MTc1MjI3OTU5NiwiYXV0aF90aW1lIjoxNzUyMjc5NTk1LCJqdGkiOiI3NzM5OWE3NS0zOTY2LTQ5OTktOTg5ZC0yMjM5Yzg2NWUxYTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.F0s1ZXgCjrq3ft-9SGMJ0TyxMApykxHotP_VUHjUrRXsVNJLvpU6NwA9bo-SCZGrPKGkE73VSwE3Rc6Kg8p-ceKRgC7zLqmFfNtDiEG_-SA1or9m0vepM-fOeDdXhceOa_oCje-QDL8_pT2OTcD4IwwtVcp_Fotl6I2W8xmsegwoR_9nK7sHVFqrD_Wr0wVZ9xRj07u6D0gb-yZNfLa1wJywd0Fa9k-UXSBXIvKWYlJFhCDe_-0UEFU7sIw-iuqi9t_YwezlxN0G7Dbtr86NGk4p2wx8xSkCYLLzFUfFsO1Ik8wNl1Qud3rn0ysV005WS0jFTODFM13RYk2TJsCohQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:20:01.817Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk4OTYsImlhdCI6MTc1MjI3OTU5NiwiYXV0aF90aW1lIjoxNzUyMjc5NTk1LCJqdGkiOiI3NzM5OWE3NS0zOTY2LTQ5OTktOTg5ZC0yMjM5Yzg2NWUxYTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.F0s1ZXgCjrq3ft-9SGMJ0TyxMApykxHotP_VUHjUrRXsVNJLvpU6NwA9bo-SCZGrPKGkE73VSwE3Rc6Kg8p-ceKRgC7zLqmFfNtDiEG_-SA1or9m0vepM-fOeDdXhceOa_oCje-QDL8_pT2OTcD4IwwtVcp_Fotl6I2W8xmsegwoR_9nK7sHVFqrD_Wr0wVZ9xRj07u6D0gb-yZNfLa1wJywd0Fa9k-UXSBXIvKWYlJFhCDe_-0UEFU7sIw-iuqi9t_YwezlxN0G7Dbtr86NGk4p2wx8xSkCYLLzFUfFsO1Ik8wNl1Qud3rn0ysV005WS0jFTODFM13RYk2TJsCohQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:20:03.837Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk4OTYsImlhdCI6MTc1MjI3OTU5NiwiYXV0aF90aW1lIjoxNzUyMjc5NTk1LCJqdGkiOiI3NzM5OWE3NS0zOTY2LTQ5OTktOTg5ZC0yMjM5Yzg2NWUxYTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.F0s1ZXgCjrq3ft-9SGMJ0TyxMApykxHotP_VUHjUrRXsVNJLvpU6NwA9bo-SCZGrPKGkE73VSwE3Rc6Kg8p-ceKRgC7zLqmFfNtDiEG_-SA1or9m0vepM-fOeDdXhceOa_oCje-QDL8_pT2OTcD4IwwtVcp_Fotl6I2W8xmsegwoR_9nK7sHVFqrD_Wr0wVZ9xRj07u6D0gb-yZNfLa1wJywd0Fa9k-UXSBXIvKWYlJFhCDe_-0UEFU7sIw-iuqi9t_YwezlxN0G7Dbtr86NGk4p2wx8xSkCYLLzFUfFsO1Ik8wNl1Qud3rn0ysV005WS0jFTODFM13RYk2TJsCohQ' failed: Establishing a tunnel via proxy server failed.
