[2025-07-12T00:42:31.135Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=82dd34aa-be90-4c50-b624-7d12357ddb5e&response_mode=fragment&response_type=code&scope=openid&nonce=f5c6ae66-c364-4301-aaf7-afaa723254f1 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:42:31.136Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=82dd34aa-be90-4c50-b624-7d12357ddb5e&response_mode=fragment&response_type=code&scope=openid&nonce=f5c6ae66-c364-4301-aaf7-afaa723254f1 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:42:33.745Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEyNTIsImlhdCI6MTc1MjI4MDk1MiwiYXV0aF90aW1lIjoxNzUyMjgwOTUxLCJqdGkiOiI2NTE2NTQzMi1lZjg0LTQxMmYtYTQ0Yy0xNGE1MzIzYTYxZGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.U1UzU2ehSgJ_I7AvHkZsbr8br4fNz7Yn_rUgzmWXSqFV6aVV2ANYjquNobqo1IAX7omHNJriZ_9FAElEMGLr31lGEVTe14EWG8vwxKZ4UpQgpWlpeaJATqKanrwEIK-onKhZhM7_WaSBqoHX2LlqNjDngJQ62AN8QDfY98jZmEvO6SFz9CiqR65pxNfEVfhX_6QWV1QChPOxmGP7zyGqMTAzbL3dLp8H91VtvOjqhnXLGcu8zGNboOCJg6fred-Vi9whQDsECioP2fz-HFYFZWjQVTt18hE4DlqBcmLNvtG3Xpomzsiz3yi4eEyXxQNI4NSoVkDcLXVd0NnDNAcTTA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:42:35.751Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEyNTIsImlhdCI6MTc1MjI4MDk1MiwiYXV0aF90aW1lIjoxNzUyMjgwOTUxLCJqdGkiOiI2NTE2NTQzMi1lZjg0LTQxMmYtYTQ0Yy0xNGE1MzIzYTYxZGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.U1UzU2ehSgJ_I7AvHkZsbr8br4fNz7Yn_rUgzmWXSqFV6aVV2ANYjquNobqo1IAX7omHNJriZ_9FAElEMGLr31lGEVTe14EWG8vwxKZ4UpQgpWlpeaJATqKanrwEIK-onKhZhM7_WaSBqoHX2LlqNjDngJQ62AN8QDfY98jZmEvO6SFz9CiqR65pxNfEVfhX_6QWV1QChPOxmGP7zyGqMTAzbL3dLp8H91VtvOjqhnXLGcu8zGNboOCJg6fred-Vi9whQDsECioP2fz-HFYFZWjQVTt18hE4DlqBcmLNvtG3Xpomzsiz3yi4eEyXxQNI4NSoVkDcLXVd0NnDNAcTTA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:42:37.755Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEyNTIsImlhdCI6MTc1MjI4MDk1MiwiYXV0aF90aW1lIjoxNzUyMjgwOTUxLCJqdGkiOiI2NTE2NTQzMi1lZjg0LTQxMmYtYTQ0Yy0xNGE1MzIzYTYxZGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.U1UzU2ehSgJ_I7AvHkZsbr8br4fNz7Yn_rUgzmWXSqFV6aVV2ANYjquNobqo1IAX7omHNJriZ_9FAElEMGLr31lGEVTe14EWG8vwxKZ4UpQgpWlpeaJATqKanrwEIK-onKhZhM7_WaSBqoHX2LlqNjDngJQ62AN8QDfY98jZmEvO6SFz9CiqR65pxNfEVfhX_6QWV1QChPOxmGP7zyGqMTAzbL3dLp8H91VtvOjqhnXLGcu8zGNboOCJg6fred-Vi9whQDsECioP2fz-HFYFZWjQVTt18hE4DlqBcmLNvtG3Xpomzsiz3yi4eEyXxQNI4NSoVkDcLXVd0NnDNAcTTA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:42:39.759Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEyNTIsImlhdCI6MTc1MjI4MDk1MiwiYXV0aF90aW1lIjoxNzUyMjgwOTUxLCJqdGkiOiI2NTE2NTQzMi1lZjg0LTQxMmYtYTQ0Yy0xNGE1MzIzYTYxZGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.U1UzU2ehSgJ_I7AvHkZsbr8br4fNz7Yn_rUgzmWXSqFV6aVV2ANYjquNobqo1IAX7omHNJriZ_9FAElEMGLr31lGEVTe14EWG8vwxKZ4UpQgpWlpeaJATqKanrwEIK-onKhZhM7_WaSBqoHX2LlqNjDngJQ62AN8QDfY98jZmEvO6SFz9CiqR65pxNfEVfhX_6QWV1QChPOxmGP7zyGqMTAzbL3dLp8H91VtvOjqhnXLGcu8zGNboOCJg6fred-Vi9whQDsECioP2fz-HFYFZWjQVTt18hE4DlqBcmLNvtG3Xpomzsiz3yi4eEyXxQNI4NSoVkDcLXVd0NnDNAcTTA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:42:41.785Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEyNTIsImlhdCI6MTc1MjI4MDk1MiwiYXV0aF90aW1lIjoxNzUyMjgwOTUxLCJqdGkiOiI2NTE2NTQzMi1lZjg0LTQxMmYtYTQ0Yy0xNGE1MzIzYTYxZGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.U1UzU2ehSgJ_I7AvHkZsbr8br4fNz7Yn_rUgzmWXSqFV6aVV2ANYjquNobqo1IAX7omHNJriZ_9FAElEMGLr31lGEVTe14EWG8vwxKZ4UpQgpWlpeaJATqKanrwEIK-onKhZhM7_WaSBqoHX2LlqNjDngJQ62AN8QDfY98jZmEvO6SFz9CiqR65pxNfEVfhX_6QWV1QChPOxmGP7zyGqMTAzbL3dLp8H91VtvOjqhnXLGcu8zGNboOCJg6fred-Vi9whQDsECioP2fz-HFYFZWjQVTt18hE4DlqBcmLNvtG3Xpomzsiz3yi4eEyXxQNI4NSoVkDcLXVd0NnDNAcTTA' failed: Establishing a tunnel via proxy server failed.
