[2025-07-11T23:57:29.869Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=8b899b8c-2a50-462f-8022-b7355e05787f&response_mode=fragment&response_type=code&scope=openid&nonce=058ce4df-bfe8-4b54-b20f-99f261db447f - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-11T23:57:29.871Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=8b899b8c-2a50-462f-8022-b7355e05787f&response_mode=fragment&response_type=code&scope=openid&nonce=058ce4df-bfe8-4b54-b20f-99f261db447f - Autofocus processing was blocked because a document already has a focused element.

[2025-07-11T23:57:32.372Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzg1NTEsImlhdCI6MTc1MjI3ODI1MSwiYXV0aF90aW1lIjoxNzUyMjc4MjUwLCJqdGkiOiIzODQ0MTc0MS03NjYxLTQwMGQtODdjYS03Mzg4YjI4MjM1NjgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Gxnehf6uR1RAv50dfZfHIIbLwN8bqdUHUV5-dS6xzaOB7y3JoP947AU_ifVCKwV79HE6p7uwcsAzOqZC5VEkYb24UQ2fRsWjrJwkiTsnvtZh7SRAh1gE2SfwWh2_HsD66EfIPwDzpr56hKacNy7wMq18ByNBlEIXWDldUpOn8C_3r6KT9RRiiu9dB8ncwBMPe2S8afb9_neLCDD8rnbSvupHANEpWRncLXnuWdjXS1atSofvZWsaZJP7MSagjUrdmIgf4NIo1-VbrV43ZUWw3cRuxfa2tfIx-P4uVIRPQrWx5pBvzaUKXYInyCRaMlqUtP53G6lqmME1Dtp3SvQKaA' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:57:34.179Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzg1NTEsImlhdCI6MTc1MjI3ODI1MSwiYXV0aF90aW1lIjoxNzUyMjc4MjUwLCJqdGkiOiIzODQ0MTc0MS03NjYxLTQwMGQtODdjYS03Mzg4YjI4MjM1NjgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Gxnehf6uR1RAv50dfZfHIIbLwN8bqdUHUV5-dS6xzaOB7y3JoP947AU_ifVCKwV79HE6p7uwcsAzOqZC5VEkYb24UQ2fRsWjrJwkiTsnvtZh7SRAh1gE2SfwWh2_HsD66EfIPwDzpr56hKacNy7wMq18ByNBlEIXWDldUpOn8C_3r6KT9RRiiu9dB8ncwBMPe2S8afb9_neLCDD8rnbSvupHANEpWRncLXnuWdjXS1atSofvZWsaZJP7MSagjUrdmIgf4NIo1-VbrV43ZUWw3cRuxfa2tfIx-P4uVIRPQrWx5pBvzaUKXYInyCRaMlqUtP53G6lqmME1Dtp3SvQKaA' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:57:36.256Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzg1NTEsImlhdCI6MTc1MjI3ODI1MSwiYXV0aF90aW1lIjoxNzUyMjc4MjUwLCJqdGkiOiIzODQ0MTc0MS03NjYxLTQwMGQtODdjYS03Mzg4YjI4MjM1NjgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Gxnehf6uR1RAv50dfZfHIIbLwN8bqdUHUV5-dS6xzaOB7y3JoP947AU_ifVCKwV79HE6p7uwcsAzOqZC5VEkYb24UQ2fRsWjrJwkiTsnvtZh7SRAh1gE2SfwWh2_HsD66EfIPwDzpr56hKacNy7wMq18ByNBlEIXWDldUpOn8C_3r6KT9RRiiu9dB8ncwBMPe2S8afb9_neLCDD8rnbSvupHANEpWRncLXnuWdjXS1atSofvZWsaZJP7MSagjUrdmIgf4NIo1-VbrV43ZUWw3cRuxfa2tfIx-P4uVIRPQrWx5pBvzaUKXYInyCRaMlqUtP53G6lqmME1Dtp3SvQKaA' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:57:38.302Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzg1NTEsImlhdCI6MTc1MjI3ODI1MSwiYXV0aF90aW1lIjoxNzUyMjc4MjUwLCJqdGkiOiIzODQ0MTc0MS03NjYxLTQwMGQtODdjYS03Mzg4YjI4MjM1NjgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Gxnehf6uR1RAv50dfZfHIIbLwN8bqdUHUV5-dS6xzaOB7y3JoP947AU_ifVCKwV79HE6p7uwcsAzOqZC5VEkYb24UQ2fRsWjrJwkiTsnvtZh7SRAh1gE2SfwWh2_HsD66EfIPwDzpr56hKacNy7wMq18ByNBlEIXWDldUpOn8C_3r6KT9RRiiu9dB8ncwBMPe2S8afb9_neLCDD8rnbSvupHANEpWRncLXnuWdjXS1atSofvZWsaZJP7MSagjUrdmIgf4NIo1-VbrV43ZUWw3cRuxfa2tfIx-P4uVIRPQrWx5pBvzaUKXYInyCRaMlqUtP53G6lqmME1Dtp3SvQKaA' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:57:40.365Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzg1NTEsImlhdCI6MTc1MjI3ODI1MSwiYXV0aF90aW1lIjoxNzUyMjc4MjUwLCJqdGkiOiIzODQ0MTc0MS03NjYxLTQwMGQtODdjYS03Mzg4YjI4MjM1NjgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Gxnehf6uR1RAv50dfZfHIIbLwN8bqdUHUV5-dS6xzaOB7y3JoP947AU_ifVCKwV79HE6p7uwcsAzOqZC5VEkYb24UQ2fRsWjrJwkiTsnvtZh7SRAh1gE2SfwWh2_HsD66EfIPwDzpr56hKacNy7wMq18ByNBlEIXWDldUpOn8C_3r6KT9RRiiu9dB8ncwBMPe2S8afb9_neLCDD8rnbSvupHANEpWRncLXnuWdjXS1atSofvZWsaZJP7MSagjUrdmIgf4NIo1-VbrV43ZUWw3cRuxfa2tfIx-P4uVIRPQrWx5pBvzaUKXYInyCRaMlqUtP53G6lqmME1Dtp3SvQKaA' failed: Establishing a tunnel via proxy server failed.
