[2025-07-12T01:05:02.427Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=7348d644-29fc-4aac-86b3-305a02cdb913&response_mode=fragment&response_type=code&scope=openid&nonce=801d2a68-8b2c-4f1e-8d7c-27c7bb5073fb - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T01:05:02.428Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=7348d644-29fc-4aac-86b3-305a02cdb913&response_mode=fragment&response_type=code&scope=openid&nonce=801d2a68-8b2c-4f1e-8d7c-27c7bb5073fb - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T01:05:04.676Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI2MDMsImlhdCI6MTc1MjI4MjMwMywiYXV0aF90aW1lIjoxNzUyMjgyMzAyLCJqdGkiOiJlMjcyYzc5Yi1kYmE4LTRkNzMtYmJkOS00ZGZjMTYyNWIyMWMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.WdUb7pM107TeOhGuPTCNripYgzMjl0IiBJUGcLKKCkgJjVucB0y9sUfrbHKSra8MpHzlne9JOxhEX-EzpDBMgYk6lSHXQkbJdcwUV9GGyH9HOXZAFshaFzT-eGygtV3unblipZhn6ZygbOrvJqSfJbCnd-8d7qjkFK_wZTY6g-D7Vtavmc5uVD0O-0EPwj0lvNEU9aHTggDBMrLAM4n53PqITV1FBg9hg2BT7vqlnytmC112aUaYdyP_JTb2PibflpyJxJnKOawT5dYDaRxbCyqFCOaDpq-TLQfI1bY4SmXRbYA19D2rKU-FHiAjadStwN7vEDZYPmHM4zoU-rFvIQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:05:06.713Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI2MDMsImlhdCI6MTc1MjI4MjMwMywiYXV0aF90aW1lIjoxNzUyMjgyMzAyLCJqdGkiOiJlMjcyYzc5Yi1kYmE4LTRkNzMtYmJkOS00ZGZjMTYyNWIyMWMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.WdUb7pM107TeOhGuPTCNripYgzMjl0IiBJUGcLKKCkgJjVucB0y9sUfrbHKSra8MpHzlne9JOxhEX-EzpDBMgYk6lSHXQkbJdcwUV9GGyH9HOXZAFshaFzT-eGygtV3unblipZhn6ZygbOrvJqSfJbCnd-8d7qjkFK_wZTY6g-D7Vtavmc5uVD0O-0EPwj0lvNEU9aHTggDBMrLAM4n53PqITV1FBg9hg2BT7vqlnytmC112aUaYdyP_JTb2PibflpyJxJnKOawT5dYDaRxbCyqFCOaDpq-TLQfI1bY4SmXRbYA19D2rKU-FHiAjadStwN7vEDZYPmHM4zoU-rFvIQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:05:08.717Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI2MDMsImlhdCI6MTc1MjI4MjMwMywiYXV0aF90aW1lIjoxNzUyMjgyMzAyLCJqdGkiOiJlMjcyYzc5Yi1kYmE4LTRkNzMtYmJkOS00ZGZjMTYyNWIyMWMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.WdUb7pM107TeOhGuPTCNripYgzMjl0IiBJUGcLKKCkgJjVucB0y9sUfrbHKSra8MpHzlne9JOxhEX-EzpDBMgYk6lSHXQkbJdcwUV9GGyH9HOXZAFshaFzT-eGygtV3unblipZhn6ZygbOrvJqSfJbCnd-8d7qjkFK_wZTY6g-D7Vtavmc5uVD0O-0EPwj0lvNEU9aHTggDBMrLAM4n53PqITV1FBg9hg2BT7vqlnytmC112aUaYdyP_JTb2PibflpyJxJnKOawT5dYDaRxbCyqFCOaDpq-TLQfI1bY4SmXRbYA19D2rKU-FHiAjadStwN7vEDZYPmHM4zoU-rFvIQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:05:10.909Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI2MDMsImlhdCI6MTc1MjI4MjMwMywiYXV0aF90aW1lIjoxNzUyMjgyMzAyLCJqdGkiOiJlMjcyYzc5Yi1kYmE4LTRkNzMtYmJkOS00ZGZjMTYyNWIyMWMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.WdUb7pM107TeOhGuPTCNripYgzMjl0IiBJUGcLKKCkgJjVucB0y9sUfrbHKSra8MpHzlne9JOxhEX-EzpDBMgYk6lSHXQkbJdcwUV9GGyH9HOXZAFshaFzT-eGygtV3unblipZhn6ZygbOrvJqSfJbCnd-8d7qjkFK_wZTY6g-D7Vtavmc5uVD0O-0EPwj0lvNEU9aHTggDBMrLAM4n53PqITV1FBg9hg2BT7vqlnytmC112aUaYdyP_JTb2PibflpyJxJnKOawT5dYDaRxbCyqFCOaDpq-TLQfI1bY4SmXRbYA19D2rKU-FHiAjadStwN7vEDZYPmHM4zoU-rFvIQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:05:12.895Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI2MDMsImlhdCI6MTc1MjI4MjMwMywiYXV0aF90aW1lIjoxNzUyMjgyMzAyLCJqdGkiOiJlMjcyYzc5Yi1kYmE4LTRkNzMtYmJkOS00ZGZjMTYyNWIyMWMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.WdUb7pM107TeOhGuPTCNripYgzMjl0IiBJUGcLKKCkgJjVucB0y9sUfrbHKSra8MpHzlne9JOxhEX-EzpDBMgYk6lSHXQkbJdcwUV9GGyH9HOXZAFshaFzT-eGygtV3unblipZhn6ZygbOrvJqSfJbCnd-8d7qjkFK_wZTY6g-D7Vtavmc5uVD0O-0EPwj0lvNEU9aHTggDBMrLAM4n53PqITV1FBg9hg2BT7vqlnytmC112aUaYdyP_JTb2PibflpyJxJnKOawT5dYDaRxbCyqFCOaDpq-TLQfI1bY4SmXRbYA19D2rKU-FHiAjadStwN7vEDZYPmHM4zoU-rFvIQ' failed: Establishing a tunnel via proxy server failed.
