[2025-07-12T00:55:31.401Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=106b5caa-be60-4a1f-9ad0-609aee9fbe2d&response_mode=fragment&response_type=code&scope=openid&nonce=3af3db1a-bc43-4a51-8741-241060cef44d - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:55:31.402Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=106b5caa-be60-4a1f-9ad0-609aee9fbe2d&response_mode=fragment&response_type=code&scope=openid&nonce=3af3db1a-bc43-4a51-8741-241060cef44d - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:55:34.013Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIwMzIsImlhdCI6MTc1MjI4MTczMiwiYXV0aF90aW1lIjoxNzUyMjgxNzMxLCJqdGkiOiIwNjhlZDNhOS0xYjBiLTRjYjctYTM5My1iNjI5MjE2OTg5NzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XR5Lm7Phlgp6vG_zfwO2hZlUZLmfuIuX0ZkoR1IiPHBT2Fol-l0GPo5ctn13RzjssUqhqeuaYiBaOKRIA5gD41GRrg1Y6fLUbl9cgDSaKQAfhYqSDFh5TfWzE5hPf75cGCAFHMV9YQGG73gc_4ru4fdVaiKOIb5whjJuDchLTydhW6gMUz7BRSU3UHe-r3oT4nWpNgyxnS-ihFUtZcG_LeGfcutdDDQ9a3FulHMQ8IfXX8hTViDRJmedaJLEuvzmao_tD9AGfpDvd_cERBFnWTQ8MvXDp4LEaEqOq9T4mpIyo7geZZd-p0U_j4v-820fJdPguPU4aXEOXSWDwpmQ7g' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:55:36.074Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIwMzIsImlhdCI6MTc1MjI4MTczMiwiYXV0aF90aW1lIjoxNzUyMjgxNzMxLCJqdGkiOiIwNjhlZDNhOS0xYjBiLTRjYjctYTM5My1iNjI5MjE2OTg5NzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XR5Lm7Phlgp6vG_zfwO2hZlUZLmfuIuX0ZkoR1IiPHBT2Fol-l0GPo5ctn13RzjssUqhqeuaYiBaOKRIA5gD41GRrg1Y6fLUbl9cgDSaKQAfhYqSDFh5TfWzE5hPf75cGCAFHMV9YQGG73gc_4ru4fdVaiKOIb5whjJuDchLTydhW6gMUz7BRSU3UHe-r3oT4nWpNgyxnS-ihFUtZcG_LeGfcutdDDQ9a3FulHMQ8IfXX8hTViDRJmedaJLEuvzmao_tD9AGfpDvd_cERBFnWTQ8MvXDp4LEaEqOq9T4mpIyo7geZZd-p0U_j4v-820fJdPguPU4aXEOXSWDwpmQ7g' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:55:38.080Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIwMzIsImlhdCI6MTc1MjI4MTczMiwiYXV0aF90aW1lIjoxNzUyMjgxNzMxLCJqdGkiOiIwNjhlZDNhOS0xYjBiLTRjYjctYTM5My1iNjI5MjE2OTg5NzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XR5Lm7Phlgp6vG_zfwO2hZlUZLmfuIuX0ZkoR1IiPHBT2Fol-l0GPo5ctn13RzjssUqhqeuaYiBaOKRIA5gD41GRrg1Y6fLUbl9cgDSaKQAfhYqSDFh5TfWzE5hPf75cGCAFHMV9YQGG73gc_4ru4fdVaiKOIb5whjJuDchLTydhW6gMUz7BRSU3UHe-r3oT4nWpNgyxnS-ihFUtZcG_LeGfcutdDDQ9a3FulHMQ8IfXX8hTViDRJmedaJLEuvzmao_tD9AGfpDvd_cERBFnWTQ8MvXDp4LEaEqOq9T4mpIyo7geZZd-p0U_j4v-820fJdPguPU4aXEOXSWDwpmQ7g' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:55:40.085Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIwMzIsImlhdCI6MTc1MjI4MTczMiwiYXV0aF90aW1lIjoxNzUyMjgxNzMxLCJqdGkiOiIwNjhlZDNhOS0xYjBiLTRjYjctYTM5My1iNjI5MjE2OTg5NzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XR5Lm7Phlgp6vG_zfwO2hZlUZLmfuIuX0ZkoR1IiPHBT2Fol-l0GPo5ctn13RzjssUqhqeuaYiBaOKRIA5gD41GRrg1Y6fLUbl9cgDSaKQAfhYqSDFh5TfWzE5hPf75cGCAFHMV9YQGG73gc_4ru4fdVaiKOIb5whjJuDchLTydhW6gMUz7BRSU3UHe-r3oT4nWpNgyxnS-ihFUtZcG_LeGfcutdDDQ9a3FulHMQ8IfXX8hTViDRJmedaJLEuvzmao_tD9AGfpDvd_cERBFnWTQ8MvXDp4LEaEqOq9T4mpIyo7geZZd-p0U_j4v-820fJdPguPU4aXEOXSWDwpmQ7g' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:55:42.108Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIwMzIsImlhdCI6MTc1MjI4MTczMiwiYXV0aF90aW1lIjoxNzUyMjgxNzMxLCJqdGkiOiIwNjhlZDNhOS0xYjBiLTRjYjctYTM5My1iNjI5MjE2OTg5NzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XR5Lm7Phlgp6vG_zfwO2hZlUZLmfuIuX0ZkoR1IiPHBT2Fol-l0GPo5ctn13RzjssUqhqeuaYiBaOKRIA5gD41GRrg1Y6fLUbl9cgDSaKQAfhYqSDFh5TfWzE5hPf75cGCAFHMV9YQGG73gc_4ru4fdVaiKOIb5whjJuDchLTydhW6gMUz7BRSU3UHe-r3oT4nWpNgyxnS-ihFUtZcG_LeGfcutdDDQ9a3FulHMQ8IfXX8hTViDRJmedaJLEuvzmao_tD9AGfpDvd_cERBFnWTQ8MvXDp4LEaEqOq9T4mpIyo7geZZd-p0U_j4v-820fJdPguPU4aXEOXSWDwpmQ7g' failed: Establishing a tunnel via proxy server failed.
