[2025-07-12T00:32:31.660Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=01cce9dd-f729-47df-8792-e69f1c63029e&response_mode=fragment&response_type=code&scope=openid&nonce=d0fa41f6-83b0-4446-8382-e153c202f525 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:32:31.661Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=01cce9dd-f729-47df-8792-e69f1c63029e&response_mode=fragment&response_type=code&scope=openid&nonce=d0fa41f6-83b0-4446-8382-e153c202f525 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:32:34.222Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA2NTMsImlhdCI6MTc1MjI4MDM1MywiYXV0aF90aW1lIjoxNzUyMjgwMzUyLCJqdGkiOiJmZTRmNTcwMS01ZGZiLTRiMDctOGQ5Ni0yYjdiY2UwYzQyM2YiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.mCHWiqLgk-4qD2b3QrKHzbf-AK2xohEboOop_kW95vP4dFRLH5SJHXEBAoUZdi10U0ehsiB-pvLtWX6_Pa4z-SXb9sH6vLSVc8ZXWtmTBpCWVVbluqZg_mh16v4kK_7s2cGLc0c2r1QlrjxsV8ATgwOHYFeC9mVt_SQvblWOtCne9Hj2KENSoikHn3qpvktzUmi7SbEERM6vGnA05Q0SMN_Hfxhr8iyOUQE6_nDgVahuxhFaX4Z7Gouu51x0tz9q48CkLZQoK_iNC5iSwNnR9qICaRIeFVM4OnxPWAGeYvGaFzgo56AXKj2sdbQiraVlJVpHpKn-BERS4206ysnsqw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:32:36.284Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA2NTMsImlhdCI6MTc1MjI4MDM1MywiYXV0aF90aW1lIjoxNzUyMjgwMzUyLCJqdGkiOiJmZTRmNTcwMS01ZGZiLTRiMDctOGQ5Ni0yYjdiY2UwYzQyM2YiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.mCHWiqLgk-4qD2b3QrKHzbf-AK2xohEboOop_kW95vP4dFRLH5SJHXEBAoUZdi10U0ehsiB-pvLtWX6_Pa4z-SXb9sH6vLSVc8ZXWtmTBpCWVVbluqZg_mh16v4kK_7s2cGLc0c2r1QlrjxsV8ATgwOHYFeC9mVt_SQvblWOtCne9Hj2KENSoikHn3qpvktzUmi7SbEERM6vGnA05Q0SMN_Hfxhr8iyOUQE6_nDgVahuxhFaX4Z7Gouu51x0tz9q48CkLZQoK_iNC5iSwNnR9qICaRIeFVM4OnxPWAGeYvGaFzgo56AXKj2sdbQiraVlJVpHpKn-BERS4206ysnsqw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:32:38.295Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA2NTMsImlhdCI6MTc1MjI4MDM1MywiYXV0aF90aW1lIjoxNzUyMjgwMzUyLCJqdGkiOiJmZTRmNTcwMS01ZGZiLTRiMDctOGQ5Ni0yYjdiY2UwYzQyM2YiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.mCHWiqLgk-4qD2b3QrKHzbf-AK2xohEboOop_kW95vP4dFRLH5SJHXEBAoUZdi10U0ehsiB-pvLtWX6_Pa4z-SXb9sH6vLSVc8ZXWtmTBpCWVVbluqZg_mh16v4kK_7s2cGLc0c2r1QlrjxsV8ATgwOHYFeC9mVt_SQvblWOtCne9Hj2KENSoikHn3qpvktzUmi7SbEERM6vGnA05Q0SMN_Hfxhr8iyOUQE6_nDgVahuxhFaX4Z7Gouu51x0tz9q48CkLZQoK_iNC5iSwNnR9qICaRIeFVM4OnxPWAGeYvGaFzgo56AXKj2sdbQiraVlJVpHpKn-BERS4206ysnsqw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:32:40.358Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA2NTMsImlhdCI6MTc1MjI4MDM1MywiYXV0aF90aW1lIjoxNzUyMjgwMzUyLCJqdGkiOiJmZTRmNTcwMS01ZGZiLTRiMDctOGQ5Ni0yYjdiY2UwYzQyM2YiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.mCHWiqLgk-4qD2b3QrKHzbf-AK2xohEboOop_kW95vP4dFRLH5SJHXEBAoUZdi10U0ehsiB-pvLtWX6_Pa4z-SXb9sH6vLSVc8ZXWtmTBpCWVVbluqZg_mh16v4kK_7s2cGLc0c2r1QlrjxsV8ATgwOHYFeC9mVt_SQvblWOtCne9Hj2KENSoikHn3qpvktzUmi7SbEERM6vGnA05Q0SMN_Hfxhr8iyOUQE6_nDgVahuxhFaX4Z7Gouu51x0tz9q48CkLZQoK_iNC5iSwNnR9qICaRIeFVM4OnxPWAGeYvGaFzgo56AXKj2sdbQiraVlJVpHpKn-BERS4206ysnsqw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:32:42.306Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA2NTMsImlhdCI6MTc1MjI4MDM1MywiYXV0aF90aW1lIjoxNzUyMjgwMzUyLCJqdGkiOiJmZTRmNTcwMS01ZGZiLTRiMDctOGQ5Ni0yYjdiY2UwYzQyM2YiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.mCHWiqLgk-4qD2b3QrKHzbf-AK2xohEboOop_kW95vP4dFRLH5SJHXEBAoUZdi10U0ehsiB-pvLtWX6_Pa4z-SXb9sH6vLSVc8ZXWtmTBpCWVVbluqZg_mh16v4kK_7s2cGLc0c2r1QlrjxsV8ATgwOHYFeC9mVt_SQvblWOtCne9Hj2KENSoikHn3qpvktzUmi7SbEERM6vGnA05Q0SMN_Hfxhr8iyOUQE6_nDgVahuxhFaX4Z7Gouu51x0tz9q48CkLZQoK_iNC5iSwNnR9qICaRIeFVM4OnxPWAGeYvGaFzgo56AXKj2sdbQiraVlJVpHpKn-BERS4206ysnsqw' failed: Establishing a tunnel via proxy server failed.
