[2025-07-12T01:02:08.654Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=338c71bd-6185-47e0-8553-cc774b2ed668&response_mode=fragment&response_type=code&scope=openid&nonce=134a0f75-93f8-458c-83a9-87a678373545 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T01:02:08.655Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=338c71bd-6185-47e0-8553-cc774b2ed668&response_mode=fragment&response_type=code&scope=openid&nonce=134a0f75-93f8-458c-83a9-87a678373545 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T01:02:11.370Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI0MzAsImlhdCI6MTc1MjI4MjEzMCwiYXV0aF90aW1lIjoxNzUyMjgyMTI4LCJqdGkiOiJkYWEyMTM2ZC03MzVkLTQ3ODAtODdmZS1iYWFlYzNhNmEzMTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fbkWPl6zoRn4jXEcndw580bGEHB7UEY19GZGP6ESI_UFqOxAnVPqT78zIgx3PVK8Sp4Nek4svKG4T7k7xUmiWTTCLukM8A0UYzDBZ_dr-9aRWdfWNzTa5lmZR-dtCJ0S7shY4R1l5YRmVQ4eFQ_nO0f2KN3M62dLOgN-7-Ha1h2UzE9f-tFZlFYwym4cEJUnk7LmK62HKnvIxcWPU9YSFMM9E2bxTgpzi5kzp-NXe_sFsvCm6X5mbHNci92dOE3afFgCDwFKbUn48o5gc5TzJS1T0vti9t_KXTxvICVxqqYxm2ElkpszVskAE8p2Lb2RqkHgTBm4nFqifA5mks3Iqw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:02:13.431Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI0MzAsImlhdCI6MTc1MjI4MjEzMCwiYXV0aF90aW1lIjoxNzUyMjgyMTI4LCJqdGkiOiJkYWEyMTM2ZC03MzVkLTQ3ODAtODdmZS1iYWFlYzNhNmEzMTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fbkWPl6zoRn4jXEcndw580bGEHB7UEY19GZGP6ESI_UFqOxAnVPqT78zIgx3PVK8Sp4Nek4svKG4T7k7xUmiWTTCLukM8A0UYzDBZ_dr-9aRWdfWNzTa5lmZR-dtCJ0S7shY4R1l5YRmVQ4eFQ_nO0f2KN3M62dLOgN-7-Ha1h2UzE9f-tFZlFYwym4cEJUnk7LmK62HKnvIxcWPU9YSFMM9E2bxTgpzi5kzp-NXe_sFsvCm6X5mbHNci92dOE3afFgCDwFKbUn48o5gc5TzJS1T0vti9t_KXTxvICVxqqYxm2ElkpszVskAE8p2Lb2RqkHgTBm4nFqifA5mks3Iqw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:02:15.439Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI0MzAsImlhdCI6MTc1MjI4MjEzMCwiYXV0aF90aW1lIjoxNzUyMjgyMTI4LCJqdGkiOiJkYWEyMTM2ZC03MzVkLTQ3ODAtODdmZS1iYWFlYzNhNmEzMTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fbkWPl6zoRn4jXEcndw580bGEHB7UEY19GZGP6ESI_UFqOxAnVPqT78zIgx3PVK8Sp4Nek4svKG4T7k7xUmiWTTCLukM8A0UYzDBZ_dr-9aRWdfWNzTa5lmZR-dtCJ0S7shY4R1l5YRmVQ4eFQ_nO0f2KN3M62dLOgN-7-Ha1h2UzE9f-tFZlFYwym4cEJUnk7LmK62HKnvIxcWPU9YSFMM9E2bxTgpzi5kzp-NXe_sFsvCm6X5mbHNci92dOE3afFgCDwFKbUn48o5gc5TzJS1T0vti9t_KXTxvICVxqqYxm2ElkpszVskAE8p2Lb2RqkHgTBm4nFqifA5mks3Iqw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:02:17.620Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI0MzAsImlhdCI6MTc1MjI4MjEzMCwiYXV0aF90aW1lIjoxNzUyMjgyMTI4LCJqdGkiOiJkYWEyMTM2ZC03MzVkLTQ3ODAtODdmZS1iYWFlYzNhNmEzMTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fbkWPl6zoRn4jXEcndw580bGEHB7UEY19GZGP6ESI_UFqOxAnVPqT78zIgx3PVK8Sp4Nek4svKG4T7k7xUmiWTTCLukM8A0UYzDBZ_dr-9aRWdfWNzTa5lmZR-dtCJ0S7shY4R1l5YRmVQ4eFQ_nO0f2KN3M62dLOgN-7-Ha1h2UzE9f-tFZlFYwym4cEJUnk7LmK62HKnvIxcWPU9YSFMM9E2bxTgpzi5kzp-NXe_sFsvCm6X5mbHNci92dOE3afFgCDwFKbUn48o5gc5TzJS1T0vti9t_KXTxvICVxqqYxm2ElkpszVskAE8p2Lb2RqkHgTBm4nFqifA5mks3Iqw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:02:19.588Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI0MzAsImlhdCI6MTc1MjI4MjEzMCwiYXV0aF90aW1lIjoxNzUyMjgyMTI4LCJqdGkiOiJkYWEyMTM2ZC03MzVkLTQ3ODAtODdmZS1iYWFlYzNhNmEzMTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fbkWPl6zoRn4jXEcndw580bGEHB7UEY19GZGP6ESI_UFqOxAnVPqT78zIgx3PVK8Sp4Nek4svKG4T7k7xUmiWTTCLukM8A0UYzDBZ_dr-9aRWdfWNzTa5lmZR-dtCJ0S7shY4R1l5YRmVQ4eFQ_nO0f2KN3M62dLOgN-7-Ha1h2UzE9f-tFZlFYwym4cEJUnk7LmK62HKnvIxcWPU9YSFMM9E2bxTgpzi5kzp-NXe_sFsvCm6X5mbHNci92dOE3afFgCDwFKbUn48o5gc5TzJS1T0vti9t_KXTxvICVxqqYxm2ElkpszVskAE8p2Lb2RqkHgTBm4nFqifA5mks3Iqw' failed: Establishing a tunnel via proxy server failed.
