[2025-07-12T00:52:20.665Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=136f696e-150f-447d-8df9-46172aa413b4&response_mode=fragment&response_type=code&scope=openid&nonce=c184d4f5-5052-4d41-9d65-5ca2b653be48 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:52:20.667Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=136f696e-150f-447d-8df9-46172aa413b4&response_mode=fragment&response_type=code&scope=openid&nonce=c184d4f5-5052-4d41-9d65-5ca2b653be48 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:52:23.860Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE4NDIsImlhdCI6MTc1MjI4MTU0MiwiYXV0aF90aW1lIjoxNzUyMjgxNTQxLCJqdGkiOiJkY2E0YjAwYy0xYWNiLTRlYzMtYjgzYy04OTljOTA1MzE1N2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.X5k9hVbvl4Ba3PjSuPdsHGPsE5pf43c0bVTS3cgpqvhtgGKxcXtkSjYMwn_MMAjFalzs1pbw3whqW9e0Is1pckriFetuEYb-VBzd-Pvg7bmercWAiiMf_DRL4ou9XSUYP-73URLREZiTMpUArhRrRM6seuCp7t_3dLrNpa1jU_LfYyYVBi2McP41PjJ4cY2-pp9QOvWClOpdypl6NVHW-PFg1hgveHKPRnb1Q2wnxMx7fWXAOadVUuCHxIC39JuQoWnpCdLzO4YaNgj3CHt0cNkfwGiN8y9eziNNJNyC6n8eOtPm6jBtWXNyF8rItRWzgFzy24AH_fLrilgcpcwmtA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:52:25.877Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE4NDIsImlhdCI6MTc1MjI4MTU0MiwiYXV0aF90aW1lIjoxNzUyMjgxNTQxLCJqdGkiOiJkY2E0YjAwYy0xYWNiLTRlYzMtYjgzYy04OTljOTA1MzE1N2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.X5k9hVbvl4Ba3PjSuPdsHGPsE5pf43c0bVTS3cgpqvhtgGKxcXtkSjYMwn_MMAjFalzs1pbw3whqW9e0Is1pckriFetuEYb-VBzd-Pvg7bmercWAiiMf_DRL4ou9XSUYP-73URLREZiTMpUArhRrRM6seuCp7t_3dLrNpa1jU_LfYyYVBi2McP41PjJ4cY2-pp9QOvWClOpdypl6NVHW-PFg1hgveHKPRnb1Q2wnxMx7fWXAOadVUuCHxIC39JuQoWnpCdLzO4YaNgj3CHt0cNkfwGiN8y9eziNNJNyC6n8eOtPm6jBtWXNyF8rItRWzgFzy24AH_fLrilgcpcwmtA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:52:27.878Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE4NDIsImlhdCI6MTc1MjI4MTU0MiwiYXV0aF90aW1lIjoxNzUyMjgxNTQxLCJqdGkiOiJkY2E0YjAwYy0xYWNiLTRlYzMtYjgzYy04OTljOTA1MzE1N2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.X5k9hVbvl4Ba3PjSuPdsHGPsE5pf43c0bVTS3cgpqvhtgGKxcXtkSjYMwn_MMAjFalzs1pbw3whqW9e0Is1pckriFetuEYb-VBzd-Pvg7bmercWAiiMf_DRL4ou9XSUYP-73URLREZiTMpUArhRrRM6seuCp7t_3dLrNpa1jU_LfYyYVBi2McP41PjJ4cY2-pp9QOvWClOpdypl6NVHW-PFg1hgveHKPRnb1Q2wnxMx7fWXAOadVUuCHxIC39JuQoWnpCdLzO4YaNgj3CHt0cNkfwGiN8y9eziNNJNyC6n8eOtPm6jBtWXNyF8rItRWzgFzy24AH_fLrilgcpcwmtA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:52:30.017Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE4NDIsImlhdCI6MTc1MjI4MTU0MiwiYXV0aF90aW1lIjoxNzUyMjgxNTQxLCJqdGkiOiJkY2E0YjAwYy0xYWNiLTRlYzMtYjgzYy04OTljOTA1MzE1N2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.X5k9hVbvl4Ba3PjSuPdsHGPsE5pf43c0bVTS3cgpqvhtgGKxcXtkSjYMwn_MMAjFalzs1pbw3whqW9e0Is1pckriFetuEYb-VBzd-Pvg7bmercWAiiMf_DRL4ou9XSUYP-73URLREZiTMpUArhRrRM6seuCp7t_3dLrNpa1jU_LfYyYVBi2McP41PjJ4cY2-pp9QOvWClOpdypl6NVHW-PFg1hgveHKPRnb1Q2wnxMx7fWXAOadVUuCHxIC39JuQoWnpCdLzO4YaNgj3CHt0cNkfwGiN8y9eziNNJNyC6n8eOtPm6jBtWXNyF8rItRWzgFzy24AH_fLrilgcpcwmtA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:52:31.989Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE4NDIsImlhdCI6MTc1MjI4MTU0MiwiYXV0aF90aW1lIjoxNzUyMjgxNTQxLCJqdGkiOiJkY2E0YjAwYy0xYWNiLTRlYzMtYjgzYy04OTljOTA1MzE1N2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.X5k9hVbvl4Ba3PjSuPdsHGPsE5pf43c0bVTS3cgpqvhtgGKxcXtkSjYMwn_MMAjFalzs1pbw3whqW9e0Is1pckriFetuEYb-VBzd-Pvg7bmercWAiiMf_DRL4ou9XSUYP-73URLREZiTMpUArhRrRM6seuCp7t_3dLrNpa1jU_LfYyYVBi2McP41PjJ4cY2-pp9QOvWClOpdypl6NVHW-PFg1hgveHKPRnb1Q2wnxMx7fWXAOadVUuCHxIC39JuQoWnpCdLzO4YaNgj3CHt0cNkfwGiN8y9eziNNJNyC6n8eOtPm6jBtWXNyF8rItRWzgFzy24AH_fLrilgcpcwmtA' failed: Establishing a tunnel via proxy server failed.
