[2025-07-12T00:36:41.485Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=21ab3052-d90a-44e5-9ff0-324112775dad&response_mode=fragment&response_type=code&scope=openid&nonce=02bc5a6f-8668-48b9-bae3-cd7ec4d3f586 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:36:41.487Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=21ab3052-d90a-44e5-9ff0-324112775dad&response_mode=fragment&response_type=code&scope=openid&nonce=02bc5a6f-8668-48b9-bae3-cd7ec4d3f586 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:36:43.901Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5MDIsImlhdCI6MTc1MjI4MDYwMiwiYXV0aF90aW1lIjoxNzUyMjgwNjAxLCJqdGkiOiI5ODI5NmY5NS0xOGE4LTQ5NTQtYTZhNy1hZjRjYWIxYjg1ZGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.GiTxSbviHvdpq0XItcOL50lVZ68eUv-OQ0Ljkp4jnALU7iUODJgPWmfWHLBtz4_Y2P_oU-tULY7pXD0VMWxBLIpndiQ7RP4_uFGkt8L91NEAT3NgQMfiMnli4HGig1mmqAfAFgjKwYMcWBPfUW-U3Rh7Tk4kR-I5IdFep4nvTYcS6tJDSYoAG_NYbJxaW2ZJuzDJJoBUG9I1rUcYGClN-ty10wwGDSOiKIQgsQ2A2L8lrXnXcv0vwBrlMaDLla_LlLnbOMMO-LpDHYyx5GgRTxte1reD6aqNwVIIRfHKTdvLzfL16cT2saOmUPIkHbO7GIZTk0JR4vDE-Uwa7Og7Ww' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:36:45.906Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5MDIsImlhdCI6MTc1MjI4MDYwMiwiYXV0aF90aW1lIjoxNzUyMjgwNjAxLCJqdGkiOiI5ODI5NmY5NS0xOGE4LTQ5NTQtYTZhNy1hZjRjYWIxYjg1ZGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.GiTxSbviHvdpq0XItcOL50lVZ68eUv-OQ0Ljkp4jnALU7iUODJgPWmfWHLBtz4_Y2P_oU-tULY7pXD0VMWxBLIpndiQ7RP4_uFGkt8L91NEAT3NgQMfiMnli4HGig1mmqAfAFgjKwYMcWBPfUW-U3Rh7Tk4kR-I5IdFep4nvTYcS6tJDSYoAG_NYbJxaW2ZJuzDJJoBUG9I1rUcYGClN-ty10wwGDSOiKIQgsQ2A2L8lrXnXcv0vwBrlMaDLla_LlLnbOMMO-LpDHYyx5GgRTxte1reD6aqNwVIIRfHKTdvLzfL16cT2saOmUPIkHbO7GIZTk0JR4vDE-Uwa7Og7Ww' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:36:47.958Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5MDIsImlhdCI6MTc1MjI4MDYwMiwiYXV0aF90aW1lIjoxNzUyMjgwNjAxLCJqdGkiOiI5ODI5NmY5NS0xOGE4LTQ5NTQtYTZhNy1hZjRjYWIxYjg1ZGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.GiTxSbviHvdpq0XItcOL50lVZ68eUv-OQ0Ljkp4jnALU7iUODJgPWmfWHLBtz4_Y2P_oU-tULY7pXD0VMWxBLIpndiQ7RP4_uFGkt8L91NEAT3NgQMfiMnli4HGig1mmqAfAFgjKwYMcWBPfUW-U3Rh7Tk4kR-I5IdFep4nvTYcS6tJDSYoAG_NYbJxaW2ZJuzDJJoBUG9I1rUcYGClN-ty10wwGDSOiKIQgsQ2A2L8lrXnXcv0vwBrlMaDLla_LlLnbOMMO-LpDHYyx5GgRTxte1reD6aqNwVIIRfHKTdvLzfL16cT2saOmUPIkHbO7GIZTk0JR4vDE-Uwa7Og7Ww' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:36:49.946Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5MDIsImlhdCI6MTc1MjI4MDYwMiwiYXV0aF90aW1lIjoxNzUyMjgwNjAxLCJqdGkiOiI5ODI5NmY5NS0xOGE4LTQ5NTQtYTZhNy1hZjRjYWIxYjg1ZGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.GiTxSbviHvdpq0XItcOL50lVZ68eUv-OQ0Ljkp4jnALU7iUODJgPWmfWHLBtz4_Y2P_oU-tULY7pXD0VMWxBLIpndiQ7RP4_uFGkt8L91NEAT3NgQMfiMnli4HGig1mmqAfAFgjKwYMcWBPfUW-U3Rh7Tk4kR-I5IdFep4nvTYcS6tJDSYoAG_NYbJxaW2ZJuzDJJoBUG9I1rUcYGClN-ty10wwGDSOiKIQgsQ2A2L8lrXnXcv0vwBrlMaDLla_LlLnbOMMO-LpDHYyx5GgRTxte1reD6aqNwVIIRfHKTdvLzfL16cT2saOmUPIkHbO7GIZTk0JR4vDE-Uwa7Og7Ww' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:36:51.923Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5MDIsImlhdCI6MTc1MjI4MDYwMiwiYXV0aF90aW1lIjoxNzUyMjgwNjAxLCJqdGkiOiI5ODI5NmY5NS0xOGE4LTQ5NTQtYTZhNy1hZjRjYWIxYjg1ZGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.GiTxSbviHvdpq0XItcOL50lVZ68eUv-OQ0Ljkp4jnALU7iUODJgPWmfWHLBtz4_Y2P_oU-tULY7pXD0VMWxBLIpndiQ7RP4_uFGkt8L91NEAT3NgQMfiMnli4HGig1mmqAfAFgjKwYMcWBPfUW-U3Rh7Tk4kR-I5IdFep4nvTYcS6tJDSYoAG_NYbJxaW2ZJuzDJJoBUG9I1rUcYGClN-ty10wwGDSOiKIQgsQ2A2L8lrXnXcv0vwBrlMaDLla_LlLnbOMMO-LpDHYyx5GgRTxte1reD6aqNwVIIRfHKTdvLzfL16cT2saOmUPIkHbO7GIZTk0JR4vDE-Uwa7Og7Ww' failed: Establishing a tunnel via proxy server failed.
