[2025-07-12T01:10:32.679Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=1310a8aa-f2a9-4388-b1d9-a1dc1b5b40bc&response_mode=fragment&response_type=code&scope=openid&nonce=73d92e06-3dea-4f42-8fc7-606a444ac96a - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T01:10:32.681Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=1310a8aa-f2a9-4388-b1d9-a1dc1b5b40bc&response_mode=fragment&response_type=code&scope=openid&nonce=73d92e06-3dea-4f42-8fc7-606a444ac96a - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T01:10:34.969Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI5MzQsImlhdCI6MTc1MjI4MjYzNCwiYXV0aF90aW1lIjoxNzUyMjgyNjMyLCJqdGkiOiI1NGZiNmQzOS1jNTUwLTQ0NTQtYjViNC1iZjQyZDE0OTcwZWEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ovR3cfFaAF8yuBB7FDxG0bq9mlPAnwYzxq05N6o2-g8ajD7yqcRIpfJRsmALGszt8FfJYQhEWxcfTAuCdRN0z9IpYY1ue22JPqKR833eIa31EXO2nrDTEhAx12AocOyazGQmf770vlZ6FP95_bV_mRNhSa1iHPyrHVAJDW_9NN2T8HS1SEWEM5dqqV2JNN662gWxxm8DwdWzbE_S_GAkPxwxwGMtg1r5-bUAJK7vgHctmNOsgXOiaEPqsnUAS21sAf1klA7Jnyw75qLmZUcn4i0jLXhj6UbVNZcxIy_cbAAcsmoP37zNtMMninrJ9qRL9LU9OUjvfjDrv6t9xjHuTA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:10:36.973Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI5MzQsImlhdCI6MTc1MjI4MjYzNCwiYXV0aF90aW1lIjoxNzUyMjgyNjMyLCJqdGkiOiI1NGZiNmQzOS1jNTUwLTQ0NTQtYjViNC1iZjQyZDE0OTcwZWEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ovR3cfFaAF8yuBB7FDxG0bq9mlPAnwYzxq05N6o2-g8ajD7yqcRIpfJRsmALGszt8FfJYQhEWxcfTAuCdRN0z9IpYY1ue22JPqKR833eIa31EXO2nrDTEhAx12AocOyazGQmf770vlZ6FP95_bV_mRNhSa1iHPyrHVAJDW_9NN2T8HS1SEWEM5dqqV2JNN662gWxxm8DwdWzbE_S_GAkPxwxwGMtg1r5-bUAJK7vgHctmNOsgXOiaEPqsnUAS21sAf1klA7Jnyw75qLmZUcn4i0jLXhj6UbVNZcxIy_cbAAcsmoP37zNtMMninrJ9qRL9LU9OUjvfjDrv6t9xjHuTA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:10:38.978Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI5MzQsImlhdCI6MTc1MjI4MjYzNCwiYXV0aF90aW1lIjoxNzUyMjgyNjMyLCJqdGkiOiI1NGZiNmQzOS1jNTUwLTQ0NTQtYjViNC1iZjQyZDE0OTcwZWEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ovR3cfFaAF8yuBB7FDxG0bq9mlPAnwYzxq05N6o2-g8ajD7yqcRIpfJRsmALGszt8FfJYQhEWxcfTAuCdRN0z9IpYY1ue22JPqKR833eIa31EXO2nrDTEhAx12AocOyazGQmf770vlZ6FP95_bV_mRNhSa1iHPyrHVAJDW_9NN2T8HS1SEWEM5dqqV2JNN662gWxxm8DwdWzbE_S_GAkPxwxwGMtg1r5-bUAJK7vgHctmNOsgXOiaEPqsnUAS21sAf1klA7Jnyw75qLmZUcn4i0jLXhj6UbVNZcxIy_cbAAcsmoP37zNtMMninrJ9qRL9LU9OUjvfjDrv6t9xjHuTA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:10:41.155Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI5MzQsImlhdCI6MTc1MjI4MjYzNCwiYXV0aF90aW1lIjoxNzUyMjgyNjMyLCJqdGkiOiI1NGZiNmQzOS1jNTUwLTQ0NTQtYjViNC1iZjQyZDE0OTcwZWEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ovR3cfFaAF8yuBB7FDxG0bq9mlPAnwYzxq05N6o2-g8ajD7yqcRIpfJRsmALGszt8FfJYQhEWxcfTAuCdRN0z9IpYY1ue22JPqKR833eIa31EXO2nrDTEhAx12AocOyazGQmf770vlZ6FP95_bV_mRNhSa1iHPyrHVAJDW_9NN2T8HS1SEWEM5dqqV2JNN662gWxxm8DwdWzbE_S_GAkPxwxwGMtg1r5-bUAJK7vgHctmNOsgXOiaEPqsnUAS21sAf1klA7Jnyw75qLmZUcn4i0jLXhj6UbVNZcxIy_cbAAcsmoP37zNtMMninrJ9qRL9LU9OUjvfjDrv6t9xjHuTA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:10:43.033Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI5MzQsImlhdCI6MTc1MjI4MjYzNCwiYXV0aF90aW1lIjoxNzUyMjgyNjMyLCJqdGkiOiI1NGZiNmQzOS1jNTUwLTQ0NTQtYjViNC1iZjQyZDE0OTcwZWEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ovR3cfFaAF8yuBB7FDxG0bq9mlPAnwYzxq05N6o2-g8ajD7yqcRIpfJRsmALGszt8FfJYQhEWxcfTAuCdRN0z9IpYY1ue22JPqKR833eIa31EXO2nrDTEhAx12AocOyazGQmf770vlZ6FP95_bV_mRNhSa1iHPyrHVAJDW_9NN2T8HS1SEWEM5dqqV2JNN662gWxxm8DwdWzbE_S_GAkPxwxwGMtg1r5-bUAJK7vgHctmNOsgXOiaEPqsnUAS21sAf1klA7Jnyw75qLmZUcn4i0jLXhj6UbVNZcxIy_cbAAcsmoP37zNtMMninrJ9qRL9LU9OUjvfjDrv6t9xjHuTA' failed: Establishing a tunnel via proxy server failed.
