[2025-07-12T01:12:09.069Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=da317cce-0325-4711-8613-418abaa5c859&response_mode=fragment&response_type=code&scope=openid&nonce=89190de3-c4b9-4a5d-9e57-6b18bc89a1e6 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T01:12:09.070Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=da317cce-0325-4711-8613-418abaa5c859&response_mode=fragment&response_type=code&scope=openid&nonce=89190de3-c4b9-4a5d-9e57-6b18bc89a1e6 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T01:12:11.454Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODMwMzAsImlhdCI6MTc1MjI4MjczMCwiYXV0aF90aW1lIjoxNzUyMjgyNzI5LCJqdGkiOiI4MDMzMjg0My1jNGE1LTQ1NmMtOWZjOS0zMDQ0MmUwZDY5M2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Zk7mbuGxBxQlbqmBHZFFTUFefEpmuOBkJAkbcOXQrsQ5b5HFS7YVQBBUdhMDjFAwP2DhV86xY1N955J-NTBWuuQNF2RBH01r9jaj46QJkuAAa9ue5Lx-dH_2GMgOZLF0bK5pGoP_JObrRKBpH6yVqHN_r3ioMudfSYI2Ml-Ti0-heNWe4uEwF6cR7m3Uz6tQvEyIz7XD_RD0TWM2b4Mjx_A7yJogb1W3fXrk2dJQmVtintfxt-RdbPoZNef_ixKd0VN-jGg7V5BhH1b4w6vXvbmJVN1fVDyWwtQ8s1rYIlV8LQJ55Q2UXB9KTLktM3Y47CzJZ54qkbKN4BRFKN8yaA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:12:13.459Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODMwMzAsImlhdCI6MTc1MjI4MjczMCwiYXV0aF90aW1lIjoxNzUyMjgyNzI5LCJqdGkiOiI4MDMzMjg0My1jNGE1LTQ1NmMtOWZjOS0zMDQ0MmUwZDY5M2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Zk7mbuGxBxQlbqmBHZFFTUFefEpmuOBkJAkbcOXQrsQ5b5HFS7YVQBBUdhMDjFAwP2DhV86xY1N955J-NTBWuuQNF2RBH01r9jaj46QJkuAAa9ue5Lx-dH_2GMgOZLF0bK5pGoP_JObrRKBpH6yVqHN_r3ioMudfSYI2Ml-Ti0-heNWe4uEwF6cR7m3Uz6tQvEyIz7XD_RD0TWM2b4Mjx_A7yJogb1W3fXrk2dJQmVtintfxt-RdbPoZNef_ixKd0VN-jGg7V5BhH1b4w6vXvbmJVN1fVDyWwtQ8s1rYIlV8LQJ55Q2UXB9KTLktM3Y47CzJZ54qkbKN4BRFKN8yaA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:12:15.546Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODMwMzAsImlhdCI6MTc1MjI4MjczMCwiYXV0aF90aW1lIjoxNzUyMjgyNzI5LCJqdGkiOiI4MDMzMjg0My1jNGE1LTQ1NmMtOWZjOS0zMDQ0MmUwZDY5M2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Zk7mbuGxBxQlbqmBHZFFTUFefEpmuOBkJAkbcOXQrsQ5b5HFS7YVQBBUdhMDjFAwP2DhV86xY1N955J-NTBWuuQNF2RBH01r9jaj46QJkuAAa9ue5Lx-dH_2GMgOZLF0bK5pGoP_JObrRKBpH6yVqHN_r3ioMudfSYI2Ml-Ti0-heNWe4uEwF6cR7m3Uz6tQvEyIz7XD_RD0TWM2b4Mjx_A7yJogb1W3fXrk2dJQmVtintfxt-RdbPoZNef_ixKd0VN-jGg7V5BhH1b4w6vXvbmJVN1fVDyWwtQ8s1rYIlV8LQJ55Q2UXB9KTLktM3Y47CzJZ54qkbKN4BRFKN8yaA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:12:17.471Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODMwMzAsImlhdCI6MTc1MjI4MjczMCwiYXV0aF90aW1lIjoxNzUyMjgyNzI5LCJqdGkiOiI4MDMzMjg0My1jNGE1LTQ1NmMtOWZjOS0zMDQ0MmUwZDY5M2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Zk7mbuGxBxQlbqmBHZFFTUFefEpmuOBkJAkbcOXQrsQ5b5HFS7YVQBBUdhMDjFAwP2DhV86xY1N955J-NTBWuuQNF2RBH01r9jaj46QJkuAAa9ue5Lx-dH_2GMgOZLF0bK5pGoP_JObrRKBpH6yVqHN_r3ioMudfSYI2Ml-Ti0-heNWe4uEwF6cR7m3Uz6tQvEyIz7XD_RD0TWM2b4Mjx_A7yJogb1W3fXrk2dJQmVtintfxt-RdbPoZNef_ixKd0VN-jGg7V5BhH1b4w6vXvbmJVN1fVDyWwtQ8s1rYIlV8LQJ55Q2UXB9KTLktM3Y47CzJZ54qkbKN4BRFKN8yaA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:12:19.564Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODMwMzAsImlhdCI6MTc1MjI4MjczMCwiYXV0aF90aW1lIjoxNzUyMjgyNzI5LCJqdGkiOiI4MDMzMjg0My1jNGE1LTQ1NmMtOWZjOS0zMDQ0MmUwZDY5M2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Zk7mbuGxBxQlbqmBHZFFTUFefEpmuOBkJAkbcOXQrsQ5b5HFS7YVQBBUdhMDjFAwP2DhV86xY1N955J-NTBWuuQNF2RBH01r9jaj46QJkuAAa9ue5Lx-dH_2GMgOZLF0bK5pGoP_JObrRKBpH6yVqHN_r3ioMudfSYI2Ml-Ti0-heNWe4uEwF6cR7m3Uz6tQvEyIz7XD_RD0TWM2b4Mjx_A7yJogb1W3fXrk2dJQmVtintfxt-RdbPoZNef_ixKd0VN-jGg7V5BhH1b4w6vXvbmJVN1fVDyWwtQ8s1rYIlV8LQJ55Q2UXB9KTLktM3Y47CzJZ54qkbKN4BRFKN8yaA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:12:21.587Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODMwMzAsImlhdCI6MTc1MjI4MjczMCwiYXV0aF90aW1lIjoxNzUyMjgyNzI5LCJqdGkiOiI4MDMzMjg0My1jNGE1LTQ1NmMtOWZjOS0zMDQ0MmUwZDY5M2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Zk7mbuGxBxQlbqmBHZFFTUFefEpmuOBkJAkbcOXQrsQ5b5HFS7YVQBBUdhMDjFAwP2DhV86xY1N955J-NTBWuuQNF2RBH01r9jaj46QJkuAAa9ue5Lx-dH_2GMgOZLF0bK5pGoP_JObrRKBpH6yVqHN_r3ioMudfSYI2Ml-Ti0-heNWe4uEwF6cR7m3Uz6tQvEyIz7XD_RD0TWM2b4Mjx_A7yJogb1W3fXrk2dJQmVtintfxt-RdbPoZNef_ixKd0VN-jGg7V5BhH1b4w6vXvbmJVN1fVDyWwtQ8s1rYIlV8LQJ55Q2UXB9KTLktM3Y47CzJZ54qkbKN4BRFKN8yaA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:12:23.602Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODMwMzAsImlhdCI6MTc1MjI4MjczMCwiYXV0aF90aW1lIjoxNzUyMjgyNzI5LCJqdGkiOiI4MDMzMjg0My1jNGE1LTQ1NmMtOWZjOS0zMDQ0MmUwZDY5M2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Zk7mbuGxBxQlbqmBHZFFTUFefEpmuOBkJAkbcOXQrsQ5b5HFS7YVQBBUdhMDjFAwP2DhV86xY1N955J-NTBWuuQNF2RBH01r9jaj46QJkuAAa9ue5Lx-dH_2GMgOZLF0bK5pGoP_JObrRKBpH6yVqHN_r3ioMudfSYI2Ml-Ti0-heNWe4uEwF6cR7m3Uz6tQvEyIz7XD_RD0TWM2b4Mjx_A7yJogb1W3fXrk2dJQmVtintfxt-RdbPoZNef_ixKd0VN-jGg7V5BhH1b4w6vXvbmJVN1fVDyWwtQ8s1rYIlV8LQJ55Q2UXB9KTLktM3Y47CzJZ54qkbKN4BRFKN8yaA' failed: Establishing a tunnel via proxy server failed.

