[2025-07-12T00:55:31.328Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=d94a2154-fae5-4d13-9db5-9238855e08ff&response_mode=fragment&response_type=code&scope=openid&nonce=7740b101-c135-4a55-8afc-09db560cbfa0 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:55:31.329Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=d94a2154-fae5-4d13-9db5-9238855e08ff&response_mode=fragment&response_type=code&scope=openid&nonce=7740b101-c135-4a55-8afc-09db560cbfa0 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:55:33.945Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIwMzIsImlhdCI6MTc1MjI4MTczMiwiYXV0aF90aW1lIjoxNzUyMjgxNzMxLCJqdGkiOiI4NTM2MDE0ZC01YjcwLTRiN2ItOGJmNy1iMjNjMjFkODdjNjAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fX2o2CRzi4eO_-dojcEtQHvOtDx8pDDbaQ5yd4JuGbe9LOlxKxU-DEOcxrhj2zZwJeS6uaV1IvGt7lzsRcYEd_900nM8IUvyQs0Q3sMl_n3-jhlAyZwTeFFDSO6ZbgBmAcMJwSv1JGVxZmLONiHUC2ZeIHwc-CENjxaYBtYCP5mva3NG-GKI-rqf-F_gW2JvZCCpY0-5prKGozLwDcA9MZsZeUAO2hDqKxbrP5J_LpKUt0Tq4YIdbYg2jL_sBUDsD9BMErF72IAxVLUwUQ0rs_gLiZ7kTj-AaOznLaNXXIZUPYzKi7cV3S-PFs4-uYPTJkuoX1MnxTNlfjNrY5Q78Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:55:35.954Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIwMzIsImlhdCI6MTc1MjI4MTczMiwiYXV0aF90aW1lIjoxNzUyMjgxNzMxLCJqdGkiOiI4NTM2MDE0ZC01YjcwLTRiN2ItOGJmNy1iMjNjMjFkODdjNjAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fX2o2CRzi4eO_-dojcEtQHvOtDx8pDDbaQ5yd4JuGbe9LOlxKxU-DEOcxrhj2zZwJeS6uaV1IvGt7lzsRcYEd_900nM8IUvyQs0Q3sMl_n3-jhlAyZwTeFFDSO6ZbgBmAcMJwSv1JGVxZmLONiHUC2ZeIHwc-CENjxaYBtYCP5mva3NG-GKI-rqf-F_gW2JvZCCpY0-5prKGozLwDcA9MZsZeUAO2hDqKxbrP5J_LpKUt0Tq4YIdbYg2jL_sBUDsD9BMErF72IAxVLUwUQ0rs_gLiZ7kTj-AaOznLaNXXIZUPYzKi7cV3S-PFs4-uYPTJkuoX1MnxTNlfjNrY5Q78Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:55:37.961Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIwMzIsImlhdCI6MTc1MjI4MTczMiwiYXV0aF90aW1lIjoxNzUyMjgxNzMxLCJqdGkiOiI4NTM2MDE0ZC01YjcwLTRiN2ItOGJmNy1iMjNjMjFkODdjNjAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fX2o2CRzi4eO_-dojcEtQHvOtDx8pDDbaQ5yd4JuGbe9LOlxKxU-DEOcxrhj2zZwJeS6uaV1IvGt7lzsRcYEd_900nM8IUvyQs0Q3sMl_n3-jhlAyZwTeFFDSO6ZbgBmAcMJwSv1JGVxZmLONiHUC2ZeIHwc-CENjxaYBtYCP5mva3NG-GKI-rqf-F_gW2JvZCCpY0-5prKGozLwDcA9MZsZeUAO2hDqKxbrP5J_LpKUt0Tq4YIdbYg2jL_sBUDsD9BMErF72IAxVLUwUQ0rs_gLiZ7kTj-AaOznLaNXXIZUPYzKi7cV3S-PFs4-uYPTJkuoX1MnxTNlfjNrY5Q78Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:55:39.970Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIwMzIsImlhdCI6MTc1MjI4MTczMiwiYXV0aF90aW1lIjoxNzUyMjgxNzMxLCJqdGkiOiI4NTM2MDE0ZC01YjcwLTRiN2ItOGJmNy1iMjNjMjFkODdjNjAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fX2o2CRzi4eO_-dojcEtQHvOtDx8pDDbaQ5yd4JuGbe9LOlxKxU-DEOcxrhj2zZwJeS6uaV1IvGt7lzsRcYEd_900nM8IUvyQs0Q3sMl_n3-jhlAyZwTeFFDSO6ZbgBmAcMJwSv1JGVxZmLONiHUC2ZeIHwc-CENjxaYBtYCP5mva3NG-GKI-rqf-F_gW2JvZCCpY0-5prKGozLwDcA9MZsZeUAO2hDqKxbrP5J_LpKUt0Tq4YIdbYg2jL_sBUDsD9BMErF72IAxVLUwUQ0rs_gLiZ7kTj-AaOznLaNXXIZUPYzKi7cV3S-PFs4-uYPTJkuoX1MnxTNlfjNrY5Q78Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:55:42.159Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIwMzIsImlhdCI6MTc1MjI4MTczMiwiYXV0aF90aW1lIjoxNzUyMjgxNzMxLCJqdGkiOiI4NTM2MDE0ZC01YjcwLTRiN2ItOGJmNy1iMjNjMjFkODdjNjAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fX2o2CRzi4eO_-dojcEtQHvOtDx8pDDbaQ5yd4JuGbe9LOlxKxU-DEOcxrhj2zZwJeS6uaV1IvGt7lzsRcYEd_900nM8IUvyQs0Q3sMl_n3-jhlAyZwTeFFDSO6ZbgBmAcMJwSv1JGVxZmLONiHUC2ZeIHwc-CENjxaYBtYCP5mva3NG-GKI-rqf-F_gW2JvZCCpY0-5prKGozLwDcA9MZsZeUAO2hDqKxbrP5J_LpKUt0Tq4YIdbYg2jL_sBUDsD9BMErF72IAxVLUwUQ0rs_gLiZ7kTj-AaOznLaNXXIZUPYzKi7cV3S-PFs4-uYPTJkuoX1MnxTNlfjNrY5Q78Q' failed: Establishing a tunnel via proxy server failed.
