[2025-07-12T01:10:07.814Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=1bd6f0c8-b89a-46e7-9b50-fb0b445fe371&response_mode=fragment&response_type=code&scope=openid&nonce=39518a80-801a-4bc4-8ea9-8fce851d6b56 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T01:10:07.816Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=1bd6f0c8-b89a-46e7-9b50-fb0b445fe371&response_mode=fragment&response_type=code&scope=openid&nonce=39518a80-801a-4bc4-8ea9-8fce851d6b56 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T01:10:10.340Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI5MDksImlhdCI6MTc1MjI4MjYwOSwiYXV0aF90aW1lIjoxNzUyMjgyNjA4LCJqdGkiOiIwMmI3MDc0OC0yOTViLTQxYjYtYTUzNS02MjI1ZWZkODlhMjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fSSShlWltmQrdifgY-MxFm1b8TpegqJ8Ohov3r8ultSH-cVslsIp5NVKT_1J4DSybCS9aT-rOMLTz5zGw0RFh8nJlOC2ab6sznCoTkQDiXMZYKp4TsTcQT47dSGx3CuE7g5s4SLgp6QO-EGFjulpi8x8er-wcrzstJq1lpEfP8Bl-GUXuIPqtUbkBeS9mnCGA83TN8FEA6kVj7mdEsHq9wmG5gU0-aHORnlOSOh0vHzlgOB-m_0vDhKR6saRLNeGu0KKf4fZAxfLcyhb1pIs3QveeiEWMe6KVCZZp-Zajjq6rwfSPKdijCLnLyR3qnez34T_03KXxRF2yWTzvElHsQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:10:12.363Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI5MDksImlhdCI6MTc1MjI4MjYwOSwiYXV0aF90aW1lIjoxNzUyMjgyNjA4LCJqdGkiOiIwMmI3MDc0OC0yOTViLTQxYjYtYTUzNS02MjI1ZWZkODlhMjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fSSShlWltmQrdifgY-MxFm1b8TpegqJ8Ohov3r8ultSH-cVslsIp5NVKT_1J4DSybCS9aT-rOMLTz5zGw0RFh8nJlOC2ab6sznCoTkQDiXMZYKp4TsTcQT47dSGx3CuE7g5s4SLgp6QO-EGFjulpi8x8er-wcrzstJq1lpEfP8Bl-GUXuIPqtUbkBeS9mnCGA83TN8FEA6kVj7mdEsHq9wmG5gU0-aHORnlOSOh0vHzlgOB-m_0vDhKR6saRLNeGu0KKf4fZAxfLcyhb1pIs3QveeiEWMe6KVCZZp-Zajjq6rwfSPKdijCLnLyR3qnez34T_03KXxRF2yWTzvElHsQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:10:14.461Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI5MDksImlhdCI6MTc1MjI4MjYwOSwiYXV0aF90aW1lIjoxNzUyMjgyNjA4LCJqdGkiOiIwMmI3MDc0OC0yOTViLTQxYjYtYTUzNS02MjI1ZWZkODlhMjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fSSShlWltmQrdifgY-MxFm1b8TpegqJ8Ohov3r8ultSH-cVslsIp5NVKT_1J4DSybCS9aT-rOMLTz5zGw0RFh8nJlOC2ab6sznCoTkQDiXMZYKp4TsTcQT47dSGx3CuE7g5s4SLgp6QO-EGFjulpi8x8er-wcrzstJq1lpEfP8Bl-GUXuIPqtUbkBeS9mnCGA83TN8FEA6kVj7mdEsHq9wmG5gU0-aHORnlOSOh0vHzlgOB-m_0vDhKR6saRLNeGu0KKf4fZAxfLcyhb1pIs3QveeiEWMe6KVCZZp-Zajjq6rwfSPKdijCLnLyR3qnez34T_03KXxRF2yWTzvElHsQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:10:16.464Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI5MDksImlhdCI6MTc1MjI4MjYwOSwiYXV0aF90aW1lIjoxNzUyMjgyNjA4LCJqdGkiOiIwMmI3MDc0OC0yOTViLTQxYjYtYTUzNS02MjI1ZWZkODlhMjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fSSShlWltmQrdifgY-MxFm1b8TpegqJ8Ohov3r8ultSH-cVslsIp5NVKT_1J4DSybCS9aT-rOMLTz5zGw0RFh8nJlOC2ab6sznCoTkQDiXMZYKp4TsTcQT47dSGx3CuE7g5s4SLgp6QO-EGFjulpi8x8er-wcrzstJq1lpEfP8Bl-GUXuIPqtUbkBeS9mnCGA83TN8FEA6kVj7mdEsHq9wmG5gU0-aHORnlOSOh0vHzlgOB-m_0vDhKR6saRLNeGu0KKf4fZAxfLcyhb1pIs3QveeiEWMe6KVCZZp-Zajjq6rwfSPKdijCLnLyR3qnez34T_03KXxRF2yWTzvElHsQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:10:18.471Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI5MDksImlhdCI6MTc1MjI4MjYwOSwiYXV0aF90aW1lIjoxNzUyMjgyNjA4LCJqdGkiOiIwMmI3MDc0OC0yOTViLTQxYjYtYTUzNS02MjI1ZWZkODlhMjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fSSShlWltmQrdifgY-MxFm1b8TpegqJ8Ohov3r8ultSH-cVslsIp5NVKT_1J4DSybCS9aT-rOMLTz5zGw0RFh8nJlOC2ab6sznCoTkQDiXMZYKp4TsTcQT47dSGx3CuE7g5s4SLgp6QO-EGFjulpi8x8er-wcrzstJq1lpEfP8Bl-GUXuIPqtUbkBeS9mnCGA83TN8FEA6kVj7mdEsHq9wmG5gU0-aHORnlOSOh0vHzlgOB-m_0vDhKR6saRLNeGu0KKf4fZAxfLcyhb1pIs3QveeiEWMe6KVCZZp-Zajjq6rwfSPKdijCLnLyR3qnez34T_03KXxRF2yWTzvElHsQ' failed: Establishing a tunnel via proxy server failed.
