[2025-07-12T00:35:23.553Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=781439e6-ad8c-42c3-9b3e-9c0522575f00&response_mode=fragment&response_type=code&scope=openid&nonce=fab00d50-a22b-4001-91b7-0c820c74648d - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:35:23.554Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=781439e6-ad8c-42c3-9b3e-9c0522575f00&response_mode=fragment&response_type=code&scope=openid&nonce=fab00d50-a22b-4001-91b7-0c820c74648d - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:35:25.770Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4MjQsImlhdCI6MTc1MjI4MDUyNCwiYXV0aF90aW1lIjoxNzUyMjgwNTIzLCJqdGkiOiJhMDkxMmRlOC03MDAzLTRlNjAtYTUxYi0wNWUwMWMzMzEzOGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.GnypSEGAqme2eI5ceI5Oyg6Dc63-K9TO5RgQneOCWTPugMteXMqJqr8bC3Da1QF1guwj1nJxVm1lrrxS_aa0n1wVSRSjDu8XsbxMDyv_vqPoFfuCCWGZZG1-k3h13eKH8O6YSXQ_2-AMlzg90LOZiXe9tPh_DpW6ZqUPzkxJj7y_mHq7nXLIEFueEiQjtFjbWieI_AlAn_wn587ZghLxHh4LLJi1Saa6BQ4AR4TcbW-iHFOSgfZJG_JuyAO7oJImXYAx5DzUvoq_-HTm3-iL6XXPmpEkfF1XbexcpOYFCYiJdUp4a5DaGKVBipATYPC6g40Xompi-azOrt6-DIcdXw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:35:27.772Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4MjQsImlhdCI6MTc1MjI4MDUyNCwiYXV0aF90aW1lIjoxNzUyMjgwNTIzLCJqdGkiOiJhMDkxMmRlOC03MDAzLTRlNjAtYTUxYi0wNWUwMWMzMzEzOGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.GnypSEGAqme2eI5ceI5Oyg6Dc63-K9TO5RgQneOCWTPugMteXMqJqr8bC3Da1QF1guwj1nJxVm1lrrxS_aa0n1wVSRSjDu8XsbxMDyv_vqPoFfuCCWGZZG1-k3h13eKH8O6YSXQ_2-AMlzg90LOZiXe9tPh_DpW6ZqUPzkxJj7y_mHq7nXLIEFueEiQjtFjbWieI_AlAn_wn587ZghLxHh4LLJi1Saa6BQ4AR4TcbW-iHFOSgfZJG_JuyAO7oJImXYAx5DzUvoq_-HTm3-iL6XXPmpEkfF1XbexcpOYFCYiJdUp4a5DaGKVBipATYPC6g40Xompi-azOrt6-DIcdXw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:35:29.801Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4MjQsImlhdCI6MTc1MjI4MDUyNCwiYXV0aF90aW1lIjoxNzUyMjgwNTIzLCJqdGkiOiJhMDkxMmRlOC03MDAzLTRlNjAtYTUxYi0wNWUwMWMzMzEzOGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.GnypSEGAqme2eI5ceI5Oyg6Dc63-K9TO5RgQneOCWTPugMteXMqJqr8bC3Da1QF1guwj1nJxVm1lrrxS_aa0n1wVSRSjDu8XsbxMDyv_vqPoFfuCCWGZZG1-k3h13eKH8O6YSXQ_2-AMlzg90LOZiXe9tPh_DpW6ZqUPzkxJj7y_mHq7nXLIEFueEiQjtFjbWieI_AlAn_wn587ZghLxHh4LLJi1Saa6BQ4AR4TcbW-iHFOSgfZJG_JuyAO7oJImXYAx5DzUvoq_-HTm3-iL6XXPmpEkfF1XbexcpOYFCYiJdUp4a5DaGKVBipATYPC6g40Xompi-azOrt6-DIcdXw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:35:31.943Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4MjQsImlhdCI6MTc1MjI4MDUyNCwiYXV0aF90aW1lIjoxNzUyMjgwNTIzLCJqdGkiOiJhMDkxMmRlOC03MDAzLTRlNjAtYTUxYi0wNWUwMWMzMzEzOGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.GnypSEGAqme2eI5ceI5Oyg6Dc63-K9TO5RgQneOCWTPugMteXMqJqr8bC3Da1QF1guwj1nJxVm1lrrxS_aa0n1wVSRSjDu8XsbxMDyv_vqPoFfuCCWGZZG1-k3h13eKH8O6YSXQ_2-AMlzg90LOZiXe9tPh_DpW6ZqUPzkxJj7y_mHq7nXLIEFueEiQjtFjbWieI_AlAn_wn587ZghLxHh4LLJi1Saa6BQ4AR4TcbW-iHFOSgfZJG_JuyAO7oJImXYAx5DzUvoq_-HTm3-iL6XXPmpEkfF1XbexcpOYFCYiJdUp4a5DaGKVBipATYPC6g40Xompi-azOrt6-DIcdXw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:35:33.879Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4MjQsImlhdCI6MTc1MjI4MDUyNCwiYXV0aF90aW1lIjoxNzUyMjgwNTIzLCJqdGkiOiJhMDkxMmRlOC03MDAzLTRlNjAtYTUxYi0wNWUwMWMzMzEzOGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.GnypSEGAqme2eI5ceI5Oyg6Dc63-K9TO5RgQneOCWTPugMteXMqJqr8bC3Da1QF1guwj1nJxVm1lrrxS_aa0n1wVSRSjDu8XsbxMDyv_vqPoFfuCCWGZZG1-k3h13eKH8O6YSXQ_2-AMlzg90LOZiXe9tPh_DpW6ZqUPzkxJj7y_mHq7nXLIEFueEiQjtFjbWieI_AlAn_wn587ZghLxHh4LLJi1Saa6BQ4AR4TcbW-iHFOSgfZJG_JuyAO7oJImXYAx5DzUvoq_-HTm3-iL6XXPmpEkfF1XbexcpOYFCYiJdUp4a5DaGKVBipATYPC6g40Xompi-azOrt6-DIcdXw' failed: Establishing a tunnel via proxy server failed.
