[2025-07-12T00:38:59.221Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=7b8014fb-5bc7-4697-98e5-c67d41c576a2&response_mode=fragment&response_type=code&scope=openid&nonce=b892a18b-9bd8-4143-8376-60e42300b751 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:38:59.223Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=7b8014fb-5bc7-4697-98e5-c67d41c576a2&response_mode=fragment&response_type=code&scope=openid&nonce=b892a18b-9bd8-4143-8376-60e42300b751 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:39:01.629Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEwNDAsImlhdCI6MTc1MjI4MDc0MCwiYXV0aF90aW1lIjoxNzUyMjgwNzM5LCJqdGkiOiI0YTU3NDU2MC00Mjc0LTQ4MDgtYWFlZS03YjMyZGM3NmZhZmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.HAPxBfayDjK-Xirb7A3Qh6XGUrtytQK_5JzQMLWBclDaBVAdPr7mf5TNUDqKRZ3gIdxcyaLLkNRKyqOXHEg3_q060KyWOh54yiENAEwzXz2TmsHvP02OZUMiq7mBFEscaVFeH4FivU1tFVfgUpWsJmcm0uj4mzFiS2fgwJ7HXioBj_W4iLIbnwx18d2PIXVzpdY-2UnleqKrQ0NLedqVxxKaUgJrH4ZUALVidOqMZigT8QjdsExTrh7s5zF0X_QUQuWSIV3aSxvzkurHojLyLH0p4s0XlU6E0ZRa7fuXQq12j_tvriBPzl8s_MQrwwZr_GU2vlwNZwtx_rJGj7Zi6A' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:39:03.640Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEwNDAsImlhdCI6MTc1MjI4MDc0MCwiYXV0aF90aW1lIjoxNzUyMjgwNzM5LCJqdGkiOiI0YTU3NDU2MC00Mjc0LTQ4MDgtYWFlZS03YjMyZGM3NmZhZmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.HAPxBfayDjK-Xirb7A3Qh6XGUrtytQK_5JzQMLWBclDaBVAdPr7mf5TNUDqKRZ3gIdxcyaLLkNRKyqOXHEg3_q060KyWOh54yiENAEwzXz2TmsHvP02OZUMiq7mBFEscaVFeH4FivU1tFVfgUpWsJmcm0uj4mzFiS2fgwJ7HXioBj_W4iLIbnwx18d2PIXVzpdY-2UnleqKrQ0NLedqVxxKaUgJrH4ZUALVidOqMZigT8QjdsExTrh7s5zF0X_QUQuWSIV3aSxvzkurHojLyLH0p4s0XlU6E0ZRa7fuXQq12j_tvriBPzl8s_MQrwwZr_GU2vlwNZwtx_rJGj7Zi6A' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:39:05.710Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEwNDAsImlhdCI6MTc1MjI4MDc0MCwiYXV0aF90aW1lIjoxNzUyMjgwNzM5LCJqdGkiOiI0YTU3NDU2MC00Mjc0LTQ4MDgtYWFlZS03YjMyZGM3NmZhZmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.HAPxBfayDjK-Xirb7A3Qh6XGUrtytQK_5JzQMLWBclDaBVAdPr7mf5TNUDqKRZ3gIdxcyaLLkNRKyqOXHEg3_q060KyWOh54yiENAEwzXz2TmsHvP02OZUMiq7mBFEscaVFeH4FivU1tFVfgUpWsJmcm0uj4mzFiS2fgwJ7HXioBj_W4iLIbnwx18d2PIXVzpdY-2UnleqKrQ0NLedqVxxKaUgJrH4ZUALVidOqMZigT8QjdsExTrh7s5zF0X_QUQuWSIV3aSxvzkurHojLyLH0p4s0XlU6E0ZRa7fuXQq12j_tvriBPzl8s_MQrwwZr_GU2vlwNZwtx_rJGj7Zi6A' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:39:07.773Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEwNDAsImlhdCI6MTc1MjI4MDc0MCwiYXV0aF90aW1lIjoxNzUyMjgwNzM5LCJqdGkiOiI0YTU3NDU2MC00Mjc0LTQ4MDgtYWFlZS03YjMyZGM3NmZhZmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.HAPxBfayDjK-Xirb7A3Qh6XGUrtytQK_5JzQMLWBclDaBVAdPr7mf5TNUDqKRZ3gIdxcyaLLkNRKyqOXHEg3_q060KyWOh54yiENAEwzXz2TmsHvP02OZUMiq7mBFEscaVFeH4FivU1tFVfgUpWsJmcm0uj4mzFiS2fgwJ7HXioBj_W4iLIbnwx18d2PIXVzpdY-2UnleqKrQ0NLedqVxxKaUgJrH4ZUALVidOqMZigT8QjdsExTrh7s5zF0X_QUQuWSIV3aSxvzkurHojLyLH0p4s0XlU6E0ZRa7fuXQq12j_tvriBPzl8s_MQrwwZr_GU2vlwNZwtx_rJGj7Zi6A' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:39:09.860Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEwNDAsImlhdCI6MTc1MjI4MDc0MCwiYXV0aF90aW1lIjoxNzUyMjgwNzM5LCJqdGkiOiI0YTU3NDU2MC00Mjc0LTQ4MDgtYWFlZS03YjMyZGM3NmZhZmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.HAPxBfayDjK-Xirb7A3Qh6XGUrtytQK_5JzQMLWBclDaBVAdPr7mf5TNUDqKRZ3gIdxcyaLLkNRKyqOXHEg3_q060KyWOh54yiENAEwzXz2TmsHvP02OZUMiq7mBFEscaVFeH4FivU1tFVfgUpWsJmcm0uj4mzFiS2fgwJ7HXioBj_W4iLIbnwx18d2PIXVzpdY-2UnleqKrQ0NLedqVxxKaUgJrH4ZUALVidOqMZigT8QjdsExTrh7s5zF0X_QUQuWSIV3aSxvzkurHojLyLH0p4s0XlU6E0ZRa7fuXQq12j_tvriBPzl8s_MQrwwZr_GU2vlwNZwtx_rJGj7Zi6A' failed: Establishing a tunnel via proxy server failed.
