[2025-07-12T00:37:02.160Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=8330f764-abc9-4bee-9713-582cb982407d&response_mode=fragment&response_type=code&scope=openid&nonce=b199031b-6030-403b-8b24-fc639edf4aa8 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:37:02.162Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=8330f764-abc9-4bee-9713-582cb982407d&response_mode=fragment&response_type=code&scope=openid&nonce=b199031b-6030-403b-8b24-fc639edf4aa8 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:37:05.020Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5MjMsImlhdCI6MTc1MjI4MDYyMywiYXV0aF90aW1lIjoxNzUyMjgwNjIyLCJqdGkiOiJhZGY5OTE3YS1mOTY4LTQwYzQtOTBkZS04ZDNkNzc4NzFiNzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.G-2dSXzKtFF6Z07sUsJ9xm40bc1XIrwE1V1Nu1JaJwvGr7VxtqH7A8VaRsUe1hXlcDaJS1Q28wm_LQmh2xPek-rYg43hpVOHVdJWaaFgQbsoSlOQ1LtWWzQBZPEmM5OtwGYbLTcIh86Suuhhde-aVnEnfd9rTUzGn75VmGuWDIVJaKuwHmc7eniGqeqyKnwPGqeTPoxU_sVnvnxizHQcE6K_V_XPYGkQnIpCkMzLc70zk01ipCNBcct8vdU8yIB3j4Bci4hHPhm808EHC6ubTrepCZAxP4tzsdnfnm7QjZisheX1q0ym57VHZKQhSgv-AP6dlPZNFwPQFIAMxGvb3Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:37:07.020Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5MjMsImlhdCI6MTc1MjI4MDYyMywiYXV0aF90aW1lIjoxNzUyMjgwNjIyLCJqdGkiOiJhZGY5OTE3YS1mOTY4LTQwYzQtOTBkZS04ZDNkNzc4NzFiNzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.G-2dSXzKtFF6Z07sUsJ9xm40bc1XIrwE1V1Nu1JaJwvGr7VxtqH7A8VaRsUe1hXlcDaJS1Q28wm_LQmh2xPek-rYg43hpVOHVdJWaaFgQbsoSlOQ1LtWWzQBZPEmM5OtwGYbLTcIh86Suuhhde-aVnEnfd9rTUzGn75VmGuWDIVJaKuwHmc7eniGqeqyKnwPGqeTPoxU_sVnvnxizHQcE6K_V_XPYGkQnIpCkMzLc70zk01ipCNBcct8vdU8yIB3j4Bci4hHPhm808EHC6ubTrepCZAxP4tzsdnfnm7QjZisheX1q0ym57VHZKQhSgv-AP6dlPZNFwPQFIAMxGvb3Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:37:09.113Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5MjMsImlhdCI6MTc1MjI4MDYyMywiYXV0aF90aW1lIjoxNzUyMjgwNjIyLCJqdGkiOiJhZGY5OTE3YS1mOTY4LTQwYzQtOTBkZS04ZDNkNzc4NzFiNzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.G-2dSXzKtFF6Z07sUsJ9xm40bc1XIrwE1V1Nu1JaJwvGr7VxtqH7A8VaRsUe1hXlcDaJS1Q28wm_LQmh2xPek-rYg43hpVOHVdJWaaFgQbsoSlOQ1LtWWzQBZPEmM5OtwGYbLTcIh86Suuhhde-aVnEnfd9rTUzGn75VmGuWDIVJaKuwHmc7eniGqeqyKnwPGqeTPoxU_sVnvnxizHQcE6K_V_XPYGkQnIpCkMzLc70zk01ipCNBcct8vdU8yIB3j4Bci4hHPhm808EHC6ubTrepCZAxP4tzsdnfnm7QjZisheX1q0ym57VHZKQhSgv-AP6dlPZNFwPQFIAMxGvb3Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:37:11.184Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5MjMsImlhdCI6MTc1MjI4MDYyMywiYXV0aF90aW1lIjoxNzUyMjgwNjIyLCJqdGkiOiJhZGY5OTE3YS1mOTY4LTQwYzQtOTBkZS04ZDNkNzc4NzFiNzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.G-2dSXzKtFF6Z07sUsJ9xm40bc1XIrwE1V1Nu1JaJwvGr7VxtqH7A8VaRsUe1hXlcDaJS1Q28wm_LQmh2xPek-rYg43hpVOHVdJWaaFgQbsoSlOQ1LtWWzQBZPEmM5OtwGYbLTcIh86Suuhhde-aVnEnfd9rTUzGn75VmGuWDIVJaKuwHmc7eniGqeqyKnwPGqeTPoxU_sVnvnxizHQcE6K_V_XPYGkQnIpCkMzLc70zk01ipCNBcct8vdU8yIB3j4Bci4hHPhm808EHC6ubTrepCZAxP4tzsdnfnm7QjZisheX1q0ym57VHZKQhSgv-AP6dlPZNFwPQFIAMxGvb3Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:37:13.038Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5MjMsImlhdCI6MTc1MjI4MDYyMywiYXV0aF90aW1lIjoxNzUyMjgwNjIyLCJqdGkiOiJhZGY5OTE3YS1mOTY4LTQwYzQtOTBkZS04ZDNkNzc4NzFiNzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.G-2dSXzKtFF6Z07sUsJ9xm40bc1XIrwE1V1Nu1JaJwvGr7VxtqH7A8VaRsUe1hXlcDaJS1Q28wm_LQmh2xPek-rYg43hpVOHVdJWaaFgQbsoSlOQ1LtWWzQBZPEmM5OtwGYbLTcIh86Suuhhde-aVnEnfd9rTUzGn75VmGuWDIVJaKuwHmc7eniGqeqyKnwPGqeTPoxU_sVnvnxizHQcE6K_V_XPYGkQnIpCkMzLc70zk01ipCNBcct8vdU8yIB3j4Bci4hHPhm808EHC6ubTrepCZAxP4tzsdnfnm7QjZisheX1q0ym57VHZKQhSgv-AP6dlPZNFwPQFIAMxGvb3Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:37:15.070Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5MjMsImlhdCI6MTc1MjI4MDYyMywiYXV0aF90aW1lIjoxNzUyMjgwNjIyLCJqdGkiOiJhZGY5OTE3YS1mOTY4LTQwYzQtOTBkZS04ZDNkNzc4NzFiNzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.G-2dSXzKtFF6Z07sUsJ9xm40bc1XIrwE1V1Nu1JaJwvGr7VxtqH7A8VaRsUe1hXlcDaJS1Q28wm_LQmh2xPek-rYg43hpVOHVdJWaaFgQbsoSlOQ1LtWWzQBZPEmM5OtwGYbLTcIh86Suuhhde-aVnEnfd9rTUzGn75VmGuWDIVJaKuwHmc7eniGqeqyKnwPGqeTPoxU_sVnvnxizHQcE6K_V_XPYGkQnIpCkMzLc70zk01ipCNBcct8vdU8yIB3j4Bci4hHPhm808EHC6ubTrepCZAxP4tzsdnfnm7QjZisheX1q0ym57VHZKQhSgv-AP6dlPZNFwPQFIAMxGvb3Q' failed: Establishing a tunnel via proxy server failed.

