[2025-07-12T00:49:29.180Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=18f8d060-0861-4b39-8187-10d2db04133c&response_mode=fragment&response_type=code&scope=openid&nonce=f6881f81-d856-473f-acf9-b3f271e06759 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:49:29.182Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=18f8d060-0861-4b39-8187-10d2db04133c&response_mode=fragment&response_type=code&scope=openid&nonce=f6881f81-d856-473f-acf9-b3f271e06759 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:49:31.366Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE2NzAsImlhdCI6MTc1MjI4MTM3MCwiYXV0aF90aW1lIjoxNzUyMjgxMzY5LCJqdGkiOiI4N2I0NjU5Zi01ZmRmLTQ4YzctYWQwNy01MjExOGRiOTY3MzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.OmWVgbPiBRLwbT8ccDA17XqWISN-RAlGxxmfHcGy1wSih3G8rQ5gQOW36ZkGryRb553CbgP6CSEvt2DPP4TchrgmOfWyWLLd7ztCoFk7WwXASOEUqDxTEHACmOU5HE0EVQA7hC8ueHqUQjB9turhGeqCOxzy-bMyPl-IqBCq4KBBfyc5xRX5q-x3CQ0a7-FlFR5ZRNTRdOgfl46b9SAjYKhtynTxFWhIWiqcxkoi2f8wtBNpWAUKjP4jOyYthA1BQWmbyxBbnWwGPcjQ5Kv3jjtcgnreBl9yQzVVQceDdXSPLyGGob4dn_Xul7IPWfjo43EJwU7UwgPBmN-F0NIP6Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:49:33.372Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE2NzAsImlhdCI6MTc1MjI4MTM3MCwiYXV0aF90aW1lIjoxNzUyMjgxMzY5LCJqdGkiOiI4N2I0NjU5Zi01ZmRmLTQ4YzctYWQwNy01MjExOGRiOTY3MzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.OmWVgbPiBRLwbT8ccDA17XqWISN-RAlGxxmfHcGy1wSih3G8rQ5gQOW36ZkGryRb553CbgP6CSEvt2DPP4TchrgmOfWyWLLd7ztCoFk7WwXASOEUqDxTEHACmOU5HE0EVQA7hC8ueHqUQjB9turhGeqCOxzy-bMyPl-IqBCq4KBBfyc5xRX5q-x3CQ0a7-FlFR5ZRNTRdOgfl46b9SAjYKhtynTxFWhIWiqcxkoi2f8wtBNpWAUKjP4jOyYthA1BQWmbyxBbnWwGPcjQ5Kv3jjtcgnreBl9yQzVVQceDdXSPLyGGob4dn_Xul7IPWfjo43EJwU7UwgPBmN-F0NIP6Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:49:35.379Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE2NzAsImlhdCI6MTc1MjI4MTM3MCwiYXV0aF90aW1lIjoxNzUyMjgxMzY5LCJqdGkiOiI4N2I0NjU5Zi01ZmRmLTQ4YzctYWQwNy01MjExOGRiOTY3MzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.OmWVgbPiBRLwbT8ccDA17XqWISN-RAlGxxmfHcGy1wSih3G8rQ5gQOW36ZkGryRb553CbgP6CSEvt2DPP4TchrgmOfWyWLLd7ztCoFk7WwXASOEUqDxTEHACmOU5HE0EVQA7hC8ueHqUQjB9turhGeqCOxzy-bMyPl-IqBCq4KBBfyc5xRX5q-x3CQ0a7-FlFR5ZRNTRdOgfl46b9SAjYKhtynTxFWhIWiqcxkoi2f8wtBNpWAUKjP4jOyYthA1BQWmbyxBbnWwGPcjQ5Kv3jjtcgnreBl9yQzVVQceDdXSPLyGGob4dn_Xul7IPWfjo43EJwU7UwgPBmN-F0NIP6Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:49:37.404Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE2NzAsImlhdCI6MTc1MjI4MTM3MCwiYXV0aF90aW1lIjoxNzUyMjgxMzY5LCJqdGkiOiI4N2I0NjU5Zi01ZmRmLTQ4YzctYWQwNy01MjExOGRiOTY3MzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.OmWVgbPiBRLwbT8ccDA17XqWISN-RAlGxxmfHcGy1wSih3G8rQ5gQOW36ZkGryRb553CbgP6CSEvt2DPP4TchrgmOfWyWLLd7ztCoFk7WwXASOEUqDxTEHACmOU5HE0EVQA7hC8ueHqUQjB9turhGeqCOxzy-bMyPl-IqBCq4KBBfyc5xRX5q-x3CQ0a7-FlFR5ZRNTRdOgfl46b9SAjYKhtynTxFWhIWiqcxkoi2f8wtBNpWAUKjP4jOyYthA1BQWmbyxBbnWwGPcjQ5Kv3jjtcgnreBl9yQzVVQceDdXSPLyGGob4dn_Xul7IPWfjo43EJwU7UwgPBmN-F0NIP6Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:49:39.451Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE2NzAsImlhdCI6MTc1MjI4MTM3MCwiYXV0aF90aW1lIjoxNzUyMjgxMzY5LCJqdGkiOiI4N2I0NjU5Zi01ZmRmLTQ4YzctYWQwNy01MjExOGRiOTY3MzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.OmWVgbPiBRLwbT8ccDA17XqWISN-RAlGxxmfHcGy1wSih3G8rQ5gQOW36ZkGryRb553CbgP6CSEvt2DPP4TchrgmOfWyWLLd7ztCoFk7WwXASOEUqDxTEHACmOU5HE0EVQA7hC8ueHqUQjB9turhGeqCOxzy-bMyPl-IqBCq4KBBfyc5xRX5q-x3CQ0a7-FlFR5ZRNTRdOgfl46b9SAjYKhtynTxFWhIWiqcxkoi2f8wtBNpWAUKjP4jOyYthA1BQWmbyxBbnWwGPcjQ5Kv3jjtcgnreBl9yQzVVQceDdXSPLyGGob4dn_Xul7IPWfjo43EJwU7UwgPBmN-F0NIP6Q' failed: Establishing a tunnel via proxy server failed.
