[2025-07-12T00:55:12.023Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=73d41440-547b-44a0-8e18-cc71a17c762b&response_mode=fragment&response_type=code&scope=openid&nonce=503d8025-5e82-45dc-98e3-39f084cfc7ab - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:55:12.024Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=73d41440-547b-44a0-8e18-cc71a17c762b&response_mode=fragment&response_type=code&scope=openid&nonce=503d8025-5e82-45dc-98e3-39f084cfc7ab - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:55:14.388Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIwMTMsImlhdCI6MTc1MjI4MTcxMywiYXV0aF90aW1lIjoxNzUyMjgxNzEyLCJqdGkiOiI3MjhmYmU2Yi1jYjlmLTQwYjMtYjA2ZS1hYjEyYWViYTBkMjEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.oUeSPsESLICfW7R6IFValH39Mc0n08NgawKFuHp3ZzOWtriFAPeg2KLJk48J2_a468x38vaQpJCTMAE_ar2hUy9ny8T1WIR9zVMGPMmmln5yl82-0m4QmHXbsMMIwIi08myW0s4fCvixWhwy_a15sCHxiwPIyf9rsOcWpyp7Uz6KcEcr-7T8uJpK_wKHqRT9GW2yUJUwehehhSQbZS4HmvXVQspyMlURQlmm7b7OXP3LEAScYYobMqFg2AeWsSwMbzWciYDqk0kuPHoe3qXVmst5yxWZFK4GzIzeN_72AKO1cAr2UUo0_wUtcXn1kdH6ULe5gWgcjYwwyFdfMLC17w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:55:16.396Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIwMTMsImlhdCI6MTc1MjI4MTcxMywiYXV0aF90aW1lIjoxNzUyMjgxNzEyLCJqdGkiOiI3MjhmYmU2Yi1jYjlmLTQwYjMtYjA2ZS1hYjEyYWViYTBkMjEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.oUeSPsESLICfW7R6IFValH39Mc0n08NgawKFuHp3ZzOWtriFAPeg2KLJk48J2_a468x38vaQpJCTMAE_ar2hUy9ny8T1WIR9zVMGPMmmln5yl82-0m4QmHXbsMMIwIi08myW0s4fCvixWhwy_a15sCHxiwPIyf9rsOcWpyp7Uz6KcEcr-7T8uJpK_wKHqRT9GW2yUJUwehehhSQbZS4HmvXVQspyMlURQlmm7b7OXP3LEAScYYobMqFg2AeWsSwMbzWciYDqk0kuPHoe3qXVmst5yxWZFK4GzIzeN_72AKO1cAr2UUo0_wUtcXn1kdH6ULe5gWgcjYwwyFdfMLC17w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:55:18.404Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIwMTMsImlhdCI6MTc1MjI4MTcxMywiYXV0aF90aW1lIjoxNzUyMjgxNzEyLCJqdGkiOiI3MjhmYmU2Yi1jYjlmLTQwYjMtYjA2ZS1hYjEyYWViYTBkMjEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.oUeSPsESLICfW7R6IFValH39Mc0n08NgawKFuHp3ZzOWtriFAPeg2KLJk48J2_a468x38vaQpJCTMAE_ar2hUy9ny8T1WIR9zVMGPMmmln5yl82-0m4QmHXbsMMIwIi08myW0s4fCvixWhwy_a15sCHxiwPIyf9rsOcWpyp7Uz6KcEcr-7T8uJpK_wKHqRT9GW2yUJUwehehhSQbZS4HmvXVQspyMlURQlmm7b7OXP3LEAScYYobMqFg2AeWsSwMbzWciYDqk0kuPHoe3qXVmst5yxWZFK4GzIzeN_72AKO1cAr2UUo0_wUtcXn1kdH6ULe5gWgcjYwwyFdfMLC17w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:55:20.518Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIwMTMsImlhdCI6MTc1MjI4MTcxMywiYXV0aF90aW1lIjoxNzUyMjgxNzEyLCJqdGkiOiI3MjhmYmU2Yi1jYjlmLTQwYjMtYjA2ZS1hYjEyYWViYTBkMjEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.oUeSPsESLICfW7R6IFValH39Mc0n08NgawKFuHp3ZzOWtriFAPeg2KLJk48J2_a468x38vaQpJCTMAE_ar2hUy9ny8T1WIR9zVMGPMmmln5yl82-0m4QmHXbsMMIwIi08myW0s4fCvixWhwy_a15sCHxiwPIyf9rsOcWpyp7Uz6KcEcr-7T8uJpK_wKHqRT9GW2yUJUwehehhSQbZS4HmvXVQspyMlURQlmm7b7OXP3LEAScYYobMqFg2AeWsSwMbzWciYDqk0kuPHoe3qXVmst5yxWZFK4GzIzeN_72AKO1cAr2UUo0_wUtcXn1kdH6ULe5gWgcjYwwyFdfMLC17w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:55:22.528Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIwMTMsImlhdCI6MTc1MjI4MTcxMywiYXV0aF90aW1lIjoxNzUyMjgxNzEyLCJqdGkiOiI3MjhmYmU2Yi1jYjlmLTQwYjMtYjA2ZS1hYjEyYWViYTBkMjEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.oUeSPsESLICfW7R6IFValH39Mc0n08NgawKFuHp3ZzOWtriFAPeg2KLJk48J2_a468x38vaQpJCTMAE_ar2hUy9ny8T1WIR9zVMGPMmmln5yl82-0m4QmHXbsMMIwIi08myW0s4fCvixWhwy_a15sCHxiwPIyf9rsOcWpyp7Uz6KcEcr-7T8uJpK_wKHqRT9GW2yUJUwehehhSQbZS4HmvXVQspyMlURQlmm7b7OXP3LEAScYYobMqFg2AeWsSwMbzWciYDqk0kuPHoe3qXVmst5yxWZFK4GzIzeN_72AKO1cAr2UUo0_wUtcXn1kdH6ULe5gWgcjYwwyFdfMLC17w' failed: Establishing a tunnel via proxy server failed.
