[2025-07-12T00:39:00.813Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=7ec29fab-4066-42ce-9d4b-ae5d2570f953&response_mode=fragment&response_type=code&scope=openid&nonce=dd4ce9ab-310a-49b0-8205-c0f55bf7a5fa - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:39:00.815Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=7ec29fab-4066-42ce-9d4b-ae5d2570f953&response_mode=fragment&response_type=code&scope=openid&nonce=dd4ce9ab-310a-49b0-8205-c0f55bf7a5fa - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:39:03.470Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEwNDIsImlhdCI6MTc1MjI4MDc0MiwiYXV0aF90aW1lIjoxNzUyMjgwNzQxLCJqdGkiOiI2YTc2ZTk2MS01NWZmLTRiYzAtYTRhOC0xNWRkNDNjZjg3YmQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.DbcgqbE9RArU80ylivxvnKLU4ub1VTx64_DoXC9JqSfMVI-767nZqjS5E_rokhlNtgVJ95udEtwGYV3gFIUMzblrfVk9dbRTmOihFoe23_6dscMQNbH0awXGN_EU8mtk_b_bt4QOMexyT_ofVOTltSPZ0izbLWAUMia-tTHV6312nLOGACXnsIj1Xy-2Hhv2XNvQ9Fkarzm8ijiUuAqC4pi-Mk8rruI4aIrI3CvlxysEwX20Mx-k7z_GoyHpJetCYn4JpOP28lW4PvYF88jV6iiBiC-Tihw0sDE0VRbCC0XJEy6tnqMcrFjVDsHOZp60bxt5rIN5adGibaJ6niPcmw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:39:05.545Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEwNDIsImlhdCI6MTc1MjI4MDc0MiwiYXV0aF90aW1lIjoxNzUyMjgwNzQxLCJqdGkiOiI2YTc2ZTk2MS01NWZmLTRiYzAtYTRhOC0xNWRkNDNjZjg3YmQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.DbcgqbE9RArU80ylivxvnKLU4ub1VTx64_DoXC9JqSfMVI-767nZqjS5E_rokhlNtgVJ95udEtwGYV3gFIUMzblrfVk9dbRTmOihFoe23_6dscMQNbH0awXGN_EU8mtk_b_bt4QOMexyT_ofVOTltSPZ0izbLWAUMia-tTHV6312nLOGACXnsIj1Xy-2Hhv2XNvQ9Fkarzm8ijiUuAqC4pi-Mk8rruI4aIrI3CvlxysEwX20Mx-k7z_GoyHpJetCYn4JpOP28lW4PvYF88jV6iiBiC-Tihw0sDE0VRbCC0XJEy6tnqMcrFjVDsHOZp60bxt5rIN5adGibaJ6niPcmw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:39:07.490Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEwNDIsImlhdCI6MTc1MjI4MDc0MiwiYXV0aF90aW1lIjoxNzUyMjgwNzQxLCJqdGkiOiI2YTc2ZTk2MS01NWZmLTRiYzAtYTRhOC0xNWRkNDNjZjg3YmQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.DbcgqbE9RArU80ylivxvnKLU4ub1VTx64_DoXC9JqSfMVI-767nZqjS5E_rokhlNtgVJ95udEtwGYV3gFIUMzblrfVk9dbRTmOihFoe23_6dscMQNbH0awXGN_EU8mtk_b_bt4QOMexyT_ofVOTltSPZ0izbLWAUMia-tTHV6312nLOGACXnsIj1Xy-2Hhv2XNvQ9Fkarzm8ijiUuAqC4pi-Mk8rruI4aIrI3CvlxysEwX20Mx-k7z_GoyHpJetCYn4JpOP28lW4PvYF88jV6iiBiC-Tihw0sDE0VRbCC0XJEy6tnqMcrFjVDsHOZp60bxt5rIN5adGibaJ6niPcmw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:39:09.547Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEwNDIsImlhdCI6MTc1MjI4MDc0MiwiYXV0aF90aW1lIjoxNzUyMjgwNzQxLCJqdGkiOiI2YTc2ZTk2MS01NWZmLTRiYzAtYTRhOC0xNWRkNDNjZjg3YmQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.DbcgqbE9RArU80ylivxvnKLU4ub1VTx64_DoXC9JqSfMVI-767nZqjS5E_rokhlNtgVJ95udEtwGYV3gFIUMzblrfVk9dbRTmOihFoe23_6dscMQNbH0awXGN_EU8mtk_b_bt4QOMexyT_ofVOTltSPZ0izbLWAUMia-tTHV6312nLOGACXnsIj1Xy-2Hhv2XNvQ9Fkarzm8ijiUuAqC4pi-Mk8rruI4aIrI3CvlxysEwX20Mx-k7z_GoyHpJetCYn4JpOP28lW4PvYF88jV6iiBiC-Tihw0sDE0VRbCC0XJEy6tnqMcrFjVDsHOZp60bxt5rIN5adGibaJ6niPcmw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:39:11.549Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEwNDIsImlhdCI6MTc1MjI4MDc0MiwiYXV0aF90aW1lIjoxNzUyMjgwNzQxLCJqdGkiOiI2YTc2ZTk2MS01NWZmLTRiYzAtYTRhOC0xNWRkNDNjZjg3YmQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.DbcgqbE9RArU80ylivxvnKLU4ub1VTx64_DoXC9JqSfMVI-767nZqjS5E_rokhlNtgVJ95udEtwGYV3gFIUMzblrfVk9dbRTmOihFoe23_6dscMQNbH0awXGN_EU8mtk_b_bt4QOMexyT_ofVOTltSPZ0izbLWAUMia-tTHV6312nLOGACXnsIj1Xy-2Hhv2XNvQ9Fkarzm8ijiUuAqC4pi-Mk8rruI4aIrI3CvlxysEwX20Mx-k7z_GoyHpJetCYn4JpOP28lW4PvYF88jV6iiBiC-Tihw0sDE0VRbCC0XJEy6tnqMcrFjVDsHOZp60bxt5rIN5adGibaJ6niPcmw' failed: Establishing a tunnel via proxy server failed.
