[2025-07-12T00:57:00.416Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=fa274633-2aa6-4729-af98-ea0e870335cb&response_mode=fragment&response_type=code&scope=openid&nonce=11f9ddde-5ed5-4035-a868-7b8eebf8cbe6 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:57:00.418Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=fa274633-2aa6-4729-af98-ea0e870335cb&response_mode=fragment&response_type=code&scope=openid&nonce=11f9ddde-5ed5-4035-a868-7b8eebf8cbe6 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:57:02.818Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIxMjEsImlhdCI6MTc1MjI4MTgyMSwiYXV0aF90aW1lIjoxNzUyMjgxODIwLCJqdGkiOiI3YzdhYmYzOS01NjNlLTRjZDUtODRhMi0wNWQwYzg1NmM0NTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.l7GhF0MdXbV1StZmx3Bn-LX4gkqfWhHHWUNy4jkBRYPLILVQVCcjBi6-CdzlWJoGTz5vq1xvbogII6Yu5_fcyWPxVP6jALfOwxXeUP1ZDLZuyIB0DlN6JVUiFraIoHcMFpz62WQp38PsL4U9bDO5XvjlJTN04_BrnuLOt1m2B66u21BDq4vgiwbjshRRgYkfq-p0wkIdQLNis62lRmmM_aDQ9_L6ND3qSLn-x8bVd63wOrflemBlt6W2jyXLogAhy0VU_1fOsx86P1LAkjAbjMMnuAw5y1ic-ZBK4eBgwOmCz5EHbiKUGl2mmxOcpWBcxt_-1Aj949HugxYGSeGLNg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:57:04.822Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIxMjEsImlhdCI6MTc1MjI4MTgyMSwiYXV0aF90aW1lIjoxNzUyMjgxODIwLCJqdGkiOiI3YzdhYmYzOS01NjNlLTRjZDUtODRhMi0wNWQwYzg1NmM0NTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.l7GhF0MdXbV1StZmx3Bn-LX4gkqfWhHHWUNy4jkBRYPLILVQVCcjBi6-CdzlWJoGTz5vq1xvbogII6Yu5_fcyWPxVP6jALfOwxXeUP1ZDLZuyIB0DlN6JVUiFraIoHcMFpz62WQp38PsL4U9bDO5XvjlJTN04_BrnuLOt1m2B66u21BDq4vgiwbjshRRgYkfq-p0wkIdQLNis62lRmmM_aDQ9_L6ND3qSLn-x8bVd63wOrflemBlt6W2jyXLogAhy0VU_1fOsx86P1LAkjAbjMMnuAw5y1ic-ZBK4eBgwOmCz5EHbiKUGl2mmxOcpWBcxt_-1Aj949HugxYGSeGLNg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:57:06.879Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIxMjEsImlhdCI6MTc1MjI4MTgyMSwiYXV0aF90aW1lIjoxNzUyMjgxODIwLCJqdGkiOiI3YzdhYmYzOS01NjNlLTRjZDUtODRhMi0wNWQwYzg1NmM0NTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.l7GhF0MdXbV1StZmx3Bn-LX4gkqfWhHHWUNy4jkBRYPLILVQVCcjBi6-CdzlWJoGTz5vq1xvbogII6Yu5_fcyWPxVP6jALfOwxXeUP1ZDLZuyIB0DlN6JVUiFraIoHcMFpz62WQp38PsL4U9bDO5XvjlJTN04_BrnuLOt1m2B66u21BDq4vgiwbjshRRgYkfq-p0wkIdQLNis62lRmmM_aDQ9_L6ND3qSLn-x8bVd63wOrflemBlt6W2jyXLogAhy0VU_1fOsx86P1LAkjAbjMMnuAw5y1ic-ZBK4eBgwOmCz5EHbiKUGl2mmxOcpWBcxt_-1Aj949HugxYGSeGLNg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:57:09.034Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIxMjEsImlhdCI6MTc1MjI4MTgyMSwiYXV0aF90aW1lIjoxNzUyMjgxODIwLCJqdGkiOiI3YzdhYmYzOS01NjNlLTRjZDUtODRhMi0wNWQwYzg1NmM0NTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.l7GhF0MdXbV1StZmx3Bn-LX4gkqfWhHHWUNy4jkBRYPLILVQVCcjBi6-CdzlWJoGTz5vq1xvbogII6Yu5_fcyWPxVP6jALfOwxXeUP1ZDLZuyIB0DlN6JVUiFraIoHcMFpz62WQp38PsL4U9bDO5XvjlJTN04_BrnuLOt1m2B66u21BDq4vgiwbjshRRgYkfq-p0wkIdQLNis62lRmmM_aDQ9_L6ND3qSLn-x8bVd63wOrflemBlt6W2jyXLogAhy0VU_1fOsx86P1LAkjAbjMMnuAw5y1ic-ZBK4eBgwOmCz5EHbiKUGl2mmxOcpWBcxt_-1Aj949HugxYGSeGLNg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:57:10.988Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODIxMjEsImlhdCI6MTc1MjI4MTgyMSwiYXV0aF90aW1lIjoxNzUyMjgxODIwLCJqdGkiOiI3YzdhYmYzOS01NjNlLTRjZDUtODRhMi0wNWQwYzg1NmM0NTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.l7GhF0MdXbV1StZmx3Bn-LX4gkqfWhHHWUNy4jkBRYPLILVQVCcjBi6-CdzlWJoGTz5vq1xvbogII6Yu5_fcyWPxVP6jALfOwxXeUP1ZDLZuyIB0DlN6JVUiFraIoHcMFpz62WQp38PsL4U9bDO5XvjlJTN04_BrnuLOt1m2B66u21BDq4vgiwbjshRRgYkfq-p0wkIdQLNis62lRmmM_aDQ9_L6ND3qSLn-x8bVd63wOrflemBlt6W2jyXLogAhy0VU_1fOsx86P1LAkjAbjMMnuAw5y1ic-ZBK4eBgwOmCz5EHbiKUGl2mmxOcpWBcxt_-1Aj949HugxYGSeGLNg' failed: Establishing a tunnel via proxy server failed.
