[2025-07-12T00:36:10.276Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=9d80cd6a-2faf-4f22-8500-67a899a4b5e5&response_mode=fragment&response_type=code&scope=openid&nonce=58787e3d-38cb-4d3d-9a7d-ba0d5373efc9 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:36:10.276Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=9d80cd6a-2faf-4f22-8500-67a899a4b5e5&response_mode=fragment&response_type=code&scope=openid&nonce=58787e3d-38cb-4d3d-9a7d-ba0d5373efc9 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:36:12.514Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4NzEsImlhdCI6MTc1MjI4MDU3MSwiYXV0aF90aW1lIjoxNzUyMjgwNTcwLCJqdGkiOiJiYmQwNzljZS1lYjVlLTQyMWYtYTg1Yy04YTY0Y2U2OTc5MjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.n_iIo2IATtcrFhdHuev3_3dYT71DUAdSoPmWJVeCIuVUVA-ZgoLO-sNpLlEe10UClZ7cgm71fxPIQGJqo3ap-2q50Qr1uJzuBxcoEcEBHbSGIdncniljW4s0Zcg8xj8DtruwNWVWpfvoqkfGws7t8DCRHog9OTGM81WU7O4_dwfoDwVGdCYOBSxPi8INwdfQRfjArfZkgx716gVuYbqwaeT9gKC21nivAvBe0pQb0KELUGi5_77J_PKFU7rJJXS03FyHNZZn4wxXC3EP0ASQnVoFi2BCPrGPEh-qaKAAi4imsonrP4qYRftrWtVgIRjevx_1MGFXYhiOErqkVpWY_Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:36:14.522Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4NzEsImlhdCI6MTc1MjI4MDU3MSwiYXV0aF90aW1lIjoxNzUyMjgwNTcwLCJqdGkiOiJiYmQwNzljZS1lYjVlLTQyMWYtYTg1Yy04YTY0Y2U2OTc5MjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.n_iIo2IATtcrFhdHuev3_3dYT71DUAdSoPmWJVeCIuVUVA-ZgoLO-sNpLlEe10UClZ7cgm71fxPIQGJqo3ap-2q50Qr1uJzuBxcoEcEBHbSGIdncniljW4s0Zcg8xj8DtruwNWVWpfvoqkfGws7t8DCRHog9OTGM81WU7O4_dwfoDwVGdCYOBSxPi8INwdfQRfjArfZkgx716gVuYbqwaeT9gKC21nivAvBe0pQb0KELUGi5_77J_PKFU7rJJXS03FyHNZZn4wxXC3EP0ASQnVoFi2BCPrGPEh-qaKAAi4imsonrP4qYRftrWtVgIRjevx_1MGFXYhiOErqkVpWY_Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:36:16.526Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4NzEsImlhdCI6MTc1MjI4MDU3MSwiYXV0aF90aW1lIjoxNzUyMjgwNTcwLCJqdGkiOiJiYmQwNzljZS1lYjVlLTQyMWYtYTg1Yy04YTY0Y2U2OTc5MjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.n_iIo2IATtcrFhdHuev3_3dYT71DUAdSoPmWJVeCIuVUVA-ZgoLO-sNpLlEe10UClZ7cgm71fxPIQGJqo3ap-2q50Qr1uJzuBxcoEcEBHbSGIdncniljW4s0Zcg8xj8DtruwNWVWpfvoqkfGws7t8DCRHog9OTGM81WU7O4_dwfoDwVGdCYOBSxPi8INwdfQRfjArfZkgx716gVuYbqwaeT9gKC21nivAvBe0pQb0KELUGi5_77J_PKFU7rJJXS03FyHNZZn4wxXC3EP0ASQnVoFi2BCPrGPEh-qaKAAi4imsonrP4qYRftrWtVgIRjevx_1MGFXYhiOErqkVpWY_Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:36:18.533Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4NzEsImlhdCI6MTc1MjI4MDU3MSwiYXV0aF90aW1lIjoxNzUyMjgwNTcwLCJqdGkiOiJiYmQwNzljZS1lYjVlLTQyMWYtYTg1Yy04YTY0Y2U2OTc5MjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.n_iIo2IATtcrFhdHuev3_3dYT71DUAdSoPmWJVeCIuVUVA-ZgoLO-sNpLlEe10UClZ7cgm71fxPIQGJqo3ap-2q50Qr1uJzuBxcoEcEBHbSGIdncniljW4s0Zcg8xj8DtruwNWVWpfvoqkfGws7t8DCRHog9OTGM81WU7O4_dwfoDwVGdCYOBSxPi8INwdfQRfjArfZkgx716gVuYbqwaeT9gKC21nivAvBe0pQb0KELUGi5_77J_PKFU7rJJXS03FyHNZZn4wxXC3EP0ASQnVoFi2BCPrGPEh-qaKAAi4imsonrP4qYRftrWtVgIRjevx_1MGFXYhiOErqkVpWY_Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:36:20.565Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4NzEsImlhdCI6MTc1MjI4MDU3MSwiYXV0aF90aW1lIjoxNzUyMjgwNTcwLCJqdGkiOiJiYmQwNzljZS1lYjVlLTQyMWYtYTg1Yy04YTY0Y2U2OTc5MjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.n_iIo2IATtcrFhdHuev3_3dYT71DUAdSoPmWJVeCIuVUVA-ZgoLO-sNpLlEe10UClZ7cgm71fxPIQGJqo3ap-2q50Qr1uJzuBxcoEcEBHbSGIdncniljW4s0Zcg8xj8DtruwNWVWpfvoqkfGws7t8DCRHog9OTGM81WU7O4_dwfoDwVGdCYOBSxPi8INwdfQRfjArfZkgx716gVuYbqwaeT9gKC21nivAvBe0pQb0KELUGi5_77J_PKFU7rJJXS03FyHNZZn4wxXC3EP0ASQnVoFi2BCPrGPEh-qaKAAi4imsonrP4qYRftrWtVgIRjevx_1MGFXYhiOErqkVpWY_Q' failed: Establishing a tunnel via proxy server failed.
