[2025-07-12T01:05:49.562Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=52ad5746-e4da-48ce-8904-d4302dc315fa&response_mode=fragment&response_type=code&scope=openid&nonce=106db282-9801-470d-92f7-80b836be3929 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T01:05:49.563Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=52ad5746-e4da-48ce-8904-d4302dc315fa&response_mode=fragment&response_type=code&scope=openid&nonce=106db282-9801-470d-92f7-80b836be3929 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T01:05:51.865Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI2NTAsImlhdCI6MTc1MjI4MjM1MCwiYXV0aF90aW1lIjoxNzUyMjgyMzQ5LCJqdGkiOiI1Y2NjZjk2NS1jNGRiLTRiYjQtOTNkZC1kYmMzYTQ2OWJmNTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RB-d6kZb2J3pYgMYcrWre_4Mj-Cguh5uQupRyAqqM0MGU4zNsJOO-nX1CVxxUj2dak9shfyNXNr99ELGNc4pRsPTytOOFv9LeOh1st8z8ZSxG8HLox660z-SAQ0DMYF5gZKdOIS7P27MKv0fRfusqICx-YtvQehAPwn-Jwi4AuqCdsaHAKDF1VzAh1bDpFqK_R4FeCXOziML6Jq7b5BVnrTxtBn-mq6EAQF-AopUPUZhjPRb9eVh54ktWZMuEJZ4pRS60hG0dxm7o0oi9HKeh45cC0lmI9G2jXv6K38OSoQMerCjP2X_ytewSsKj9O2EoLzo0U0-oIE1GLgw_cb2TQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:05:53.899Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI2NTAsImlhdCI6MTc1MjI4MjM1MCwiYXV0aF90aW1lIjoxNzUyMjgyMzQ5LCJqdGkiOiI1Y2NjZjk2NS1jNGRiLTRiYjQtOTNkZC1kYmMzYTQ2OWJmNTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RB-d6kZb2J3pYgMYcrWre_4Mj-Cguh5uQupRyAqqM0MGU4zNsJOO-nX1CVxxUj2dak9shfyNXNr99ELGNc4pRsPTytOOFv9LeOh1st8z8ZSxG8HLox660z-SAQ0DMYF5gZKdOIS7P27MKv0fRfusqICx-YtvQehAPwn-Jwi4AuqCdsaHAKDF1VzAh1bDpFqK_R4FeCXOziML6Jq7b5BVnrTxtBn-mq6EAQF-AopUPUZhjPRb9eVh54ktWZMuEJZ4pRS60hG0dxm7o0oi9HKeh45cC0lmI9G2jXv6K38OSoQMerCjP2X_ytewSsKj9O2EoLzo0U0-oIE1GLgw_cb2TQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:05:55.907Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI2NTAsImlhdCI6MTc1MjI4MjM1MCwiYXV0aF90aW1lIjoxNzUyMjgyMzQ5LCJqdGkiOiI1Y2NjZjk2NS1jNGRiLTRiYjQtOTNkZC1kYmMzYTQ2OWJmNTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RB-d6kZb2J3pYgMYcrWre_4Mj-Cguh5uQupRyAqqM0MGU4zNsJOO-nX1CVxxUj2dak9shfyNXNr99ELGNc4pRsPTytOOFv9LeOh1st8z8ZSxG8HLox660z-SAQ0DMYF5gZKdOIS7P27MKv0fRfusqICx-YtvQehAPwn-Jwi4AuqCdsaHAKDF1VzAh1bDpFqK_R4FeCXOziML6Jq7b5BVnrTxtBn-mq6EAQF-AopUPUZhjPRb9eVh54ktWZMuEJZ4pRS60hG0dxm7o0oi9HKeh45cC0lmI9G2jXv6K38OSoQMerCjP2X_ytewSsKj9O2EoLzo0U0-oIE1GLgw_cb2TQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:05:57.914Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI2NTAsImlhdCI6MTc1MjI4MjM1MCwiYXV0aF90aW1lIjoxNzUyMjgyMzQ5LCJqdGkiOiI1Y2NjZjk2NS1jNGRiLTRiYjQtOTNkZC1kYmMzYTQ2OWJmNTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RB-d6kZb2J3pYgMYcrWre_4Mj-Cguh5uQupRyAqqM0MGU4zNsJOO-nX1CVxxUj2dak9shfyNXNr99ELGNc4pRsPTytOOFv9LeOh1st8z8ZSxG8HLox660z-SAQ0DMYF5gZKdOIS7P27MKv0fRfusqICx-YtvQehAPwn-Jwi4AuqCdsaHAKDF1VzAh1bDpFqK_R4FeCXOziML6Jq7b5BVnrTxtBn-mq6EAQF-AopUPUZhjPRb9eVh54ktWZMuEJZ4pRS60hG0dxm7o0oi9HKeh45cC0lmI9G2jXv6K38OSoQMerCjP2X_ytewSsKj9O2EoLzo0U0-oIE1GLgw_cb2TQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T01:06:00.087Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODI2NTAsImlhdCI6MTc1MjI4MjM1MCwiYXV0aF90aW1lIjoxNzUyMjgyMzQ5LCJqdGkiOiI1Y2NjZjk2NS1jNGRiLTRiYjQtOTNkZC1kYmMzYTQ2OWJmNTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RB-d6kZb2J3pYgMYcrWre_4Mj-Cguh5uQupRyAqqM0MGU4zNsJOO-nX1CVxxUj2dak9shfyNXNr99ELGNc4pRsPTytOOFv9LeOh1st8z8ZSxG8HLox660z-SAQ0DMYF5gZKdOIS7P27MKv0fRfusqICx-YtvQehAPwn-Jwi4AuqCdsaHAKDF1VzAh1bDpFqK_R4FeCXOziML6Jq7b5BVnrTxtBn-mq6EAQF-AopUPUZhjPRb9eVh54ktWZMuEJZ4pRS60hG0dxm7o0oi9HKeh45cC0lmI9G2jXv6K38OSoQMerCjP2X_ytewSsKj9O2EoLzo0U0-oIE1GLgw_cb2TQ' failed: Establishing a tunnel via proxy server failed.
