[2025-07-12T00:54:33.728Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=3314e12c-805d-41a4-a08b-118cfbdb283e&response_mode=fragment&response_type=code&scope=openid&nonce=9c93f461-993f-4286-8371-a2cc1cf9937f - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:54:33.729Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=3314e12c-805d-41a4-a08b-118cfbdb283e&response_mode=fragment&response_type=code&scope=openid&nonce=9c93f461-993f-4286-8371-a2cc1cf9937f - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:54:36.325Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE5NzUsImlhdCI6MTc1MjI4MTY3NSwiYXV0aF90aW1lIjoxNzUyMjgxNjczLCJqdGkiOiIzMzE1MWFkZC04MjhlLTQwYzUtYjFhZS0zM2Y4ZThlNzZkOTEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hGrIy64eQmh9d7RJurZJ_7otfa3mIaVEcq7oB9o_nNlMfWe69QRlgL502fAov7hrF4nwr9y9-TTzs9YqHEJLdW58QmszsX-96wGNQDcwb9_gNKIELhpnRNWcMy4JK-CM21w49VDYmR5ohcHW3TNbWNd0DEuUgEXjfgosecEFK5x4-6uTFVBZwF2IAMog96_42lBKMcO2LflbGnaDg3knPfXS6f0mt3pPX4dGedU-MPgwTSdMx8dPiyHL5-i6Gex3pfisJgSefYcMq7YtYb8yPD9hI9aUpv-W9sUPtk0048-Yu_z3AZxhVe9DoqlOZi0JCnYpVJZltJN0mVQlAtwAuQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:54:38.333Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE5NzUsImlhdCI6MTc1MjI4MTY3NSwiYXV0aF90aW1lIjoxNzUyMjgxNjczLCJqdGkiOiIzMzE1MWFkZC04MjhlLTQwYzUtYjFhZS0zM2Y4ZThlNzZkOTEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hGrIy64eQmh9d7RJurZJ_7otfa3mIaVEcq7oB9o_nNlMfWe69QRlgL502fAov7hrF4nwr9y9-TTzs9YqHEJLdW58QmszsX-96wGNQDcwb9_gNKIELhpnRNWcMy4JK-CM21w49VDYmR5ohcHW3TNbWNd0DEuUgEXjfgosecEFK5x4-6uTFVBZwF2IAMog96_42lBKMcO2LflbGnaDg3knPfXS6f0mt3pPX4dGedU-MPgwTSdMx8dPiyHL5-i6Gex3pfisJgSefYcMq7YtYb8yPD9hI9aUpv-W9sUPtk0048-Yu_z3AZxhVe9DoqlOZi0JCnYpVJZltJN0mVQlAtwAuQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:54:40.340Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE5NzUsImlhdCI6MTc1MjI4MTY3NSwiYXV0aF90aW1lIjoxNzUyMjgxNjczLCJqdGkiOiIzMzE1MWFkZC04MjhlLTQwYzUtYjFhZS0zM2Y4ZThlNzZkOTEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hGrIy64eQmh9d7RJurZJ_7otfa3mIaVEcq7oB9o_nNlMfWe69QRlgL502fAov7hrF4nwr9y9-TTzs9YqHEJLdW58QmszsX-96wGNQDcwb9_gNKIELhpnRNWcMy4JK-CM21w49VDYmR5ohcHW3TNbWNd0DEuUgEXjfgosecEFK5x4-6uTFVBZwF2IAMog96_42lBKMcO2LflbGnaDg3knPfXS6f0mt3pPX4dGedU-MPgwTSdMx8dPiyHL5-i6Gex3pfisJgSefYcMq7YtYb8yPD9hI9aUpv-W9sUPtk0048-Yu_z3AZxhVe9DoqlOZi0JCnYpVJZltJN0mVQlAtwAuQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:54:42.498Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE5NzUsImlhdCI6MTc1MjI4MTY3NSwiYXV0aF90aW1lIjoxNzUyMjgxNjczLCJqdGkiOiIzMzE1MWFkZC04MjhlLTQwYzUtYjFhZS0zM2Y4ZThlNzZkOTEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hGrIy64eQmh9d7RJurZJ_7otfa3mIaVEcq7oB9o_nNlMfWe69QRlgL502fAov7hrF4nwr9y9-TTzs9YqHEJLdW58QmszsX-96wGNQDcwb9_gNKIELhpnRNWcMy4JK-CM21w49VDYmR5ohcHW3TNbWNd0DEuUgEXjfgosecEFK5x4-6uTFVBZwF2IAMog96_42lBKMcO2LflbGnaDg3knPfXS6f0mt3pPX4dGedU-MPgwTSdMx8dPiyHL5-i6Gex3pfisJgSefYcMq7YtYb8yPD9hI9aUpv-W9sUPtk0048-Yu_z3AZxhVe9DoqlOZi0JCnYpVJZltJN0mVQlAtwAuQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:54:44.471Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE5NzUsImlhdCI6MTc1MjI4MTY3NSwiYXV0aF90aW1lIjoxNzUyMjgxNjczLCJqdGkiOiIzMzE1MWFkZC04MjhlLTQwYzUtYjFhZS0zM2Y4ZThlNzZkOTEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hGrIy64eQmh9d7RJurZJ_7otfa3mIaVEcq7oB9o_nNlMfWe69QRlgL502fAov7hrF4nwr9y9-TTzs9YqHEJLdW58QmszsX-96wGNQDcwb9_gNKIELhpnRNWcMy4JK-CM21w49VDYmR5ohcHW3TNbWNd0DEuUgEXjfgosecEFK5x4-6uTFVBZwF2IAMog96_42lBKMcO2LflbGnaDg3knPfXS6f0mt3pPX4dGedU-MPgwTSdMx8dPiyHL5-i6Gex3pfisJgSefYcMq7YtYb8yPD9hI9aUpv-W9sUPtk0048-Yu_z3AZxhVe9DoqlOZi0JCnYpVJZltJN0mVQlAtwAuQ' failed: Establishing a tunnel via proxy server failed.
