[2025-07-12T11:35:54.170Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=e6fb6a01-e81f-48eb-a09f-1ca630a44754&response_mode=fragment&response_type=code&scope=openid&nonce=0a7ecc16-d1a7-4e84-868c-11ce12318edf - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T11:35:54.171Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=e6fb6a01-e81f-48eb-a09f-1ca630a44754&response_mode=fragment&response_type=code&scope=openid&nonce=0a7ecc16-d1a7-4e84-868c-11ce12318edf - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T11:35:56.143Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMjA0NTUsImlhdCI6MTc1MjMyMDE1NSwiYXV0aF90aW1lIjoxNzUyMzIwMTU0LCJqdGkiOiIyMmRlOWI1ZC03MjY4LTQ1MjgtOThkZi1kOTE4NWE3ZDY2YjAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.pZQn9WlZKscw7oSBe5EGW0hfpYKY65PZWyL_eQSiiWp3oATewkIuE_6IeuMV65YxtW3cHesGPtpniPmZy-pDRoFoYxJw5ujIEzYyUU85OEui4xASaXnfjmenAUSnF_l6aXaJWypvCH8pTwwSNo4lxYPUx_4t7YmKiRhOwcsp5VfPEaE1A1IH15dk_D1YHJJsOWmLG59LyorPJhiZqIp8tT1B3y5Rhfhx_jpA6RBeKvdPcXBeOecjG6Ck9iKn5nzcqDrcqW-HBiLSgSLkbClU78vibOOdpdATu00riZ9OPmAm51NuMELgUpG_imI2l9-I5308Fe4oDUNnsaDL1e8qwg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T11:35:58.159Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMjA0NTUsImlhdCI6MTc1MjMyMDE1NSwiYXV0aF90aW1lIjoxNzUyMzIwMTU0LCJqdGkiOiIyMmRlOWI1ZC03MjY4LTQ1MjgtOThkZi1kOTE4NWE3ZDY2YjAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.pZQn9WlZKscw7oSBe5EGW0hfpYKY65PZWyL_eQSiiWp3oATewkIuE_6IeuMV65YxtW3cHesGPtpniPmZy-pDRoFoYxJw5ujIEzYyUU85OEui4xASaXnfjmenAUSnF_l6aXaJWypvCH8pTwwSNo4lxYPUx_4t7YmKiRhOwcsp5VfPEaE1A1IH15dk_D1YHJJsOWmLG59LyorPJhiZqIp8tT1B3y5Rhfhx_jpA6RBeKvdPcXBeOecjG6Ck9iKn5nzcqDrcqW-HBiLSgSLkbClU78vibOOdpdATu00riZ9OPmAm51NuMELgUpG_imI2l9-I5308Fe4oDUNnsaDL1e8qwg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T11:36:00.410Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMjA0NTUsImlhdCI6MTc1MjMyMDE1NSwiYXV0aF90aW1lIjoxNzUyMzIwMTU0LCJqdGkiOiIyMmRlOWI1ZC03MjY4LTQ1MjgtOThkZi1kOTE4NWE3ZDY2YjAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.pZQn9WlZKscw7oSBe5EGW0hfpYKY65PZWyL_eQSiiWp3oATewkIuE_6IeuMV65YxtW3cHesGPtpniPmZy-pDRoFoYxJw5ujIEzYyUU85OEui4xASaXnfjmenAUSnF_l6aXaJWypvCH8pTwwSNo4lxYPUx_4t7YmKiRhOwcsp5VfPEaE1A1IH15dk_D1YHJJsOWmLG59LyorPJhiZqIp8tT1B3y5Rhfhx_jpA6RBeKvdPcXBeOecjG6Ck9iKn5nzcqDrcqW-HBiLSgSLkbClU78vibOOdpdATu00riZ9OPmAm51NuMELgUpG_imI2l9-I5308Fe4oDUNnsaDL1e8qwg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T11:36:02.312Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMjA0NTUsImlhdCI6MTc1MjMyMDE1NSwiYXV0aF90aW1lIjoxNzUyMzIwMTU0LCJqdGkiOiIyMmRlOWI1ZC03MjY4LTQ1MjgtOThkZi1kOTE4NWE3ZDY2YjAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.pZQn9WlZKscw7oSBe5EGW0hfpYKY65PZWyL_eQSiiWp3oATewkIuE_6IeuMV65YxtW3cHesGPtpniPmZy-pDRoFoYxJw5ujIEzYyUU85OEui4xASaXnfjmenAUSnF_l6aXaJWypvCH8pTwwSNo4lxYPUx_4t7YmKiRhOwcsp5VfPEaE1A1IH15dk_D1YHJJsOWmLG59LyorPJhiZqIp8tT1B3y5Rhfhx_jpA6RBeKvdPcXBeOecjG6Ck9iKn5nzcqDrcqW-HBiLSgSLkbClU78vibOOdpdATu00riZ9OPmAm51NuMELgUpG_imI2l9-I5308Fe4oDUNnsaDL1e8qwg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T11:36:04.339Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMjA0NTUsImlhdCI6MTc1MjMyMDE1NSwiYXV0aF90aW1lIjoxNzUyMzIwMTU0LCJqdGkiOiIyMmRlOWI1ZC03MjY4LTQ1MjgtOThkZi1kOTE4NWE3ZDY2YjAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.pZQn9WlZKscw7oSBe5EGW0hfpYKY65PZWyL_eQSiiWp3oATewkIuE_6IeuMV65YxtW3cHesGPtpniPmZy-pDRoFoYxJw5ujIEzYyUU85OEui4xASaXnfjmenAUSnF_l6aXaJWypvCH8pTwwSNo4lxYPUx_4t7YmKiRhOwcsp5VfPEaE1A1IH15dk_D1YHJJsOWmLG59LyorPJhiZqIp8tT1B3y5Rhfhx_jpA6RBeKvdPcXBeOecjG6Ck9iKn5nzcqDrcqW-HBiLSgSLkbClU78vibOOdpdATu00riZ9OPmAm51NuMELgUpG_imI2l9-I5308Fe4oDUNnsaDL1e8qwg' failed: Establishing a tunnel via proxy server failed.
