[2025-07-12T11:36:23.016Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=8397ffcd-58e3-44c8-a230-792b5d61464b&response_mode=fragment&response_type=code&scope=openid&nonce=d87cfd3b-4a4b-4be1-8cb4-7c6683b4b4d9 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T11:36:23.017Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=8397ffcd-58e3-44c8-a230-792b5d61464b&response_mode=fragment&response_type=code&scope=openid&nonce=d87cfd3b-4a4b-4be1-8cb4-7c6683b4b4d9 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T11:36:25.029Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMjA0ODQsImlhdCI6MTc1MjMyMDE4NCwiYXV0aF90aW1lIjoxNzUyMzIwMTgzLCJqdGkiOiJjNjRkZTBiZS0yNzhlLTQzNWYtYmU3ZC00OTdkYmM4ZmRlNGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.gNNGZiRGeVGTqLaVxeMIQo7P2wKaOBoXqE6dBanaVZa_t7f28KmhPXxLNUX0U3DBPGULJJ9A4uN7WQFVowT6XhQGZy2XyeywyAO6gU5qPXXXsPqf1Eg18LufpWSp0zOe-obqVdmd-flqnFeBaeqLOXMkJg98K0hWX9n8DrK6TO3NpsBivMA-lwiPrTpr5geXOnjnrbj33jAp53F2KaUe8r6T-Ync_ujpCYHKnE-ylDWnmuP1IIWM6CXuhhp9rHG2EpPMqgdykthJJ9dLveIjqGVqupdbIshBk4sVwnwNHzKnGcpCexCQRDDCXsLExiuLN6PszpRTQuqThw_AA8ZeBw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T11:36:27.035Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMjA0ODQsImlhdCI6MTc1MjMyMDE4NCwiYXV0aF90aW1lIjoxNzUyMzIwMTgzLCJqdGkiOiJjNjRkZTBiZS0yNzhlLTQzNWYtYmU3ZC00OTdkYmM4ZmRlNGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.gNNGZiRGeVGTqLaVxeMIQo7P2wKaOBoXqE6dBanaVZa_t7f28KmhPXxLNUX0U3DBPGULJJ9A4uN7WQFVowT6XhQGZy2XyeywyAO6gU5qPXXXsPqf1Eg18LufpWSp0zOe-obqVdmd-flqnFeBaeqLOXMkJg98K0hWX9n8DrK6TO3NpsBivMA-lwiPrTpr5geXOnjnrbj33jAp53F2KaUe8r6T-Ync_ujpCYHKnE-ylDWnmuP1IIWM6CXuhhp9rHG2EpPMqgdykthJJ9dLveIjqGVqupdbIshBk4sVwnwNHzKnGcpCexCQRDDCXsLExiuLN6PszpRTQuqThw_AA8ZeBw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T11:36:29.041Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMjA0ODQsImlhdCI6MTc1MjMyMDE4NCwiYXV0aF90aW1lIjoxNzUyMzIwMTgzLCJqdGkiOiJjNjRkZTBiZS0yNzhlLTQzNWYtYmU3ZC00OTdkYmM4ZmRlNGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.gNNGZiRGeVGTqLaVxeMIQo7P2wKaOBoXqE6dBanaVZa_t7f28KmhPXxLNUX0U3DBPGULJJ9A4uN7WQFVowT6XhQGZy2XyeywyAO6gU5qPXXXsPqf1Eg18LufpWSp0zOe-obqVdmd-flqnFeBaeqLOXMkJg98K0hWX9n8DrK6TO3NpsBivMA-lwiPrTpr5geXOnjnrbj33jAp53F2KaUe8r6T-Ync_ujpCYHKnE-ylDWnmuP1IIWM6CXuhhp9rHG2EpPMqgdykthJJ9dLveIjqGVqupdbIshBk4sVwnwNHzKnGcpCexCQRDDCXsLExiuLN6PszpRTQuqThw_AA8ZeBw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T11:36:31.071Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMjA0ODQsImlhdCI6MTc1MjMyMDE4NCwiYXV0aF90aW1lIjoxNzUyMzIwMTgzLCJqdGkiOiJjNjRkZTBiZS0yNzhlLTQzNWYtYmU3ZC00OTdkYmM4ZmRlNGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.gNNGZiRGeVGTqLaVxeMIQo7P2wKaOBoXqE6dBanaVZa_t7f28KmhPXxLNUX0U3DBPGULJJ9A4uN7WQFVowT6XhQGZy2XyeywyAO6gU5qPXXXsPqf1Eg18LufpWSp0zOe-obqVdmd-flqnFeBaeqLOXMkJg98K0hWX9n8DrK6TO3NpsBivMA-lwiPrTpr5geXOnjnrbj33jAp53F2KaUe8r6T-Ync_ujpCYHKnE-ylDWnmuP1IIWM6CXuhhp9rHG2EpPMqgdykthJJ9dLveIjqGVqupdbIshBk4sVwnwNHzKnGcpCexCQRDDCXsLExiuLN6PszpRTQuqThw_AA8ZeBw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T11:36:33.138Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMjA0ODQsImlhdCI6MTc1MjMyMDE4NCwiYXV0aF90aW1lIjoxNzUyMzIwMTgzLCJqdGkiOiJjNjRkZTBiZS0yNzhlLTQzNWYtYmU3ZC00OTdkYmM4ZmRlNGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.gNNGZiRGeVGTqLaVxeMIQo7P2wKaOBoXqE6dBanaVZa_t7f28KmhPXxLNUX0U3DBPGULJJ9A4uN7WQFVowT6XhQGZy2XyeywyAO6gU5qPXXXsPqf1Eg18LufpWSp0zOe-obqVdmd-flqnFeBaeqLOXMkJg98K0hWX9n8DrK6TO3NpsBivMA-lwiPrTpr5geXOnjnrbj33jAp53F2KaUe8r6T-Ync_ujpCYHKnE-ylDWnmuP1IIWM6CXuhhp9rHG2EpPMqgdykthJJ9dLveIjqGVqupdbIshBk4sVwnwNHzKnGcpCexCQRDDCXsLExiuLN6PszpRTQuqThw_AA8ZeBw' failed: Establishing a tunnel via proxy server failed.
