[2025-07-12T11:37:11.619Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=698a8166-dade-40d8-934e-2404648b29c8&response_mode=fragment&response_type=code&scope=openid&nonce=077acfea-0fca-4095-adb7-6d5d004da13b - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T11:37:11.620Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=698a8166-dade-40d8-934e-2404648b29c8&response_mode=fragment&response_type=code&scope=openid&nonce=077acfea-0fca-4095-adb7-6d5d004da13b - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T11:37:13.607Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMjA1MzIsImlhdCI6MTc1MjMyMDIzMiwiYXV0aF90aW1lIjoxNzUyMzIwMjMxLCJqdGkiOiIwNWM4NjQ0Mi02ZmNiLTRkZmYtYjc5ZC05MTE2NzNkNzE3MmIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.SH2EPygeArDVc4pBieEO38KCFmKK-6oaMYu1uIhqrUj-ndxPuoMzNacnYTRfqqbm38ajysZUaAp72WgS31np9S2jVWwiXc9MLKjDXzmMLr-Jl4FvCUYsI1cP2OsJrOoHao9x2BFUYsHyfTKUkK_YqaERHsuIKA2wCEPw_-olZt4iFILGHZMIA8be6-g9Bywiyjwbk7gnT31q4q9wEPENFq7BnsFFH50J1mSNdzZELYIamfOxtcoOTaEHlAUMUF38eUgymu0kHIdMsmUwLobaMQ7N43Td93Lf6zG6YgfUgtZE9LjCR-AxDgmQ4uo34U9o5KWr3w-rbN1X8l9-9SFQXQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T11:37:15.621Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMjA1MzIsImlhdCI6MTc1MjMyMDIzMiwiYXV0aF90aW1lIjoxNzUyMzIwMjMxLCJqdGkiOiIwNWM4NjQ0Mi02ZmNiLTRkZmYtYjc5ZC05MTE2NzNkNzE3MmIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.SH2EPygeArDVc4pBieEO38KCFmKK-6oaMYu1uIhqrUj-ndxPuoMzNacnYTRfqqbm38ajysZUaAp72WgS31np9S2jVWwiXc9MLKjDXzmMLr-Jl4FvCUYsI1cP2OsJrOoHao9x2BFUYsHyfTKUkK_YqaERHsuIKA2wCEPw_-olZt4iFILGHZMIA8be6-g9Bywiyjwbk7gnT31q4q9wEPENFq7BnsFFH50J1mSNdzZELYIamfOxtcoOTaEHlAUMUF38eUgymu0kHIdMsmUwLobaMQ7N43Td93Lf6zG6YgfUgtZE9LjCR-AxDgmQ4uo34U9o5KWr3w-rbN1X8l9-9SFQXQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T11:37:17.862Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMjA1MzIsImlhdCI6MTc1MjMyMDIzMiwiYXV0aF90aW1lIjoxNzUyMzIwMjMxLCJqdGkiOiIwNWM4NjQ0Mi02ZmNiLTRkZmYtYjc5ZC05MTE2NzNkNzE3MmIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.SH2EPygeArDVc4pBieEO38KCFmKK-6oaMYu1uIhqrUj-ndxPuoMzNacnYTRfqqbm38ajysZUaAp72WgS31np9S2jVWwiXc9MLKjDXzmMLr-Jl4FvCUYsI1cP2OsJrOoHao9x2BFUYsHyfTKUkK_YqaERHsuIKA2wCEPw_-olZt4iFILGHZMIA8be6-g9Bywiyjwbk7gnT31q4q9wEPENFq7BnsFFH50J1mSNdzZELYIamfOxtcoOTaEHlAUMUF38eUgymu0kHIdMsmUwLobaMQ7N43Td93Lf6zG6YgfUgtZE9LjCR-AxDgmQ4uo34U9o5KWr3w-rbN1X8l9-9SFQXQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T11:37:19.763Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMjA1MzIsImlhdCI6MTc1MjMyMDIzMiwiYXV0aF90aW1lIjoxNzUyMzIwMjMxLCJqdGkiOiIwNWM4NjQ0Mi02ZmNiLTRkZmYtYjc5ZC05MTE2NzNkNzE3MmIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.SH2EPygeArDVc4pBieEO38KCFmKK-6oaMYu1uIhqrUj-ndxPuoMzNacnYTRfqqbm38ajysZUaAp72WgS31np9S2jVWwiXc9MLKjDXzmMLr-Jl4FvCUYsI1cP2OsJrOoHao9x2BFUYsHyfTKUkK_YqaERHsuIKA2wCEPw_-olZt4iFILGHZMIA8be6-g9Bywiyjwbk7gnT31q4q9wEPENFq7BnsFFH50J1mSNdzZELYIamfOxtcoOTaEHlAUMUF38eUgymu0kHIdMsmUwLobaMQ7N43Td93Lf6zG6YgfUgtZE9LjCR-AxDgmQ4uo34U9o5KWr3w-rbN1X8l9-9SFQXQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T11:37:21.786Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMjA1MzIsImlhdCI6MTc1MjMyMDIzMiwiYXV0aF90aW1lIjoxNzUyMzIwMjMxLCJqdGkiOiIwNWM4NjQ0Mi02ZmNiLTRkZmYtYjc5ZC05MTE2NzNkNzE3MmIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.SH2EPygeArDVc4pBieEO38KCFmKK-6oaMYu1uIhqrUj-ndxPuoMzNacnYTRfqqbm38ajysZUaAp72WgS31np9S2jVWwiXc9MLKjDXzmMLr-Jl4FvCUYsI1cP2OsJrOoHao9x2BFUYsHyfTKUkK_YqaERHsuIKA2wCEPw_-olZt4iFILGHZMIA8be6-g9Bywiyjwbk7gnT31q4q9wEPENFq7BnsFFH50J1mSNdzZELYIamfOxtcoOTaEHlAUMUF38eUgymu0kHIdMsmUwLobaMQ7N43Td93Lf6zG6YgfUgtZE9LjCR-AxDgmQ4uo34U9o5KWr3w-rbN1X8l9-9SFQXQ' failed: Establishing a tunnel via proxy server failed.
