[2025-07-12T16:34:19.320Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=c4aef23c-e457-472e-b3bb-105eda7af519&response_mode=fragment&response_type=code&scope=openid&nonce=13df89c8-2c3b-481e-933f-78b9bc3ce5b3 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T16:34:19.320Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=c4aef23c-e457-472e-b3bb-105eda7af519&response_mode=fragment&response_type=code&scope=openid&nonce=13df89c8-2c3b-481e-933f-78b9bc3ce5b3 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T16:34:21.169Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMzgzNjAsImlhdCI6MTc1MjMzODA2MCwiYXV0aF90aW1lIjoxNzUyMzM4MDU5LCJqdGkiOiIwZjA3OGQ4NS1iMmNmLTRiOTAtYjBiZi1hOTNkNGM2ZDdmOTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.oOEjDuBUyqnotPZHWCh3tCHkjpy3QxrtBJHr9k6ur1g-_61X-06upV2wi_4lI0nFDs3sAEi97rO-xNbhJyVNEulXCsv6bWxbz1U-miygijpT8t5ug-zaiihPuyMPHnFuazBAH-z4eYrUiqm1qVYTQO8RLe-CIl987CnR3XaUB5MNSdAp28kv1QZWAEgDZcTRWHL5fcO4SQuYV2xZEhpMmOX9JV96_JHS5acFJvYuV6XULZgwa14zKHbER-Jyy_Knwn_Dc16JHKAL0DGEAPxzP7f8FIf6ByNCIHmmAmsEgAy0RbTFmVYkcrBOhE7Cn7qKL4KQyiBdOqBflRdIL7V9VQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T16:34:23.170Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMzgzNjAsImlhdCI6MTc1MjMzODA2MCwiYXV0aF90aW1lIjoxNzUyMzM4MDU5LCJqdGkiOiIwZjA3OGQ4NS1iMmNmLTRiOTAtYjBiZi1hOTNkNGM2ZDdmOTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.oOEjDuBUyqnotPZHWCh3tCHkjpy3QxrtBJHr9k6ur1g-_61X-06upV2wi_4lI0nFDs3sAEi97rO-xNbhJyVNEulXCsv6bWxbz1U-miygijpT8t5ug-zaiihPuyMPHnFuazBAH-z4eYrUiqm1qVYTQO8RLe-CIl987CnR3XaUB5MNSdAp28kv1QZWAEgDZcTRWHL5fcO4SQuYV2xZEhpMmOX9JV96_JHS5acFJvYuV6XULZgwa14zKHbER-Jyy_Knwn_Dc16JHKAL0DGEAPxzP7f8FIf6ByNCIHmmAmsEgAy0RbTFmVYkcrBOhE7Cn7qKL4KQyiBdOqBflRdIL7V9VQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T16:34:25.200Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMzgzNjAsImlhdCI6MTc1MjMzODA2MCwiYXV0aF90aW1lIjoxNzUyMzM4MDU5LCJqdGkiOiIwZjA3OGQ4NS1iMmNmLTRiOTAtYjBiZi1hOTNkNGM2ZDdmOTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.oOEjDuBUyqnotPZHWCh3tCHkjpy3QxrtBJHr9k6ur1g-_61X-06upV2wi_4lI0nFDs3sAEi97rO-xNbhJyVNEulXCsv6bWxbz1U-miygijpT8t5ug-zaiihPuyMPHnFuazBAH-z4eYrUiqm1qVYTQO8RLe-CIl987CnR3XaUB5MNSdAp28kv1QZWAEgDZcTRWHL5fcO4SQuYV2xZEhpMmOX9JV96_JHS5acFJvYuV6XULZgwa14zKHbER-Jyy_Knwn_Dc16JHKAL0DGEAPxzP7f8FIf6ByNCIHmmAmsEgAy0RbTFmVYkcrBOhE7Cn7qKL4KQyiBdOqBflRdIL7V9VQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T16:34:27.247Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMzgzNjAsImlhdCI6MTc1MjMzODA2MCwiYXV0aF90aW1lIjoxNzUyMzM4MDU5LCJqdGkiOiIwZjA3OGQ4NS1iMmNmLTRiOTAtYjBiZi1hOTNkNGM2ZDdmOTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.oOEjDuBUyqnotPZHWCh3tCHkjpy3QxrtBJHr9k6ur1g-_61X-06upV2wi_4lI0nFDs3sAEi97rO-xNbhJyVNEulXCsv6bWxbz1U-miygijpT8t5ug-zaiihPuyMPHnFuazBAH-z4eYrUiqm1qVYTQO8RLe-CIl987CnR3XaUB5MNSdAp28kv1QZWAEgDZcTRWHL5fcO4SQuYV2xZEhpMmOX9JV96_JHS5acFJvYuV6XULZgwa14zKHbER-Jyy_Knwn_Dc16JHKAL0DGEAPxzP7f8FIf6ByNCIHmmAmsEgAy0RbTFmVYkcrBOhE7Cn7qKL4KQyiBdOqBflRdIL7V9VQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T16:34:29.335Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMzgzNjAsImlhdCI6MTc1MjMzODA2MCwiYXV0aF90aW1lIjoxNzUyMzM4MDU5LCJqdGkiOiIwZjA3OGQ4NS1iMmNmLTRiOTAtYjBiZi1hOTNkNGM2ZDdmOTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.oOEjDuBUyqnotPZHWCh3tCHkjpy3QxrtBJHr9k6ur1g-_61X-06upV2wi_4lI0nFDs3sAEi97rO-xNbhJyVNEulXCsv6bWxbz1U-miygijpT8t5ug-zaiihPuyMPHnFuazBAH-z4eYrUiqm1qVYTQO8RLe-CIl987CnR3XaUB5MNSdAp28kv1QZWAEgDZcTRWHL5fcO4SQuYV2xZEhpMmOX9JV96_JHS5acFJvYuV6XULZgwa14zKHbER-Jyy_Knwn_Dc16JHKAL0DGEAPxzP7f8FIf6ByNCIHmmAmsEgAy0RbTFmVYkcrBOhE7Cn7qKL4KQyiBdOqBflRdIL7V9VQ' failed: Establishing a tunnel via proxy server failed.
