[2025-07-12T16:32:51.843Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=1dd76926-e8c6-4504-8aa7-167895f0915f&response_mode=fragment&response_type=code&scope=openid&nonce=8971e985-0b9b-4524-8825-c5e5db79474e - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T16:32:51.845Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=1dd76926-e8c6-4504-8aa7-167895f0915f&response_mode=fragment&response_type=code&scope=openid&nonce=8971e985-0b9b-4524-8825-c5e5db79474e - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T16:32:53.716Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMzgyNzIsImlhdCI6MTc1MjMzNzk3MiwiYXV0aF90aW1lIjoxNzUyMzM3OTcyLCJqdGkiOiJiNWU3ZmEzNS0zMDhkLTRiNDMtOWY5OC0wZWRiY2VkYWIxZDQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.J-h3lmVdNpWgX_Yv0bCJ8h40ko5YqC2VZc6NZPxwOLQ8RnJ1w6Qdjw7vB-VD251a6V6aZXnQZmCxTYdun_Xd3Kpm8cyWFZ-y1C_m_otvtGkz3rUfwkgXqK1RcsF6GwWfbyf__EwlKD1pKsPPiQjlHkOIMSUqm41StGvekDvS96M7oKhfItkfrSps9WrGyNAIJUl_RZlXGa9XMrccx6h2z_-Dz9j5eWY-aD9Td1gfsXNTDfvgZAbvLW80E82Zm_HZ2CaJoXXXWRzp62XYdIZ7d2uHMffqlRSezjvTmtmTZwGDHnC9l_J1s7A4ek_poWW0qtJas9ZAcnkRC5A72Hhh-w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T16:32:55.749Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMzgyNzIsImlhdCI6MTc1MjMzNzk3MiwiYXV0aF90aW1lIjoxNzUyMzM3OTcyLCJqdGkiOiJiNWU3ZmEzNS0zMDhkLTRiNDMtOWY5OC0wZWRiY2VkYWIxZDQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.J-h3lmVdNpWgX_Yv0bCJ8h40ko5YqC2VZc6NZPxwOLQ8RnJ1w6Qdjw7vB-VD251a6V6aZXnQZmCxTYdun_Xd3Kpm8cyWFZ-y1C_m_otvtGkz3rUfwkgXqK1RcsF6GwWfbyf__EwlKD1pKsPPiQjlHkOIMSUqm41StGvekDvS96M7oKhfItkfrSps9WrGyNAIJUl_RZlXGa9XMrccx6h2z_-Dz9j5eWY-aD9Td1gfsXNTDfvgZAbvLW80E82Zm_HZ2CaJoXXXWRzp62XYdIZ7d2uHMffqlRSezjvTmtmTZwGDHnC9l_J1s7A4ek_poWW0qtJas9ZAcnkRC5A72Hhh-w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T16:32:57.757Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMzgyNzIsImlhdCI6MTc1MjMzNzk3MiwiYXV0aF90aW1lIjoxNzUyMzM3OTcyLCJqdGkiOiJiNWU3ZmEzNS0zMDhkLTRiNDMtOWY5OC0wZWRiY2VkYWIxZDQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.J-h3lmVdNpWgX_Yv0bCJ8h40ko5YqC2VZc6NZPxwOLQ8RnJ1w6Qdjw7vB-VD251a6V6aZXnQZmCxTYdun_Xd3Kpm8cyWFZ-y1C_m_otvtGkz3rUfwkgXqK1RcsF6GwWfbyf__EwlKD1pKsPPiQjlHkOIMSUqm41StGvekDvS96M7oKhfItkfrSps9WrGyNAIJUl_RZlXGa9XMrccx6h2z_-Dz9j5eWY-aD9Td1gfsXNTDfvgZAbvLW80E82Zm_HZ2CaJoXXXWRzp62XYdIZ7d2uHMffqlRSezjvTmtmTZwGDHnC9l_J1s7A4ek_poWW0qtJas9ZAcnkRC5A72Hhh-w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T16:32:59.940Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMzgyNzIsImlhdCI6MTc1MjMzNzk3MiwiYXV0aF90aW1lIjoxNzUyMzM3OTcyLCJqdGkiOiJiNWU3ZmEzNS0zMDhkLTRiNDMtOWY5OC0wZWRiY2VkYWIxZDQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.J-h3lmVdNpWgX_Yv0bCJ8h40ko5YqC2VZc6NZPxwOLQ8RnJ1w6Qdjw7vB-VD251a6V6aZXnQZmCxTYdun_Xd3Kpm8cyWFZ-y1C_m_otvtGkz3rUfwkgXqK1RcsF6GwWfbyf__EwlKD1pKsPPiQjlHkOIMSUqm41StGvekDvS96M7oKhfItkfrSps9WrGyNAIJUl_RZlXGa9XMrccx6h2z_-Dz9j5eWY-aD9Td1gfsXNTDfvgZAbvLW80E82Zm_HZ2CaJoXXXWRzp62XYdIZ7d2uHMffqlRSezjvTmtmTZwGDHnC9l_J1s7A4ek_poWW0qtJas9ZAcnkRC5A72Hhh-w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T16:33:01.781Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzMzgyNzIsImlhdCI6MTc1MjMzNzk3MiwiYXV0aF90aW1lIjoxNzUyMzM3OTcyLCJqdGkiOiJiNWU3ZmEzNS0zMDhkLTRiNDMtOWY5OC0wZWRiY2VkYWIxZDQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.J-h3lmVdNpWgX_Yv0bCJ8h40ko5YqC2VZc6NZPxwOLQ8RnJ1w6Qdjw7vB-VD251a6V6aZXnQZmCxTYdun_Xd3Kpm8cyWFZ-y1C_m_otvtGkz3rUfwkgXqK1RcsF6GwWfbyf__EwlKD1pKsPPiQjlHkOIMSUqm41StGvekDvS96M7oKhfItkfrSps9WrGyNAIJUl_RZlXGa9XMrccx6h2z_-Dz9j5eWY-aD9Td1gfsXNTDfvgZAbvLW80E82Zm_HZ2CaJoXXXWRzp62XYdIZ7d2uHMffqlRSezjvTmtmTZwGDHnC9l_J1s7A4ek_poWW0qtJas9ZAcnkRC5A72Hhh-w' failed: Establishing a tunnel via proxy server failed.
