[2025-07-12T21:17:06.183Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=a158248d-95eb-423b-9c1c-d38bc13f5be2&response_mode=fragment&response_type=code&scope=openid&nonce=0b498407-68fc-4723-8f94-119d0d2c02ac - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T21:17:06.184Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=a158248d-95eb-423b-9c1c-d38bc13f5be2&response_mode=fragment&response_type=code&scope=openid&nonce=0b498407-68fc-4723-8f94-119d0d2c02ac - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T21:17:08.650Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzNTUzMjcsImlhdCI6MTc1MjM1NTAyNywiYXV0aF90aW1lIjoxNzUyMzU1MDI2LCJqdGkiOiJkNTQ3MGY1ZC1jMzY5LTRhNTItOTRmMi01NmE3ODllMDcwNWMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.h9bBuxnxe4cCvSQXhKHAg5jLqdJvWeHhOVsn3UUKaioHE7wqHGGw63eZSy6HXAyldYnK-eG8RT71IZSelAYSyorWx62Qv1P1ZDtjJ51alCfhBUs_yMGFkf1cKAS2WuK-by7NYf5cPX8Fl2EWpzlCioNXvldssYkEb08f-v7sTwLFaz5JdVGx0XxJuXPWQNxcf_ZQ5K_7L8oB8JjlK0ZsYGGv1uZuwJR6YBpXa2hRgOHV9LB_h52xoosS-QPzaY9YBuiv47pBl5QP7PYv5N9dn0H2nhVHIaROaSz13XiRAQSBR2G2bNkaMgJcMBKYdFV2xcWoBGQ6_y3ncDO0hpuL3w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T21:17:10.653Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzNTUzMjcsImlhdCI6MTc1MjM1NTAyNywiYXV0aF90aW1lIjoxNzUyMzU1MDI2LCJqdGkiOiJkNTQ3MGY1ZC1jMzY5LTRhNTItOTRmMi01NmE3ODllMDcwNWMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.h9bBuxnxe4cCvSQXhKHAg5jLqdJvWeHhOVsn3UUKaioHE7wqHGGw63eZSy6HXAyldYnK-eG8RT71IZSelAYSyorWx62Qv1P1ZDtjJ51alCfhBUs_yMGFkf1cKAS2WuK-by7NYf5cPX8Fl2EWpzlCioNXvldssYkEb08f-v7sTwLFaz5JdVGx0XxJuXPWQNxcf_ZQ5K_7L8oB8JjlK0ZsYGGv1uZuwJR6YBpXa2hRgOHV9LB_h52xoosS-QPzaY9YBuiv47pBl5QP7PYv5N9dn0H2nhVHIaROaSz13XiRAQSBR2G2bNkaMgJcMBKYdFV2xcWoBGQ6_y3ncDO0hpuL3w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T21:17:12.657Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzNTUzMjcsImlhdCI6MTc1MjM1NTAyNywiYXV0aF90aW1lIjoxNzUyMzU1MDI2LCJqdGkiOiJkNTQ3MGY1ZC1jMzY5LTRhNTItOTRmMi01NmE3ODllMDcwNWMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.h9bBuxnxe4cCvSQXhKHAg5jLqdJvWeHhOVsn3UUKaioHE7wqHGGw63eZSy6HXAyldYnK-eG8RT71IZSelAYSyorWx62Qv1P1ZDtjJ51alCfhBUs_yMGFkf1cKAS2WuK-by7NYf5cPX8Fl2EWpzlCioNXvldssYkEb08f-v7sTwLFaz5JdVGx0XxJuXPWQNxcf_ZQ5K_7L8oB8JjlK0ZsYGGv1uZuwJR6YBpXa2hRgOHV9LB_h52xoosS-QPzaY9YBuiv47pBl5QP7PYv5N9dn0H2nhVHIaROaSz13XiRAQSBR2G2bNkaMgJcMBKYdFV2xcWoBGQ6_y3ncDO0hpuL3w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T21:17:14.823Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzNTUzMjcsImlhdCI6MTc1MjM1NTAyNywiYXV0aF90aW1lIjoxNzUyMzU1MDI2LCJqdGkiOiJkNTQ3MGY1ZC1jMzY5LTRhNTItOTRmMi01NmE3ODllMDcwNWMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.h9bBuxnxe4cCvSQXhKHAg5jLqdJvWeHhOVsn3UUKaioHE7wqHGGw63eZSy6HXAyldYnK-eG8RT71IZSelAYSyorWx62Qv1P1ZDtjJ51alCfhBUs_yMGFkf1cKAS2WuK-by7NYf5cPX8Fl2EWpzlCioNXvldssYkEb08f-v7sTwLFaz5JdVGx0XxJuXPWQNxcf_ZQ5K_7L8oB8JjlK0ZsYGGv1uZuwJR6YBpXa2hRgOHV9LB_h52xoosS-QPzaY9YBuiv47pBl5QP7PYv5N9dn0H2nhVHIaROaSz13XiRAQSBR2G2bNkaMgJcMBKYdFV2xcWoBGQ6_y3ncDO0hpuL3w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T21:17:16.770Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzNTUzMjcsImlhdCI6MTc1MjM1NTAyNywiYXV0aF90aW1lIjoxNzUyMzU1MDI2LCJqdGkiOiJkNTQ3MGY1ZC1jMzY5LTRhNTItOTRmMi01NmE3ODllMDcwNWMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.h9bBuxnxe4cCvSQXhKHAg5jLqdJvWeHhOVsn3UUKaioHE7wqHGGw63eZSy6HXAyldYnK-eG8RT71IZSelAYSyorWx62Qv1P1ZDtjJ51alCfhBUs_yMGFkf1cKAS2WuK-by7NYf5cPX8Fl2EWpzlCioNXvldssYkEb08f-v7sTwLFaz5JdVGx0XxJuXPWQNxcf_ZQ5K_7L8oB8JjlK0ZsYGGv1uZuwJR6YBpXa2hRgOHV9LB_h52xoosS-QPzaY9YBuiv47pBl5QP7PYv5N9dn0H2nhVHIaROaSz13XiRAQSBR2G2bNkaMgJcMBKYdFV2xcWoBGQ6_y3ncDO0hpuL3w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T21:17:18.676Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzNTUzMjcsImlhdCI6MTc1MjM1NTAyNywiYXV0aF90aW1lIjoxNzUyMzU1MDI2LCJqdGkiOiJkNTQ3MGY1ZC1jMzY5LTRhNTItOTRmMi01NmE3ODllMDcwNWMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.h9bBuxnxe4cCvSQXhKHAg5jLqdJvWeHhOVsn3UUKaioHE7wqHGGw63eZSy6HXAyldYnK-eG8RT71IZSelAYSyorWx62Qv1P1ZDtjJ51alCfhBUs_yMGFkf1cKAS2WuK-by7NYf5cPX8Fl2EWpzlCioNXvldssYkEb08f-v7sTwLFaz5JdVGx0XxJuXPWQNxcf_ZQ5K_7L8oB8JjlK0ZsYGGv1uZuwJR6YBpXa2hRgOHV9LB_h52xoosS-QPzaY9YBuiv47pBl5QP7PYv5N9dn0H2nhVHIaROaSz13XiRAQSBR2G2bNkaMgJcMBKYdFV2xcWoBGQ6_y3ncDO0hpuL3w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T21:17:20.848Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzNTUzMjcsImlhdCI6MTc1MjM1NTAyNywiYXV0aF90aW1lIjoxNzUyMzU1MDI2LCJqdGkiOiJkNTQ3MGY1ZC1jMzY5LTRhNTItOTRmMi01NmE3ODllMDcwNWMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.h9bBuxnxe4cCvSQXhKHAg5jLqdJvWeHhOVsn3UUKaioHE7wqHGGw63eZSy6HXAyldYnK-eG8RT71IZSelAYSyorWx62Qv1P1ZDtjJ51alCfhBUs_yMGFkf1cKAS2WuK-by7NYf5cPX8Fl2EWpzlCioNXvldssYkEb08f-v7sTwLFaz5JdVGx0XxJuXPWQNxcf_ZQ5K_7L8oB8JjlK0ZsYGGv1uZuwJR6YBpXa2hRgOHV9LB_h52xoosS-QPzaY9YBuiv47pBl5QP7PYv5N9dn0H2nhVHIaROaSz13XiRAQSBR2G2bNkaMgJcMBKYdFV2xcWoBGQ6_y3ncDO0hpuL3w' failed: Establishing a tunnel via proxy server failed.

