[2025-07-12T21:12:42.673Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=7b57d4f1-0d57-4464-8386-8c00ca0cf7db&response_mode=fragment&response_type=code&scope=openid&nonce=d04513c0-8d4c-4619-8ce6-d4ee680d0a02 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T21:12:42.674Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=7b57d4f1-0d57-4464-8386-8c00ca0cf7db&response_mode=fragment&response_type=code&scope=openid&nonce=d04513c0-8d4c-4619-8ce6-d4ee680d0a02 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T21:12:44.820Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzNTUwNjMsImlhdCI6MTc1MjM1NDc2MywiYXV0aF90aW1lIjoxNzUyMzU0NzYyLCJqdGkiOiJlN2E4ZDdkNC03YjI0LTQ1ZGEtOTVkMy1hODJiNjM5ODExYzgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VFGAOUOMBmRaxLZWGyYjWrRAtjlnsRG-yLK6Zyf46iUa8crkPhlV48xJ2aG9refdpMEFSGayDMI8wLwkSEqROWnIOgg1V4snjnpe3lfWHFPaAGjKZZ2dMpD5ZI-Kgawgcu5MEtNhO4Fqbf25rWx_U4JwN8UG47vqdgjMk9tWdZu30WDI8dcWWo5asNsL_T0uA8qDDxxTRooeAu0rxowpvfVfqudi7nBUfV0jlRHmgVnscqnZCiWpVzE-Rg_hDj27uMMGyDf2WcGUAPT2-NvoyT3qVlc9Qrq4wpwsV6FtL-mt1_dMzRlTdrMbgHVgmKgaAoWkP6VzHodo0dG6x4z27w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T21:12:46.826Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzNTUwNjMsImlhdCI6MTc1MjM1NDc2MywiYXV0aF90aW1lIjoxNzUyMzU0NzYyLCJqdGkiOiJlN2E4ZDdkNC03YjI0LTQ1ZGEtOTVkMy1hODJiNjM5ODExYzgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VFGAOUOMBmRaxLZWGyYjWrRAtjlnsRG-yLK6Zyf46iUa8crkPhlV48xJ2aG9refdpMEFSGayDMI8wLwkSEqROWnIOgg1V4snjnpe3lfWHFPaAGjKZZ2dMpD5ZI-Kgawgcu5MEtNhO4Fqbf25rWx_U4JwN8UG47vqdgjMk9tWdZu30WDI8dcWWo5asNsL_T0uA8qDDxxTRooeAu0rxowpvfVfqudi7nBUfV0jlRHmgVnscqnZCiWpVzE-Rg_hDj27uMMGyDf2WcGUAPT2-NvoyT3qVlc9Qrq4wpwsV6FtL-mt1_dMzRlTdrMbgHVgmKgaAoWkP6VzHodo0dG6x4z27w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T21:12:48.862Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzNTUwNjMsImlhdCI6MTc1MjM1NDc2MywiYXV0aF90aW1lIjoxNzUyMzU0NzYyLCJqdGkiOiJlN2E4ZDdkNC03YjI0LTQ1ZGEtOTVkMy1hODJiNjM5ODExYzgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VFGAOUOMBmRaxLZWGyYjWrRAtjlnsRG-yLK6Zyf46iUa8crkPhlV48xJ2aG9refdpMEFSGayDMI8wLwkSEqROWnIOgg1V4snjnpe3lfWHFPaAGjKZZ2dMpD5ZI-Kgawgcu5MEtNhO4Fqbf25rWx_U4JwN8UG47vqdgjMk9tWdZu30WDI8dcWWo5asNsL_T0uA8qDDxxTRooeAu0rxowpvfVfqudi7nBUfV0jlRHmgVnscqnZCiWpVzE-Rg_hDj27uMMGyDf2WcGUAPT2-NvoyT3qVlc9Qrq4wpwsV6FtL-mt1_dMzRlTdrMbgHVgmKgaAoWkP6VzHodo0dG6x4z27w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T21:12:50.879Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzNTUwNjMsImlhdCI6MTc1MjM1NDc2MywiYXV0aF90aW1lIjoxNzUyMzU0NzYyLCJqdGkiOiJlN2E4ZDdkNC03YjI0LTQ1ZGEtOTVkMy1hODJiNjM5ODExYzgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VFGAOUOMBmRaxLZWGyYjWrRAtjlnsRG-yLK6Zyf46iUa8crkPhlV48xJ2aG9refdpMEFSGayDMI8wLwkSEqROWnIOgg1V4snjnpe3lfWHFPaAGjKZZ2dMpD5ZI-Kgawgcu5MEtNhO4Fqbf25rWx_U4JwN8UG47vqdgjMk9tWdZu30WDI8dcWWo5asNsL_T0uA8qDDxxTRooeAu0rxowpvfVfqudi7nBUfV0jlRHmgVnscqnZCiWpVzE-Rg_hDj27uMMGyDf2WcGUAPT2-NvoyT3qVlc9Qrq4wpwsV6FtL-mt1_dMzRlTdrMbgHVgmKgaAoWkP6VzHodo0dG6x4z27w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T21:12:52.935Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIzNTUwNjMsImlhdCI6MTc1MjM1NDc2MywiYXV0aF90aW1lIjoxNzUyMzU0NzYyLCJqdGkiOiJlN2E4ZDdkNC03YjI0LTQ1ZGEtOTVkMy1hODJiNjM5ODExYzgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VFGAOUOMBmRaxLZWGyYjWrRAtjlnsRG-yLK6Zyf46iUa8crkPhlV48xJ2aG9refdpMEFSGayDMI8wLwkSEqROWnIOgg1V4snjnpe3lfWHFPaAGjKZZ2dMpD5ZI-Kgawgcu5MEtNhO4Fqbf25rWx_U4JwN8UG47vqdgjMk9tWdZu30WDI8dcWWo5asNsL_T0uA8qDDxxTRooeAu0rxowpvfVfqudi7nBUfV0jlRHmgVnscqnZCiWpVzE-Rg_hDj27uMMGyDf2WcGUAPT2-NvoyT3qVlc9Qrq4wpwsV6FtL-mt1_dMzRlTdrMbgHVgmKgaAoWkP6VzHodo0dG6x4z27w' failed: Establishing a tunnel via proxy server failed.
