[2025-07-14T12:51:28.075Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=520df92b-0578-4b8a-b94a-90d83609af19&response_mode=fragment&response_type=code&scope=openid&nonce=f70f4b2e-632f-4277-99a1-50aae222b724 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-14T12:51:28.076Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=520df92b-0578-4b8a-b94a-90d83609af19&response_mode=fragment&response_type=code&scope=openid&nonce=f70f4b2e-632f-4277-99a1-50aae222b724 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-14T12:51:29.977Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI0OTc3ODksImlhdCI6MTc1MjQ5NzQ4OSwiYXV0aF90aW1lIjoxNzUyNDk3NDg4LCJqdGkiOiI5OGI3NmIwMS03NDFhLTRkNDItYTEzOS0xMWViNjUyYjRjNzIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RuTsAGS722SiyrMa7H8XI_2DZeZnlUG5o3rc92Wx87BzirECfJKmlEtOPEd4x36mWU75e7sWr1nJ-amB2JyxDa_ai9K3TZ0Oyf71qD92Ufo6wTDJGiZuk4WJvIn5ms19yal9Oro9_L5ljpl9fZXKQfBWA8JaplXq3eMzMdydseRaSqfcAL0UHrA0eyW7wp4-NaM8AQ5hj3uaZgVsEMJ4DaiTP4jPE0XToPFmIVRABm5cgzEoKgh7vDQost7MuahD9AfkOCYX9T3o-OlRU004gQM0Vtc6G75exMC3tkSzsqpjLKP7baYT_WirWN3PDrXZgHEqNCghT49G2kU_Uvn32w' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T12:51:31.982Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI0OTc3ODksImlhdCI6MTc1MjQ5NzQ4OSwiYXV0aF90aW1lIjoxNzUyNDk3NDg4LCJqdGkiOiI5OGI3NmIwMS03NDFhLTRkNDItYTEzOS0xMWViNjUyYjRjNzIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RuTsAGS722SiyrMa7H8XI_2DZeZnlUG5o3rc92Wx87BzirECfJKmlEtOPEd4x36mWU75e7sWr1nJ-amB2JyxDa_ai9K3TZ0Oyf71qD92Ufo6wTDJGiZuk4WJvIn5ms19yal9Oro9_L5ljpl9fZXKQfBWA8JaplXq3eMzMdydseRaSqfcAL0UHrA0eyW7wp4-NaM8AQ5hj3uaZgVsEMJ4DaiTP4jPE0XToPFmIVRABm5cgzEoKgh7vDQost7MuahD9AfkOCYX9T3o-OlRU004gQM0Vtc6G75exMC3tkSzsqpjLKP7baYT_WirWN3PDrXZgHEqNCghT49G2kU_Uvn32w' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T12:51:33.988Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI0OTc3ODksImlhdCI6MTc1MjQ5NzQ4OSwiYXV0aF90aW1lIjoxNzUyNDk3NDg4LCJqdGkiOiI5OGI3NmIwMS03NDFhLTRkNDItYTEzOS0xMWViNjUyYjRjNzIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RuTsAGS722SiyrMa7H8XI_2DZeZnlUG5o3rc92Wx87BzirECfJKmlEtOPEd4x36mWU75e7sWr1nJ-amB2JyxDa_ai9K3TZ0Oyf71qD92Ufo6wTDJGiZuk4WJvIn5ms19yal9Oro9_L5ljpl9fZXKQfBWA8JaplXq3eMzMdydseRaSqfcAL0UHrA0eyW7wp4-NaM8AQ5hj3uaZgVsEMJ4DaiTP4jPE0XToPFmIVRABm5cgzEoKgh7vDQost7MuahD9AfkOCYX9T3o-OlRU004gQM0Vtc6G75exMC3tkSzsqpjLKP7baYT_WirWN3PDrXZgHEqNCghT49G2kU_Uvn32w' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T12:51:36.130Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI0OTc3ODksImlhdCI6MTc1MjQ5NzQ4OSwiYXV0aF90aW1lIjoxNzUyNDk3NDg4LCJqdGkiOiI5OGI3NmIwMS03NDFhLTRkNDItYTEzOS0xMWViNjUyYjRjNzIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RuTsAGS722SiyrMa7H8XI_2DZeZnlUG5o3rc92Wx87BzirECfJKmlEtOPEd4x36mWU75e7sWr1nJ-amB2JyxDa_ai9K3TZ0Oyf71qD92Ufo6wTDJGiZuk4WJvIn5ms19yal9Oro9_L5ljpl9fZXKQfBWA8JaplXq3eMzMdydseRaSqfcAL0UHrA0eyW7wp4-NaM8AQ5hj3uaZgVsEMJ4DaiTP4jPE0XToPFmIVRABm5cgzEoKgh7vDQost7MuahD9AfkOCYX9T3o-OlRU004gQM0Vtc6G75exMC3tkSzsqpjLKP7baYT_WirWN3PDrXZgHEqNCghT49G2kU_Uvn32w' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T12:51:38.234Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI0OTc3ODksImlhdCI6MTc1MjQ5NzQ4OSwiYXV0aF90aW1lIjoxNzUyNDk3NDg4LCJqdGkiOiI5OGI3NmIwMS03NDFhLTRkNDItYTEzOS0xMWViNjUyYjRjNzIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RuTsAGS722SiyrMa7H8XI_2DZeZnlUG5o3rc92Wx87BzirECfJKmlEtOPEd4x36mWU75e7sWr1nJ-amB2JyxDa_ai9K3TZ0Oyf71qD92Ufo6wTDJGiZuk4WJvIn5ms19yal9Oro9_L5ljpl9fZXKQfBWA8JaplXq3eMzMdydseRaSqfcAL0UHrA0eyW7wp4-NaM8AQ5hj3uaZgVsEMJ4DaiTP4jPE0XToPFmIVRABm5cgzEoKgh7vDQost7MuahD9AfkOCYX9T3o-OlRU004gQM0Vtc6G75exMC3tkSzsqpjLKP7baYT_WirWN3PDrXZgHEqNCghT49G2kU_Uvn32w' failed: Establishing a tunnel via proxy server failed.
