[2025-07-14T14:42:15.333Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=fc5f72a5-f554-4519-873f-1e8dffec9499&response_mode=fragment&response_type=code&scope=openid&nonce=84d2a29a-929e-4504-8af6-96059c0e5059 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-14T14:42:15.333Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=fc5f72a5-f554-4519-873f-1e8dffec9499&response_mode=fragment&response_type=code&scope=openid&nonce=84d2a29a-929e-4504-8af6-96059c0e5059 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-14T14:42:17.227Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MDQ0MzYsImlhdCI6MTc1MjUwNDEzNiwiYXV0aF90aW1lIjoxNzUyNTA0MTM1LCJqdGkiOiIyODFlYThhZi0xMjA2LTQwN2YtOThlOC1jOWVmMzc4YTM1OGMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.dGz_nIQ0L1px4zR4ce_XP8w91YGHd7pqPQYu3xBIrxYbhW2mNI1vYcwnCVVFl7t4iZ5qefIYUedrLbqPIkyevjv4km9jO6NCkKpYDv7ZGjk_qvAH4sb5JLocxHxm5FUe6mphZsUdQRg8Gg93fRubpBbupi3Mlfu8Ko1ByBsayzQ65MgJkqCU3R2N8fkC2Rne8jptJQ_tKmV13XNNXU1Uqbp8-B7b1gXurL-BNaXwJYr7V3hg_aq5U5DhwSprQXlEj2vdBwetXg2oISu13d9SUzEvIowZoRnL1As-ThkmpfzqTgCsRj9Sffir3e2N_aY9Ij6cjmfXhiM3pnP1q7Dn9g' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T14:42:19.231Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MDQ0MzYsImlhdCI6MTc1MjUwNDEzNiwiYXV0aF90aW1lIjoxNzUyNTA0MTM1LCJqdGkiOiIyODFlYThhZi0xMjA2LTQwN2YtOThlOC1jOWVmMzc4YTM1OGMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.dGz_nIQ0L1px4zR4ce_XP8w91YGHd7pqPQYu3xBIrxYbhW2mNI1vYcwnCVVFl7t4iZ5qefIYUedrLbqPIkyevjv4km9jO6NCkKpYDv7ZGjk_qvAH4sb5JLocxHxm5FUe6mphZsUdQRg8Gg93fRubpBbupi3Mlfu8Ko1ByBsayzQ65MgJkqCU3R2N8fkC2Rne8jptJQ_tKmV13XNNXU1Uqbp8-B7b1gXurL-BNaXwJYr7V3hg_aq5U5DhwSprQXlEj2vdBwetXg2oISu13d9SUzEvIowZoRnL1As-ThkmpfzqTgCsRj9Sffir3e2N_aY9Ij6cjmfXhiM3pnP1q7Dn9g' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T14:42:21.237Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MDQ0MzYsImlhdCI6MTc1MjUwNDEzNiwiYXV0aF90aW1lIjoxNzUyNTA0MTM1LCJqdGkiOiIyODFlYThhZi0xMjA2LTQwN2YtOThlOC1jOWVmMzc4YTM1OGMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.dGz_nIQ0L1px4zR4ce_XP8w91YGHd7pqPQYu3xBIrxYbhW2mNI1vYcwnCVVFl7t4iZ5qefIYUedrLbqPIkyevjv4km9jO6NCkKpYDv7ZGjk_qvAH4sb5JLocxHxm5FUe6mphZsUdQRg8Gg93fRubpBbupi3Mlfu8Ko1ByBsayzQ65MgJkqCU3R2N8fkC2Rne8jptJQ_tKmV13XNNXU1Uqbp8-B7b1gXurL-BNaXwJYr7V3hg_aq5U5DhwSprQXlEj2vdBwetXg2oISu13d9SUzEvIowZoRnL1As-ThkmpfzqTgCsRj9Sffir3e2N_aY9Ij6cjmfXhiM3pnP1q7Dn9g' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T14:42:23.307Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MDQ0MzYsImlhdCI6MTc1MjUwNDEzNiwiYXV0aF90aW1lIjoxNzUyNTA0MTM1LCJqdGkiOiIyODFlYThhZi0xMjA2LTQwN2YtOThlOC1jOWVmMzc4YTM1OGMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.dGz_nIQ0L1px4zR4ce_XP8w91YGHd7pqPQYu3xBIrxYbhW2mNI1vYcwnCVVFl7t4iZ5qefIYUedrLbqPIkyevjv4km9jO6NCkKpYDv7ZGjk_qvAH4sb5JLocxHxm5FUe6mphZsUdQRg8Gg93fRubpBbupi3Mlfu8Ko1ByBsayzQ65MgJkqCU3R2N8fkC2Rne8jptJQ_tKmV13XNNXU1Uqbp8-B7b1gXurL-BNaXwJYr7V3hg_aq5U5DhwSprQXlEj2vdBwetXg2oISu13d9SUzEvIowZoRnL1As-ThkmpfzqTgCsRj9Sffir3e2N_aY9Ij6cjmfXhiM3pnP1q7Dn9g' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T14:42:25.395Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MDQ0MzYsImlhdCI6MTc1MjUwNDEzNiwiYXV0aF90aW1lIjoxNzUyNTA0MTM1LCJqdGkiOiIyODFlYThhZi0xMjA2LTQwN2YtOThlOC1jOWVmMzc4YTM1OGMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.dGz_nIQ0L1px4zR4ce_XP8w91YGHd7pqPQYu3xBIrxYbhW2mNI1vYcwnCVVFl7t4iZ5qefIYUedrLbqPIkyevjv4km9jO6NCkKpYDv7ZGjk_qvAH4sb5JLocxHxm5FUe6mphZsUdQRg8Gg93fRubpBbupi3Mlfu8Ko1ByBsayzQ65MgJkqCU3R2N8fkC2Rne8jptJQ_tKmV13XNNXU1Uqbp8-B7b1gXurL-BNaXwJYr7V3hg_aq5U5DhwSprQXlEj2vdBwetXg2oISu13d9SUzEvIowZoRnL1As-ThkmpfzqTgCsRj9Sffir3e2N_aY9Ij6cjmfXhiM3pnP1q7Dn9g' failed: Establishing a tunnel via proxy server failed.
