[2025-07-14T14:40:38.521Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=87ca9523-d06a-4bf9-86e2-c9b502f14e4f&response_mode=fragment&response_type=code&scope=openid&nonce=16e83de6-14bc-4a1e-8b25-bfc6ce465773 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-14T14:40:38.521Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=87ca9523-d06a-4bf9-86e2-c9b502f14e4f&response_mode=fragment&response_type=code&scope=openid&nonce=16e83de6-14bc-4a1e-8b25-bfc6ce465773 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-14T14:40:40.623Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MDQzMzksImlhdCI6MTc1MjUwNDAzOSwiYXV0aF90aW1lIjoxNzUyNTA0MDM4LCJqdGkiOiJhMjhiZTlkYi1mNDI0LTRjYjctYmRjYi1jOWRjYWRmYzQyMDEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ldP0RHEHF-oaBMknrFbzuhXCm1IDQmLbjrrp2KbmPmOHCL0eHDBYawriNWzxnRM8vOrV8puF4i7LG6e0j9q02UWLOtiTKU6nDcmpc6VQvh9nGchehDAtrOIBtWbkpbb9DrAgNQtszCGz0HCym-TMe9NmoOPgAkYNrYk6gfjJLh0MvmxXOj13096Ul5Z8S8m_E0StDyAWfiWkgVJnQ9y09MA1FstNez53-ywkm4fEj1EuLujg7_HEG6OwfRUkwT6adjzk8IKh9n4Ie4LigtKrqBFT-NSx0KyBOX9hYzzJl6E0cH0RvQp8yTcsglxu1kEdAY5dFlpFfLVq54xHtHMDqQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T14:40:42.428Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MDQzMzksImlhdCI6MTc1MjUwNDAzOSwiYXV0aF90aW1lIjoxNzUyNTA0MDM4LCJqdGkiOiJhMjhiZTlkYi1mNDI0LTRjYjctYmRjYi1jOWRjYWRmYzQyMDEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ldP0RHEHF-oaBMknrFbzuhXCm1IDQmLbjrrp2KbmPmOHCL0eHDBYawriNWzxnRM8vOrV8puF4i7LG6e0j9q02UWLOtiTKU6nDcmpc6VQvh9nGchehDAtrOIBtWbkpbb9DrAgNQtszCGz0HCym-TMe9NmoOPgAkYNrYk6gfjJLh0MvmxXOj13096Ul5Z8S8m_E0StDyAWfiWkgVJnQ9y09MA1FstNez53-ywkm4fEj1EuLujg7_HEG6OwfRUkwT6adjzk8IKh9n4Ie4LigtKrqBFT-NSx0KyBOX9hYzzJl6E0cH0RvQp8yTcsglxu1kEdAY5dFlpFfLVq54xHtHMDqQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T14:40:44.460Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MDQzMzksImlhdCI6MTc1MjUwNDAzOSwiYXV0aF90aW1lIjoxNzUyNTA0MDM4LCJqdGkiOiJhMjhiZTlkYi1mNDI0LTRjYjctYmRjYi1jOWRjYWRmYzQyMDEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ldP0RHEHF-oaBMknrFbzuhXCm1IDQmLbjrrp2KbmPmOHCL0eHDBYawriNWzxnRM8vOrV8puF4i7LG6e0j9q02UWLOtiTKU6nDcmpc6VQvh9nGchehDAtrOIBtWbkpbb9DrAgNQtszCGz0HCym-TMe9NmoOPgAkYNrYk6gfjJLh0MvmxXOj13096Ul5Z8S8m_E0StDyAWfiWkgVJnQ9y09MA1FstNez53-ywkm4fEj1EuLujg7_HEG6OwfRUkwT6adjzk8IKh9n4Ie4LigtKrqBFT-NSx0KyBOX9hYzzJl6E0cH0RvQp8yTcsglxu1kEdAY5dFlpFfLVq54xHtHMDqQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T14:40:46.626Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MDQzMzksImlhdCI6MTc1MjUwNDAzOSwiYXV0aF90aW1lIjoxNzUyNTA0MDM4LCJqdGkiOiJhMjhiZTlkYi1mNDI0LTRjYjctYmRjYi1jOWRjYWRmYzQyMDEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ldP0RHEHF-oaBMknrFbzuhXCm1IDQmLbjrrp2KbmPmOHCL0eHDBYawriNWzxnRM8vOrV8puF4i7LG6e0j9q02UWLOtiTKU6nDcmpc6VQvh9nGchehDAtrOIBtWbkpbb9DrAgNQtszCGz0HCym-TMe9NmoOPgAkYNrYk6gfjJLh0MvmxXOj13096Ul5Z8S8m_E0StDyAWfiWkgVJnQ9y09MA1FstNez53-ywkm4fEj1EuLujg7_HEG6OwfRUkwT6adjzk8IKh9n4Ie4LigtKrqBFT-NSx0KyBOX9hYzzJl6E0cH0RvQp8yTcsglxu1kEdAY5dFlpFfLVq54xHtHMDqQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T14:40:48.603Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MDQzMzksImlhdCI6MTc1MjUwNDAzOSwiYXV0aF90aW1lIjoxNzUyNTA0MDM4LCJqdGkiOiJhMjhiZTlkYi1mNDI0LTRjYjctYmRjYi1jOWRjYWRmYzQyMDEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ldP0RHEHF-oaBMknrFbzuhXCm1IDQmLbjrrp2KbmPmOHCL0eHDBYawriNWzxnRM8vOrV8puF4i7LG6e0j9q02UWLOtiTKU6nDcmpc6VQvh9nGchehDAtrOIBtWbkpbb9DrAgNQtszCGz0HCym-TMe9NmoOPgAkYNrYk6gfjJLh0MvmxXOj13096Ul5Z8S8m_E0StDyAWfiWkgVJnQ9y09MA1FstNez53-ywkm4fEj1EuLujg7_HEG6OwfRUkwT6adjzk8IKh9n4Ie4LigtKrqBFT-NSx0KyBOX9hYzzJl6E0cH0RvQp8yTcsglxu1kEdAY5dFlpFfLVq54xHtHMDqQ' failed: Establishing a tunnel via proxy server failed.
