[2025-07-14T20:02:23.243Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=05b750bf-1b6a-4509-a190-09d013ff2d3a&response_mode=fragment&response_type=code&scope=openid&nonce=4411572d-5748-4406-9e63-acd3c6576ec8 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/8re8u/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-14T20:02:23.244Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=05b750bf-1b6a-4509-a190-09d013ff2d3a&response_mode=fragment&response_type=code&scope=openid&nonce=4411572d-5748-4406-9e63-acd3c6576ec8 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-14T20:02:25.157Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjM2NDQsImlhdCI6MTc1MjUyMzM0NCwiYXV0aF90aW1lIjoxNzUyNTIzMzQzLCJqdGkiOiJlZDgxMDkxOS0yZDRlLTQ2NWQtYWY5My1jNmI5MWU0NDMzMDkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.DZt4Wqf1Doq832uYo1LRe8C0UzjjK6-ZQOca7uZLQs3UfaLZqORpn7_pG2WKlJNYPN1v1mJfKpx7U8_qWDI42HsHR6-UHR_w4fQ6ESVb1P2rzZj64uLb9zv_UTuWHVzOtajG-jqrTL4MZHlXDZ6izyAc1CCarTsvcVHLTuqqwuuSa20huC7ayvqT1b67FRxoD0XOH7DN9pnAFjI0EFYXe4sT3_7VFTxlozLP_rYMSybuzzcZNz-6953dfj4Z1i-6ALP1H4rq_kdOXaY9k9DIKp-OjOFhhQErNQ_rLj-Ch7nqSGmdRWMjZY2W1L18m1x2PBBtBnsb4mVjc0gGYYKnlA' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T20:02:27.162Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjM2NDQsImlhdCI6MTc1MjUyMzM0NCwiYXV0aF90aW1lIjoxNzUyNTIzMzQzLCJqdGkiOiJlZDgxMDkxOS0yZDRlLTQ2NWQtYWY5My1jNmI5MWU0NDMzMDkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.DZt4Wqf1Doq832uYo1LRe8C0UzjjK6-ZQOca7uZLQs3UfaLZqORpn7_pG2WKlJNYPN1v1mJfKpx7U8_qWDI42HsHR6-UHR_w4fQ6ESVb1P2rzZj64uLb9zv_UTuWHVzOtajG-jqrTL4MZHlXDZ6izyAc1CCarTsvcVHLTuqqwuuSa20huC7ayvqT1b67FRxoD0XOH7DN9pnAFjI0EFYXe4sT3_7VFTxlozLP_rYMSybuzzcZNz-6953dfj4Z1i-6ALP1H4rq_kdOXaY9k9DIKp-OjOFhhQErNQ_rLj-Ch7nqSGmdRWMjZY2W1L18m1x2PBBtBnsb4mVjc0gGYYKnlA' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T20:02:29.168Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjM2NDQsImlhdCI6MTc1MjUyMzM0NCwiYXV0aF90aW1lIjoxNzUyNTIzMzQzLCJqdGkiOiJlZDgxMDkxOS0yZDRlLTQ2NWQtYWY5My1jNmI5MWU0NDMzMDkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.DZt4Wqf1Doq832uYo1LRe8C0UzjjK6-ZQOca7uZLQs3UfaLZqORpn7_pG2WKlJNYPN1v1mJfKpx7U8_qWDI42HsHR6-UHR_w4fQ6ESVb1P2rzZj64uLb9zv_UTuWHVzOtajG-jqrTL4MZHlXDZ6izyAc1CCarTsvcVHLTuqqwuuSa20huC7ayvqT1b67FRxoD0XOH7DN9pnAFjI0EFYXe4sT3_7VFTxlozLP_rYMSybuzzcZNz-6953dfj4Z1i-6ALP1H4rq_kdOXaY9k9DIKp-OjOFhhQErNQ_rLj-Ch7nqSGmdRWMjZY2W1L18m1x2PBBtBnsb4mVjc0gGYYKnlA' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T20:02:31.255Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjM2NDQsImlhdCI6MTc1MjUyMzM0NCwiYXV0aF90aW1lIjoxNzUyNTIzMzQzLCJqdGkiOiJlZDgxMDkxOS0yZDRlLTQ2NWQtYWY5My1jNmI5MWU0NDMzMDkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.DZt4Wqf1Doq832uYo1LRe8C0UzjjK6-ZQOca7uZLQs3UfaLZqORpn7_pG2WKlJNYPN1v1mJfKpx7U8_qWDI42HsHR6-UHR_w4fQ6ESVb1P2rzZj64uLb9zv_UTuWHVzOtajG-jqrTL4MZHlXDZ6izyAc1CCarTsvcVHLTuqqwuuSa20huC7ayvqT1b67FRxoD0XOH7DN9pnAFjI0EFYXe4sT3_7VFTxlozLP_rYMSybuzzcZNz-6953dfj4Z1i-6ALP1H4rq_kdOXaY9k9DIKp-OjOFhhQErNQ_rLj-Ch7nqSGmdRWMjZY2W1L18m1x2PBBtBnsb4mVjc0gGYYKnlA' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T20:02:33.209Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjM2NDQsImlhdCI6MTc1MjUyMzM0NCwiYXV0aF90aW1lIjoxNzUyNTIzMzQzLCJqdGkiOiJlZDgxMDkxOS0yZDRlLTQ2NWQtYWY5My1jNmI5MWU0NDMzMDkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.DZt4Wqf1Doq832uYo1LRe8C0UzjjK6-ZQOca7uZLQs3UfaLZqORpn7_pG2WKlJNYPN1v1mJfKpx7U8_qWDI42HsHR6-UHR_w4fQ6ESVb1P2rzZj64uLb9zv_UTuWHVzOtajG-jqrTL4MZHlXDZ6izyAc1CCarTsvcVHLTuqqwuuSa20huC7ayvqT1b67FRxoD0XOH7DN9pnAFjI0EFYXe4sT3_7VFTxlozLP_rYMSybuzzcZNz-6953dfj4Z1i-6ALP1H4rq_kdOXaY9k9DIKp-OjOFhhQErNQ_rLj-Ch7nqSGmdRWMjZY2W1L18m1x2PBBtBnsb4mVjc0gGYYKnlA' failed: Establishing a tunnel via proxy server failed.
