[2025-07-14T20:05:45.151Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=db237753-2ca2-4ae9-96c3-53d8353ee091&response_mode=fragment&response_type=code&scope=openid&nonce=3b306103-1723-4fe2-8db1-f54ebef8d8b1 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/8re8u/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-14T20:05:45.152Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=db237753-2ca2-4ae9-96c3-53d8353ee091&response_mode=fragment&response_type=code&scope=openid&nonce=3b306103-1723-4fe2-8db1-f54ebef8d8b1 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-14T20:05:47.019Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjM4NDYsImlhdCI6MTc1MjUyMzU0NiwiYXV0aF90aW1lIjoxNzUyNTIzNTQ1LCJqdGkiOiI2ZTNjMDJmNi1hNzIyLTQ2MjUtODBiYi1jY2Q3NTQzYmY3NWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BzIiIbvmyPdNXdvPWkBvXI6y-W6fpeMX73gn3iwKkTf3zLcUify1QX10sgdsKrizknSxjFGTKAHdv2j52ZhS5Tiqv5k1h7QAWgBYns7B69YvFvcvltLWwpRYf4bcwMPTQmxUr134qqrhuXkttdQ4PvPsa2Eq3UHEv9JX8xohp-3pqqNJUdhtji6aJaxBzutFBQ2Nai4T1OGf6aZ3zwx4SLfweWiDOAnRzAi_5tKRYtrOrGA9k7-ETmPVoipluW19zfYMqzPq5ARc0f1vgTaftpHMhwBAMUlnDGsJRjiRGjov7vuebdmpnKtfPyfmM7xCT_uboC1GpGIg_r6I8qATNw' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T20:05:49.025Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjM4NDYsImlhdCI6MTc1MjUyMzU0NiwiYXV0aF90aW1lIjoxNzUyNTIzNTQ1LCJqdGkiOiI2ZTNjMDJmNi1hNzIyLTQ2MjUtODBiYi1jY2Q3NTQzYmY3NWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BzIiIbvmyPdNXdvPWkBvXI6y-W6fpeMX73gn3iwKkTf3zLcUify1QX10sgdsKrizknSxjFGTKAHdv2j52ZhS5Tiqv5k1h7QAWgBYns7B69YvFvcvltLWwpRYf4bcwMPTQmxUr134qqrhuXkttdQ4PvPsa2Eq3UHEv9JX8xohp-3pqqNJUdhtji6aJaxBzutFBQ2Nai4T1OGf6aZ3zwx4SLfweWiDOAnRzAi_5tKRYtrOrGA9k7-ETmPVoipluW19zfYMqzPq5ARc0f1vgTaftpHMhwBAMUlnDGsJRjiRGjov7vuebdmpnKtfPyfmM7xCT_uboC1GpGIg_r6I8qATNw' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T20:05:51.030Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjM4NDYsImlhdCI6MTc1MjUyMzU0NiwiYXV0aF90aW1lIjoxNzUyNTIzNTQ1LCJqdGkiOiI2ZTNjMDJmNi1hNzIyLTQ2MjUtODBiYi1jY2Q3NTQzYmY3NWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BzIiIbvmyPdNXdvPWkBvXI6y-W6fpeMX73gn3iwKkTf3zLcUify1QX10sgdsKrizknSxjFGTKAHdv2j52ZhS5Tiqv5k1h7QAWgBYns7B69YvFvcvltLWwpRYf4bcwMPTQmxUr134qqrhuXkttdQ4PvPsa2Eq3UHEv9JX8xohp-3pqqNJUdhtji6aJaxBzutFBQ2Nai4T1OGf6aZ3zwx4SLfweWiDOAnRzAi_5tKRYtrOrGA9k7-ETmPVoipluW19zfYMqzPq5ARc0f1vgTaftpHMhwBAMUlnDGsJRjiRGjov7vuebdmpnKtfPyfmM7xCT_uboC1GpGIg_r6I8qATNw' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T20:05:53.219Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjM4NDYsImlhdCI6MTc1MjUyMzU0NiwiYXV0aF90aW1lIjoxNzUyNTIzNTQ1LCJqdGkiOiI2ZTNjMDJmNi1hNzIyLTQ2MjUtODBiYi1jY2Q3NTQzYmY3NWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BzIiIbvmyPdNXdvPWkBvXI6y-W6fpeMX73gn3iwKkTf3zLcUify1QX10sgdsKrizknSxjFGTKAHdv2j52ZhS5Tiqv5k1h7QAWgBYns7B69YvFvcvltLWwpRYf4bcwMPTQmxUr134qqrhuXkttdQ4PvPsa2Eq3UHEv9JX8xohp-3pqqNJUdhtji6aJaxBzutFBQ2Nai4T1OGf6aZ3zwx4SLfweWiDOAnRzAi_5tKRYtrOrGA9k7-ETmPVoipluW19zfYMqzPq5ARc0f1vgTaftpHMhwBAMUlnDGsJRjiRGjov7vuebdmpnKtfPyfmM7xCT_uboC1GpGIg_r6I8qATNw' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T20:05:55.179Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjM4NDYsImlhdCI6MTc1MjUyMzU0NiwiYXV0aF90aW1lIjoxNzUyNTIzNTQ1LCJqdGkiOiI2ZTNjMDJmNi1hNzIyLTQ2MjUtODBiYi1jY2Q3NTQzYmY3NWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BzIiIbvmyPdNXdvPWkBvXI6y-W6fpeMX73gn3iwKkTf3zLcUify1QX10sgdsKrizknSxjFGTKAHdv2j52ZhS5Tiqv5k1h7QAWgBYns7B69YvFvcvltLWwpRYf4bcwMPTQmxUr134qqrhuXkttdQ4PvPsa2Eq3UHEv9JX8xohp-3pqqNJUdhtji6aJaxBzutFBQ2Nai4T1OGf6aZ3zwx4SLfweWiDOAnRzAi_5tKRYtrOrGA9k7-ETmPVoipluW19zfYMqzPq5ARc0f1vgTaftpHMhwBAMUlnDGsJRjiRGjov7vuebdmpnKtfPyfmM7xCT_uboC1GpGIg_r6I8qATNw' failed: Establishing a tunnel via proxy server failed.
