[2025-07-14T20:23:08.015Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=a6981e61-42cb-4d6e-9295-9294aaa91249&response_mode=fragment&response_type=code&scope=openid&nonce=7f9876cc-b04b-46d3-a6d7-3034b65380ef - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/8re8u/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-14T20:23:08.015Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=a6981e61-42cb-4d6e-9295-9294aaa91249&response_mode=fragment&response_type=code&scope=openid&nonce=7f9876cc-b04b-46d3-a6d7-3034b65380ef - Autofocus processing was blocked because a document already has a focused element.

[2025-07-14T20:23:10.114Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjQ4ODksImlhdCI6MTc1MjUyNDU4OSwiYXV0aF90aW1lIjoxNzUyNTI0NTg4LCJqdGkiOiIyYzkzM2FhYy0xZjA4LTRmZjctYmIzYS1hNjlhNjNiM2RiNDIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QOTntYkl3lLGdf3Ms1pJAsjdRHr-PiCAaIC9Icpxa8sBSBE08TxySd2E6mcvE5IHwpIoiU5IlrNyaxfYH_X4PB6w02mUvwNB1W5sVjLPuOYbXKwxCvrws0C_WG9mFxPsr0YNqx7eaEZaLjfT43njr4krb1d3245jmsqyHfJkRzWarOss2bcR6e-fmxqutKrWhqS1jHDaw4MZDsi8KX783k9-8e3hBsek9sLK2eeiqei-QlSPbdoTbJiOel1oIF8gqpC4HFz1Y8ljCXV8LezxQvfBwKt7Dmfb8uT_rUQfUVBEPO5IOXXjVtEpcg8nA1tXRDSIGJ4SNZQaTGKR-rcfaA' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T20:23:12.144Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjQ4ODksImlhdCI6MTc1MjUyNDU4OSwiYXV0aF90aW1lIjoxNzUyNTI0NTg4LCJqdGkiOiIyYzkzM2FhYy0xZjA4LTRmZjctYmIzYS1hNjlhNjNiM2RiNDIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QOTntYkl3lLGdf3Ms1pJAsjdRHr-PiCAaIC9Icpxa8sBSBE08TxySd2E6mcvE5IHwpIoiU5IlrNyaxfYH_X4PB6w02mUvwNB1W5sVjLPuOYbXKwxCvrws0C_WG9mFxPsr0YNqx7eaEZaLjfT43njr4krb1d3245jmsqyHfJkRzWarOss2bcR6e-fmxqutKrWhqS1jHDaw4MZDsi8KX783k9-8e3hBsek9sLK2eeiqei-QlSPbdoTbJiOel1oIF8gqpC4HFz1Y8ljCXV8LezxQvfBwKt7Dmfb8uT_rUQfUVBEPO5IOXXjVtEpcg8nA1tXRDSIGJ4SNZQaTGKR-rcfaA' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T20:23:14.150Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjQ4ODksImlhdCI6MTc1MjUyNDU4OSwiYXV0aF90aW1lIjoxNzUyNTI0NTg4LCJqdGkiOiIyYzkzM2FhYy0xZjA4LTRmZjctYmIzYS1hNjlhNjNiM2RiNDIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QOTntYkl3lLGdf3Ms1pJAsjdRHr-PiCAaIC9Icpxa8sBSBE08TxySd2E6mcvE5IHwpIoiU5IlrNyaxfYH_X4PB6w02mUvwNB1W5sVjLPuOYbXKwxCvrws0C_WG9mFxPsr0YNqx7eaEZaLjfT43njr4krb1d3245jmsqyHfJkRzWarOss2bcR6e-fmxqutKrWhqS1jHDaw4MZDsi8KX783k9-8e3hBsek9sLK2eeiqei-QlSPbdoTbJiOel1oIF8gqpC4HFz1Y8ljCXV8LezxQvfBwKt7Dmfb8uT_rUQfUVBEPO5IOXXjVtEpcg8nA1tXRDSIGJ4SNZQaTGKR-rcfaA' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T20:23:16.156Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjQ4ODksImlhdCI6MTc1MjUyNDU4OSwiYXV0aF90aW1lIjoxNzUyNTI0NTg4LCJqdGkiOiIyYzkzM2FhYy0xZjA4LTRmZjctYmIzYS1hNjlhNjNiM2RiNDIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QOTntYkl3lLGdf3Ms1pJAsjdRHr-PiCAaIC9Icpxa8sBSBE08TxySd2E6mcvE5IHwpIoiU5IlrNyaxfYH_X4PB6w02mUvwNB1W5sVjLPuOYbXKwxCvrws0C_WG9mFxPsr0YNqx7eaEZaLjfT43njr4krb1d3245jmsqyHfJkRzWarOss2bcR6e-fmxqutKrWhqS1jHDaw4MZDsi8KX783k9-8e3hBsek9sLK2eeiqei-QlSPbdoTbJiOel1oIF8gqpC4HFz1Y8ljCXV8LezxQvfBwKt7Dmfb8uT_rUQfUVBEPO5IOXXjVtEpcg8nA1tXRDSIGJ4SNZQaTGKR-rcfaA' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T20:23:18.306Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjQ4ODksImlhdCI6MTc1MjUyNDU4OSwiYXV0aF90aW1lIjoxNzUyNTI0NTg4LCJqdGkiOiIyYzkzM2FhYy0xZjA4LTRmZjctYmIzYS1hNjlhNjNiM2RiNDIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QOTntYkl3lLGdf3Ms1pJAsjdRHr-PiCAaIC9Icpxa8sBSBE08TxySd2E6mcvE5IHwpIoiU5IlrNyaxfYH_X4PB6w02mUvwNB1W5sVjLPuOYbXKwxCvrws0C_WG9mFxPsr0YNqx7eaEZaLjfT43njr4krb1d3245jmsqyHfJkRzWarOss2bcR6e-fmxqutKrWhqS1jHDaw4MZDsi8KX783k9-8e3hBsek9sLK2eeiqei-QlSPbdoTbJiOel1oIF8gqpC4HFz1Y8ljCXV8LezxQvfBwKt7Dmfb8uT_rUQfUVBEPO5IOXXjVtEpcg8nA1tXRDSIGJ4SNZQaTGKR-rcfaA' failed: Establishing a tunnel via proxy server failed.
