[2025-07-21T07:10:44.211Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=bbc6d01c-df69-4b6d-aa45-41c3aa219512&response_mode=fragment&response_type=code&scope=openid&nonce=2bc72f6c-3497-4472-a865-fe6b0cf3fd45 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/huy84/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-21T07:10:44.212Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=bbc6d01c-df69-4b6d-aa45-41c3aa219512&response_mode=fragment&response_type=code&scope=openid&nonce=2bc72f6c-3497-4472-a865-fe6b0cf3fd45 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-21T07:10:46.108Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTMwODIxNDUsImlhdCI6MTc1MzA4MTg0NSwiYXV0aF90aW1lIjoxNzUzMDgxODQ0LCJqdGkiOiJiNWJmYjAzOS00Mjg0LTRkZDQtODRjYS02YjBlY2U1N2JlYjIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EIX7J26FATnZQJpSCTca0gjEFpA-nYwY0ze0xVBCuXvz5XOVqQ1zoX6IFvh6yGCLNvkQtpTxkaRjSA9JLC2xT13qN0Ajl7TpD0ZTpJKN92ywiBFaJZAJ9SrZLvyI5aFW5QoaPa2FgqF0hAQmM8Jwm21mUqL35HI8WiDtwPIFZ68IHZWVn38C8WX1lQIyP62MwI18AKonnbFJuw20YNHxrlbItKyQ4BqxV67-H04Ecw2QhxSiaE37AH3ZBk8pEK963NIzmRVhL9LN5pEfIaCC7ewOLuwK24bMCe8NnF1ymcIFH14G_ST0wUKan6USKJLL49KjJlIAcof3_sd7iEK7VA' failed: Establishing a tunnel via proxy server failed.

[2025-07-21T07:10:48.114Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTMwODIxNDUsImlhdCI6MTc1MzA4MTg0NSwiYXV0aF90aW1lIjoxNzUzMDgxODQ0LCJqdGkiOiJiNWJmYjAzOS00Mjg0LTRkZDQtODRjYS02YjBlY2U1N2JlYjIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EIX7J26FATnZQJpSCTca0gjEFpA-nYwY0ze0xVBCuXvz5XOVqQ1zoX6IFvh6yGCLNvkQtpTxkaRjSA9JLC2xT13qN0Ajl7TpD0ZTpJKN92ywiBFaJZAJ9SrZLvyI5aFW5QoaPa2FgqF0hAQmM8Jwm21mUqL35HI8WiDtwPIFZ68IHZWVn38C8WX1lQIyP62MwI18AKonnbFJuw20YNHxrlbItKyQ4BqxV67-H04Ecw2QhxSiaE37AH3ZBk8pEK963NIzmRVhL9LN5pEfIaCC7ewOLuwK24bMCe8NnF1ymcIFH14G_ST0wUKan6USKJLL49KjJlIAcof3_sd7iEK7VA' failed: Establishing a tunnel via proxy server failed.

[2025-07-21T07:10:50.154Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTMwODIxNDUsImlhdCI6MTc1MzA4MTg0NSwiYXV0aF90aW1lIjoxNzUzMDgxODQ0LCJqdGkiOiJiNWJmYjAzOS00Mjg0LTRkZDQtODRjYS02YjBlY2U1N2JlYjIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EIX7J26FATnZQJpSCTca0gjEFpA-nYwY0ze0xVBCuXvz5XOVqQ1zoX6IFvh6yGCLNvkQtpTxkaRjSA9JLC2xT13qN0Ajl7TpD0ZTpJKN92ywiBFaJZAJ9SrZLvyI5aFW5QoaPa2FgqF0hAQmM8Jwm21mUqL35HI8WiDtwPIFZ68IHZWVn38C8WX1lQIyP62MwI18AKonnbFJuw20YNHxrlbItKyQ4BqxV67-H04Ecw2QhxSiaE37AH3ZBk8pEK963NIzmRVhL9LN5pEfIaCC7ewOLuwK24bMCe8NnF1ymcIFH14G_ST0wUKan6USKJLL49KjJlIAcof3_sd7iEK7VA' failed: Establishing a tunnel via proxy server failed.

[2025-07-21T07:10:52.207Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTMwODIxNDUsImlhdCI6MTc1MzA4MTg0NSwiYXV0aF90aW1lIjoxNzUzMDgxODQ0LCJqdGkiOiJiNWJmYjAzOS00Mjg0LTRkZDQtODRjYS02YjBlY2U1N2JlYjIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EIX7J26FATnZQJpSCTca0gjEFpA-nYwY0ze0xVBCuXvz5XOVqQ1zoX6IFvh6yGCLNvkQtpTxkaRjSA9JLC2xT13qN0Ajl7TpD0ZTpJKN92ywiBFaJZAJ9SrZLvyI5aFW5QoaPa2FgqF0hAQmM8Jwm21mUqL35HI8WiDtwPIFZ68IHZWVn38C8WX1lQIyP62MwI18AKonnbFJuw20YNHxrlbItKyQ4BqxV67-H04Ecw2QhxSiaE37AH3ZBk8pEK963NIzmRVhL9LN5pEfIaCC7ewOLuwK24bMCe8NnF1ymcIFH14G_ST0wUKan6USKJLL49KjJlIAcof3_sd7iEK7VA' failed: Establishing a tunnel via proxy server failed.

[2025-07-21T07:10:54.164Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTMwODIxNDUsImlhdCI6MTc1MzA4MTg0NSwiYXV0aF90aW1lIjoxNzUzMDgxODQ0LCJqdGkiOiJiNWJmYjAzOS00Mjg0LTRkZDQtODRjYS02YjBlY2U1N2JlYjIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EIX7J26FATnZQJpSCTca0gjEFpA-nYwY0ze0xVBCuXvz5XOVqQ1zoX6IFvh6yGCLNvkQtpTxkaRjSA9JLC2xT13qN0Ajl7TpD0ZTpJKN92ywiBFaJZAJ9SrZLvyI5aFW5QoaPa2FgqF0hAQmM8Jwm21mUqL35HI8WiDtwPIFZ68IHZWVn38C8WX1lQIyP62MwI18AKonnbFJuw20YNHxrlbItKyQ4BqxV67-H04Ecw2QhxSiaE37AH3ZBk8pEK963NIzmRVhL9LN5pEfIaCC7ewOLuwK24bMCe8NnF1ymcIFH14G_ST0wUKan6USKJLL49KjJlIAcof3_sd7iEK7VA' failed: Establishing a tunnel via proxy server failed.
