[2025-07-28T13:54:34.810Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=ba113a3d-14d5-4688-814a-6f5bbf16f8b2&response_mode=fragment&response_type=code&scope=openid&nonce=3bf34fa8-8f27-471c-b742-dc1396c25b85 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/gvym6/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-28T13:54:34.811Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=ba113a3d-14d5-4688-814a-6f5bbf16f8b2&response_mode=fragment&response_type=code&scope=openid&nonce=3bf34fa8-8f27-471c-b742-dc1396c25b85 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-28T13:54:36.825Z] [SEVERE] http://localhost:81/ui/static/js/main.762b036e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM3MTExNzUsImlhdCI6MTc1MzcxMDg3NSwiYXV0aF90aW1lIjoxNzUzNzEwODc1LCJqdGkiOiI4NmZhNmJiOC0wYWYyLTQ4MTctOTA0MS0xYjc2ZDMwMDVmMzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.C0O2xXg-ymHVPYUSyY-9JjPRllYyV_XmnftrM_S12qOv2yLZZysqLLXHOwlLOdjKTGQfV10gNyKPC3DkL0yyD52ZjOvWo-fiYVaUosYSXM7oIGpboOkhaEmdj9KGqpdWqsAxn5Cn8KzY4gHhEzaszpKTxeiOfob5tE6jrJH1QOgD5641ZlWbsnudatK_WFNmvNK4CQY6bcQ7znb_7SgxoU5Mo0Z4Ad84IeQXXDdV2pMuptDr2S3Au62KDU4VqK_sIuO55DDjIadeh85BLtAujrAe9bqSVE-CwUkFhsTHQYEUM-VtalFW0uao0xhw_AbxkLggJQZruOjdNPvcAJ0rbg' failed: Establishing a tunnel via proxy server failed.

[2025-07-28T13:54:38.829Z] [SEVERE] http://localhost:81/ui/static/js/main.762b036e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM3MTExNzUsImlhdCI6MTc1MzcxMDg3NSwiYXV0aF90aW1lIjoxNzUzNzEwODc1LCJqdGkiOiI4NmZhNmJiOC0wYWYyLTQ4MTctOTA0MS0xYjc2ZDMwMDVmMzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.C0O2xXg-ymHVPYUSyY-9JjPRllYyV_XmnftrM_S12qOv2yLZZysqLLXHOwlLOdjKTGQfV10gNyKPC3DkL0yyD52ZjOvWo-fiYVaUosYSXM7oIGpboOkhaEmdj9KGqpdWqsAxn5Cn8KzY4gHhEzaszpKTxeiOfob5tE6jrJH1QOgD5641ZlWbsnudatK_WFNmvNK4CQY6bcQ7znb_7SgxoU5Mo0Z4Ad84IeQXXDdV2pMuptDr2S3Au62KDU4VqK_sIuO55DDjIadeh85BLtAujrAe9bqSVE-CwUkFhsTHQYEUM-VtalFW0uao0xhw_AbxkLggJQZruOjdNPvcAJ0rbg' failed: Establishing a tunnel via proxy server failed.

[2025-07-28T13:54:41.107Z] [SEVERE] http://localhost:81/ui/static/js/main.762b036e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM3MTExNzUsImlhdCI6MTc1MzcxMDg3NSwiYXV0aF90aW1lIjoxNzUzNzEwODc1LCJqdGkiOiI4NmZhNmJiOC0wYWYyLTQ4MTctOTA0MS0xYjc2ZDMwMDVmMzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.C0O2xXg-ymHVPYUSyY-9JjPRllYyV_XmnftrM_S12qOv2yLZZysqLLXHOwlLOdjKTGQfV10gNyKPC3DkL0yyD52ZjOvWo-fiYVaUosYSXM7oIGpboOkhaEmdj9KGqpdWqsAxn5Cn8KzY4gHhEzaszpKTxeiOfob5tE6jrJH1QOgD5641ZlWbsnudatK_WFNmvNK4CQY6bcQ7znb_7SgxoU5Mo0Z4Ad84IeQXXDdV2pMuptDr2S3Au62KDU4VqK_sIuO55DDjIadeh85BLtAujrAe9bqSVE-CwUkFhsTHQYEUM-VtalFW0uao0xhw_AbxkLggJQZruOjdNPvcAJ0rbg' failed: Establishing a tunnel via proxy server failed.

[2025-07-28T13:54:42.855Z] [SEVERE] http://localhost:81/ui/static/js/main.762b036e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM3MTExNzUsImlhdCI6MTc1MzcxMDg3NSwiYXV0aF90aW1lIjoxNzUzNzEwODc1LCJqdGkiOiI4NmZhNmJiOC0wYWYyLTQ4MTctOTA0MS0xYjc2ZDMwMDVmMzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.C0O2xXg-ymHVPYUSyY-9JjPRllYyV_XmnftrM_S12qOv2yLZZysqLLXHOwlLOdjKTGQfV10gNyKPC3DkL0yyD52ZjOvWo-fiYVaUosYSXM7oIGpboOkhaEmdj9KGqpdWqsAxn5Cn8KzY4gHhEzaszpKTxeiOfob5tE6jrJH1QOgD5641ZlWbsnudatK_WFNmvNK4CQY6bcQ7znb_7SgxoU5Mo0Z4Ad84IeQXXDdV2pMuptDr2S3Au62KDU4VqK_sIuO55DDjIadeh85BLtAujrAe9bqSVE-CwUkFhsTHQYEUM-VtalFW0uao0xhw_AbxkLggJQZruOjdNPvcAJ0rbg' failed: Establishing a tunnel via proxy server failed.

[2025-07-28T13:54:44.862Z] [SEVERE] http://localhost:81/ui/static/js/main.762b036e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM3MTExNzUsImlhdCI6MTc1MzcxMDg3NSwiYXV0aF90aW1lIjoxNzUzNzEwODc1LCJqdGkiOiI4NmZhNmJiOC0wYWYyLTQ4MTctOTA0MS0xYjc2ZDMwMDVmMzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.C0O2xXg-ymHVPYUSyY-9JjPRllYyV_XmnftrM_S12qOv2yLZZysqLLXHOwlLOdjKTGQfV10gNyKPC3DkL0yyD52ZjOvWo-fiYVaUosYSXM7oIGpboOkhaEmdj9KGqpdWqsAxn5Cn8KzY4gHhEzaszpKTxeiOfob5tE6jrJH1QOgD5641ZlWbsnudatK_WFNmvNK4CQY6bcQ7znb_7SgxoU5Mo0Z4Ad84IeQXXDdV2pMuptDr2S3Au62KDU4VqK_sIuO55DDjIadeh85BLtAujrAe9bqSVE-CwUkFhsTHQYEUM-VtalFW0uao0xhw_AbxkLggJQZruOjdNPvcAJ0rbg' failed: Establishing a tunnel via proxy server failed.

[2025-07-28T13:54:46.989Z] [SEVERE] http://localhost:81/ui/static/js/main.762b036e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM3MTExNzUsImlhdCI6MTc1MzcxMDg3NSwiYXV0aF90aW1lIjoxNzUzNzEwODc1LCJqdGkiOiI4NmZhNmJiOC0wYWYyLTQ4MTctOTA0MS0xYjc2ZDMwMDVmMzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.C0O2xXg-ymHVPYUSyY-9JjPRllYyV_XmnftrM_S12qOv2yLZZysqLLXHOwlLOdjKTGQfV10gNyKPC3DkL0yyD52ZjOvWo-fiYVaUosYSXM7oIGpboOkhaEmdj9KGqpdWqsAxn5Cn8KzY4gHhEzaszpKTxeiOfob5tE6jrJH1QOgD5641ZlWbsnudatK_WFNmvNK4CQY6bcQ7znb_7SgxoU5Mo0Z4Ad84IeQXXDdV2pMuptDr2S3Au62KDU4VqK_sIuO55DDjIadeh85BLtAujrAe9bqSVE-CwUkFhsTHQYEUM-VtalFW0uao0xhw_AbxkLggJQZruOjdNPvcAJ0rbg' failed: Establishing a tunnel via proxy server failed.

[2025-07-28T13:54:48.919Z] [SEVERE] http://localhost:81/ui/static/js/main.762b036e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM3MTExNzUsImlhdCI6MTc1MzcxMDg3NSwiYXV0aF90aW1lIjoxNzUzNzEwODc1LCJqdGkiOiI4NmZhNmJiOC0wYWYyLTQ4MTctOTA0MS0xYjc2ZDMwMDVmMzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.C0O2xXg-ymHVPYUSyY-9JjPRllYyV_XmnftrM_S12qOv2yLZZysqLLXHOwlLOdjKTGQfV10gNyKPC3DkL0yyD52ZjOvWo-fiYVaUosYSXM7oIGpboOkhaEmdj9KGqpdWqsAxn5Cn8KzY4gHhEzaszpKTxeiOfob5tE6jrJH1QOgD5641ZlWbsnudatK_WFNmvNK4CQY6bcQ7znb_7SgxoU5Mo0Z4Ad84IeQXXDdV2pMuptDr2S3Au62KDU4VqK_sIuO55DDjIadeh85BLtAujrAe9bqSVE-CwUkFhsTHQYEUM-VtalFW0uao0xhw_AbxkLggJQZruOjdNPvcAJ0rbg' failed: Establishing a tunnel via proxy server failed.

