[2025-07-28T13:48:55.213Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=3c8f2cb7-3434-4b9c-b328-2bdadae84dc3&response_mode=fragment&response_type=code&scope=openid&nonce=64993c33-7414-4f25-8f23-cdad15eeb494 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/gvym6/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-28T13:48:55.214Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=3c8f2cb7-3434-4b9c-b328-2bdadae84dc3&response_mode=fragment&response_type=code&scope=openid&nonce=64993c33-7414-4f25-8f23-cdad15eeb494 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-28T13:48:57.500Z] [SEVERE] http://localhost:81/ui/static/js/main.762b036e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM3MTA4MzYsImlhdCI6MTc1MzcxMDUzNiwiYXV0aF90aW1lIjoxNzUzNzEwNTM1LCJqdGkiOiI1ODY2ZTgwMi00NjNmLTQ1OTYtYmI4NS05ZDJiYWFlZmNjYTYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Y8PgAQGuUM8iBzWIn87QVQMHFa7GNzQMP0KXjdRfOIIcNIE7z0ZkGGx92zOkHCpED3uik0lNp-oZlF8HD3Aoh6k2JNa4QeTLPgOKqHu3LsPqt0ahg5AwYnRVaS8QiUmRyj2D2oxtqMuUvI-D2GAelSkluZX8dlTGchixNrtTmG8OvtzyfBzBL5XBkfOz1_bhRhD-5B25P1H4cke7LQeM9qWFZeP23O88yCQKPOxIBOA8YcjBEy9qLxobbF24GW-p1IGvWgRy3tJ3j_LFT_IOn54_IZ9KKEEErIDYWDkEyDhXWvw8Yr7WGP-VDI_Pj0x5_y3Y7ufpCJ-VqeYnuBHyOQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-28T13:48:59.614Z] [SEVERE] http://localhost:81/ui/static/js/main.762b036e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM3MTA4MzYsImlhdCI6MTc1MzcxMDUzNiwiYXV0aF90aW1lIjoxNzUzNzEwNTM1LCJqdGkiOiI1ODY2ZTgwMi00NjNmLTQ1OTYtYmI4NS05ZDJiYWFlZmNjYTYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Y8PgAQGuUM8iBzWIn87QVQMHFa7GNzQMP0KXjdRfOIIcNIE7z0ZkGGx92zOkHCpED3uik0lNp-oZlF8HD3Aoh6k2JNa4QeTLPgOKqHu3LsPqt0ahg5AwYnRVaS8QiUmRyj2D2oxtqMuUvI-D2GAelSkluZX8dlTGchixNrtTmG8OvtzyfBzBL5XBkfOz1_bhRhD-5B25P1H4cke7LQeM9qWFZeP23O88yCQKPOxIBOA8YcjBEy9qLxobbF24GW-p1IGvWgRy3tJ3j_LFT_IOn54_IZ9KKEEErIDYWDkEyDhXWvw8Yr7WGP-VDI_Pj0x5_y3Y7ufpCJ-VqeYnuBHyOQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-28T13:49:01.764Z] [SEVERE] http://localhost:81/ui/static/js/main.762b036e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM3MTA4MzYsImlhdCI6MTc1MzcxMDUzNiwiYXV0aF90aW1lIjoxNzUzNzEwNTM1LCJqdGkiOiI1ODY2ZTgwMi00NjNmLTQ1OTYtYmI4NS05ZDJiYWFlZmNjYTYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Y8PgAQGuUM8iBzWIn87QVQMHFa7GNzQMP0KXjdRfOIIcNIE7z0ZkGGx92zOkHCpED3uik0lNp-oZlF8HD3Aoh6k2JNa4QeTLPgOKqHu3LsPqt0ahg5AwYnRVaS8QiUmRyj2D2oxtqMuUvI-D2GAelSkluZX8dlTGchixNrtTmG8OvtzyfBzBL5XBkfOz1_bhRhD-5B25P1H4cke7LQeM9qWFZeP23O88yCQKPOxIBOA8YcjBEy9qLxobbF24GW-p1IGvWgRy3tJ3j_LFT_IOn54_IZ9KKEEErIDYWDkEyDhXWvw8Yr7WGP-VDI_Pj0x5_y3Y7ufpCJ-VqeYnuBHyOQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-28T13:49:03.862Z] [SEVERE] http://localhost:81/ui/static/js/main.762b036e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM3MTA4MzYsImlhdCI6MTc1MzcxMDUzNiwiYXV0aF90aW1lIjoxNzUzNzEwNTM1LCJqdGkiOiI1ODY2ZTgwMi00NjNmLTQ1OTYtYmI4NS05ZDJiYWFlZmNjYTYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Y8PgAQGuUM8iBzWIn87QVQMHFa7GNzQMP0KXjdRfOIIcNIE7z0ZkGGx92zOkHCpED3uik0lNp-oZlF8HD3Aoh6k2JNa4QeTLPgOKqHu3LsPqt0ahg5AwYnRVaS8QiUmRyj2D2oxtqMuUvI-D2GAelSkluZX8dlTGchixNrtTmG8OvtzyfBzBL5XBkfOz1_bhRhD-5B25P1H4cke7LQeM9qWFZeP23O88yCQKPOxIBOA8YcjBEy9qLxobbF24GW-p1IGvWgRy3tJ3j_LFT_IOn54_IZ9KKEEErIDYWDkEyDhXWvw8Yr7WGP-VDI_Pj0x5_y3Y7ufpCJ-VqeYnuBHyOQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-28T13:49:05.658Z] [SEVERE] http://localhost:81/ui/static/js/main.762b036e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM3MTA4MzYsImlhdCI6MTc1MzcxMDUzNiwiYXV0aF90aW1lIjoxNzUzNzEwNTM1LCJqdGkiOiI1ODY2ZTgwMi00NjNmLTQ1OTYtYmI4NS05ZDJiYWFlZmNjYTYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Y8PgAQGuUM8iBzWIn87QVQMHFa7GNzQMP0KXjdRfOIIcNIE7z0ZkGGx92zOkHCpED3uik0lNp-oZlF8HD3Aoh6k2JNa4QeTLPgOKqHu3LsPqt0ahg5AwYnRVaS8QiUmRyj2D2oxtqMuUvI-D2GAelSkluZX8dlTGchixNrtTmG8OvtzyfBzBL5XBkfOz1_bhRhD-5B25P1H4cke7LQeM9qWFZeP23O88yCQKPOxIBOA8YcjBEy9qLxobbF24GW-p1IGvWgRy3tJ3j_LFT_IOn54_IZ9KKEEErIDYWDkEyDhXWvw8Yr7WGP-VDI_Pj0x5_y3Y7ufpCJ-VqeYnuBHyOQ' failed: Establishing a tunnel via proxy server failed.
