[2025-07-28T13:58:31.381Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=81793f06-0cdd-4fc9-9ebd-bbd9d81c00f4&response_mode=fragment&response_type=code&scope=openid&nonce=9fda5e08-cc2d-445f-b22b-96dfb104d630 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/gvym6/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-28T13:58:31.383Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=81793f06-0cdd-4fc9-9ebd-bbd9d81c00f4&response_mode=fragment&response_type=code&scope=openid&nonce=9fda5e08-cc2d-445f-b22b-96dfb104d630 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-28T13:58:33.322Z] [SEVERE] http://localhost:81/ui/static/js/main.762b036e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM3MTE0MTIsImlhdCI6MTc1MzcxMTExMiwiYXV0aF90aW1lIjoxNzUzNzExMTExLCJqdGkiOiIwZWVlM2IzZi04ZmY5LTQzZjctYjUxNi1jZTM1OWFkYzM0MTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Voha0AKwjr6NFQA5_T1qunmGJEl9G0SVPa8hqwjcq_HVrfb_ziLysRt2va6moKlxAvc__FJ4y4EweM6zDVTm92dhNk55gwC34UDi-9hBQFtGKoFfbSezPm-YHz2sB9VfDC4rfZ8HVsgcgg9qK5StLRxwSVjWyXBwyeVnBZ4sXRQ2J5QxCFB5o-FvqiGSI6_ux0iOn_NPSh87E5MmZgx_LSyVxGlDwP3Ff1Vg4fzuB8NhHMl6YFGWJV0bOgTBfPh7HQOwoYmzfSLiGtgZxbaKcu07iNbpUt92w3M_xoMutJ2RfgNA9z7hlDuWeiw1hf9PpMnqRTB1qPNTCETnf509ag' failed: Establishing a tunnel via proxy server failed.

[2025-07-28T13:58:35.422Z] [SEVERE] http://localhost:81/ui/static/js/main.762b036e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM3MTE0MTIsImlhdCI6MTc1MzcxMTExMiwiYXV0aF90aW1lIjoxNzUzNzExMTExLCJqdGkiOiIwZWVlM2IzZi04ZmY5LTQzZjctYjUxNi1jZTM1OWFkYzM0MTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Voha0AKwjr6NFQA5_T1qunmGJEl9G0SVPa8hqwjcq_HVrfb_ziLysRt2va6moKlxAvc__FJ4y4EweM6zDVTm92dhNk55gwC34UDi-9hBQFtGKoFfbSezPm-YHz2sB9VfDC4rfZ8HVsgcgg9qK5StLRxwSVjWyXBwyeVnBZ4sXRQ2J5QxCFB5o-FvqiGSI6_ux0iOn_NPSh87E5MmZgx_LSyVxGlDwP3Ff1Vg4fzuB8NhHMl6YFGWJV0bOgTBfPh7HQOwoYmzfSLiGtgZxbaKcu07iNbpUt92w3M_xoMutJ2RfgNA9z7hlDuWeiw1hf9PpMnqRTB1qPNTCETnf509ag' failed: Establishing a tunnel via proxy server failed.

[2025-07-28T13:58:37.545Z] [SEVERE] http://localhost:81/ui/static/js/main.762b036e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM3MTE0MTIsImlhdCI6MTc1MzcxMTExMiwiYXV0aF90aW1lIjoxNzUzNzExMTExLCJqdGkiOiIwZWVlM2IzZi04ZmY5LTQzZjctYjUxNi1jZTM1OWFkYzM0MTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Voha0AKwjr6NFQA5_T1qunmGJEl9G0SVPa8hqwjcq_HVrfb_ziLysRt2va6moKlxAvc__FJ4y4EweM6zDVTm92dhNk55gwC34UDi-9hBQFtGKoFfbSezPm-YHz2sB9VfDC4rfZ8HVsgcgg9qK5StLRxwSVjWyXBwyeVnBZ4sXRQ2J5QxCFB5o-FvqiGSI6_ux0iOn_NPSh87E5MmZgx_LSyVxGlDwP3Ff1Vg4fzuB8NhHMl6YFGWJV0bOgTBfPh7HQOwoYmzfSLiGtgZxbaKcu07iNbpUt92w3M_xoMutJ2RfgNA9z7hlDuWeiw1hf9PpMnqRTB1qPNTCETnf509ag' failed: Establishing a tunnel via proxy server failed.

[2025-07-28T13:58:39.635Z] [SEVERE] http://localhost:81/ui/static/js/main.762b036e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM3MTE0MTIsImlhdCI6MTc1MzcxMTExMiwiYXV0aF90aW1lIjoxNzUzNzExMTExLCJqdGkiOiIwZWVlM2IzZi04ZmY5LTQzZjctYjUxNi1jZTM1OWFkYzM0MTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Voha0AKwjr6NFQA5_T1qunmGJEl9G0SVPa8hqwjcq_HVrfb_ziLysRt2va6moKlxAvc__FJ4y4EweM6zDVTm92dhNk55gwC34UDi-9hBQFtGKoFfbSezPm-YHz2sB9VfDC4rfZ8HVsgcgg9qK5StLRxwSVjWyXBwyeVnBZ4sXRQ2J5QxCFB5o-FvqiGSI6_ux0iOn_NPSh87E5MmZgx_LSyVxGlDwP3Ff1Vg4fzuB8NhHMl6YFGWJV0bOgTBfPh7HQOwoYmzfSLiGtgZxbaKcu07iNbpUt92w3M_xoMutJ2RfgNA9z7hlDuWeiw1hf9PpMnqRTB1qPNTCETnf509ag' failed: Establishing a tunnel via proxy server failed.

[2025-07-28T13:58:41.436Z] [SEVERE] http://localhost:81/ui/static/js/main.762b036e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM3MTE0MTIsImlhdCI6MTc1MzcxMTExMiwiYXV0aF90aW1lIjoxNzUzNzExMTExLCJqdGkiOiIwZWVlM2IzZi04ZmY5LTQzZjctYjUxNi1jZTM1OWFkYzM0MTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Voha0AKwjr6NFQA5_T1qunmGJEl9G0SVPa8hqwjcq_HVrfb_ziLysRt2va6moKlxAvc__FJ4y4EweM6zDVTm92dhNk55gwC34UDi-9hBQFtGKoFfbSezPm-YHz2sB9VfDC4rfZ8HVsgcgg9qK5StLRxwSVjWyXBwyeVnBZ4sXRQ2J5QxCFB5o-FvqiGSI6_ux0iOn_NPSh87E5MmZgx_LSyVxGlDwP3Ff1Vg4fzuB8NhHMl6YFGWJV0bOgTBfPh7HQOwoYmzfSLiGtgZxbaKcu07iNbpUt92w3M_xoMutJ2RfgNA9z7hlDuWeiw1hf9PpMnqRTB1qPNTCETnf509ag' failed: Establishing a tunnel via proxy server failed.
