[2025-07-30T13:41:55.482Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=e9030e7d-b4d5-4bac-9f45-1be2c4f2c3ea&response_mode=fragment&response_type=code&scope=openid&nonce=48171210-e780-4881-8891-455e0869a932 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/ifi5d/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-30T13:41:55.482Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=e9030e7d-b4d5-4bac-9f45-1be2c4f2c3ea&response_mode=fragment&response_type=code&scope=openid&nonce=48171210-e780-4881-8891-455e0869a932 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-30T13:41:57.590Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODMyMTYsImlhdCI6MTc1Mzg4MjkxNiwiYXV0aF90aW1lIjoxNzUzODgyOTE1LCJqdGkiOiI4OTU4MGRiMC00MjI0LTQ3YjktOWE2MS0xY2I1M2QzYTg3N2EiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kNYNi_5-W87xktmp4fwl2hFJFMizfyde3dm99efEmiC5iRs4DpbIhBDGLl4PbpYQ8qSA_XXluheRge0T7n5VEGGkyqHbJVACtuPiTrW9IIEtcMSzH6sgAnU9eTi7Ys7cPKcR-hgHfCl64I1joVy1LcH4dLtJzkLn3V66of9NLXHdtMSZDmMixaCaO0BIPud33YTm_dA0Vo21NJIpzL2Be0s1GaGde0KvHRvGL1Ln5lnc1fIfUCVLssci4hSWcZCnpNHNDX2iQBiMy0k47khcfITbR3BBUNW4jmlPmHA5rLoOZsJgV8OffARGvp_HnRfCFIEvE8gV8YlFeUyFENXL4g' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T13:41:59.398Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODMyMTYsImlhdCI6MTc1Mzg4MjkxNiwiYXV0aF90aW1lIjoxNzUzODgyOTE1LCJqdGkiOiI4OTU4MGRiMC00MjI0LTQ3YjktOWE2MS0xY2I1M2QzYTg3N2EiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kNYNi_5-W87xktmp4fwl2hFJFMizfyde3dm99efEmiC5iRs4DpbIhBDGLl4PbpYQ8qSA_XXluheRge0T7n5VEGGkyqHbJVACtuPiTrW9IIEtcMSzH6sgAnU9eTi7Ys7cPKcR-hgHfCl64I1joVy1LcH4dLtJzkLn3V66of9NLXHdtMSZDmMixaCaO0BIPud33YTm_dA0Vo21NJIpzL2Be0s1GaGde0KvHRvGL1Ln5lnc1fIfUCVLssci4hSWcZCnpNHNDX2iQBiMy0k47khcfITbR3BBUNW4jmlPmHA5rLoOZsJgV8OffARGvp_HnRfCFIEvE8gV8YlFeUyFENXL4g' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T13:42:01.417Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODMyMTYsImlhdCI6MTc1Mzg4MjkxNiwiYXV0aF90aW1lIjoxNzUzODgyOTE1LCJqdGkiOiI4OTU4MGRiMC00MjI0LTQ3YjktOWE2MS0xY2I1M2QzYTg3N2EiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kNYNi_5-W87xktmp4fwl2hFJFMizfyde3dm99efEmiC5iRs4DpbIhBDGLl4PbpYQ8qSA_XXluheRge0T7n5VEGGkyqHbJVACtuPiTrW9IIEtcMSzH6sgAnU9eTi7Ys7cPKcR-hgHfCl64I1joVy1LcH4dLtJzkLn3V66of9NLXHdtMSZDmMixaCaO0BIPud33YTm_dA0Vo21NJIpzL2Be0s1GaGde0KvHRvGL1Ln5lnc1fIfUCVLssci4hSWcZCnpNHNDX2iQBiMy0k47khcfITbR3BBUNW4jmlPmHA5rLoOZsJgV8OffARGvp_HnRfCFIEvE8gV8YlFeUyFENXL4g' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T13:42:03.421Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODMyMTYsImlhdCI6MTc1Mzg4MjkxNiwiYXV0aF90aW1lIjoxNzUzODgyOTE1LCJqdGkiOiI4OTU4MGRiMC00MjI0LTQ3YjktOWE2MS0xY2I1M2QzYTg3N2EiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kNYNi_5-W87xktmp4fwl2hFJFMizfyde3dm99efEmiC5iRs4DpbIhBDGLl4PbpYQ8qSA_XXluheRge0T7n5VEGGkyqHbJVACtuPiTrW9IIEtcMSzH6sgAnU9eTi7Ys7cPKcR-hgHfCl64I1joVy1LcH4dLtJzkLn3V66of9NLXHdtMSZDmMixaCaO0BIPud33YTm_dA0Vo21NJIpzL2Be0s1GaGde0KvHRvGL1Ln5lnc1fIfUCVLssci4hSWcZCnpNHNDX2iQBiMy0k47khcfITbR3BBUNW4jmlPmHA5rLoOZsJgV8OffARGvp_HnRfCFIEvE8gV8YlFeUyFENXL4g' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T13:42:05.596Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODMyMTYsImlhdCI6MTc1Mzg4MjkxNiwiYXV0aF90aW1lIjoxNzUzODgyOTE1LCJqdGkiOiI4OTU4MGRiMC00MjI0LTQ3YjktOWE2MS0xY2I1M2QzYTg3N2EiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kNYNi_5-W87xktmp4fwl2hFJFMizfyde3dm99efEmiC5iRs4DpbIhBDGLl4PbpYQ8qSA_XXluheRge0T7n5VEGGkyqHbJVACtuPiTrW9IIEtcMSzH6sgAnU9eTi7Ys7cPKcR-hgHfCl64I1joVy1LcH4dLtJzkLn3V66of9NLXHdtMSZDmMixaCaO0BIPud33YTm_dA0Vo21NJIpzL2Be0s1GaGde0KvHRvGL1Ln5lnc1fIfUCVLssci4hSWcZCnpNHNDX2iQBiMy0k47khcfITbR3BBUNW4jmlPmHA5rLoOZsJgV8OffARGvp_HnRfCFIEvE8gV8YlFeUyFENXL4g' failed: Establishing a tunnel via proxy server failed.
