[2025-07-30T13:46:46.565Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=63dc4fea-79cf-4be9-8bfb-206f69d43c61&response_mode=fragment&response_type=code&scope=openid&nonce=ecde2e67-8ce5-4e15-b2dc-e51387581beb - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/ifi5d/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-30T13:46:46.565Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=63dc4fea-79cf-4be9-8bfb-206f69d43c61&response_mode=fragment&response_type=code&scope=openid&nonce=ecde2e67-8ce5-4e15-b2dc-e51387581beb - Autofocus processing was blocked because a document already has a focused element.

[2025-07-30T13:46:48.645Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODM1MDcsImlhdCI6MTc1Mzg4MzIwNywiYXV0aF90aW1lIjoxNzUzODgzMjA2LCJqdGkiOiIzNzY2NTljYy05ZjdlLTQyMWMtOGVlYy1lNGI3MWMxMGI0ZGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.APlKjOQ8lxZAw93eTlvKR0PyfZbFpRiTbo3Vub4_EqD8icdk1Bo0H_KyugYVCGuRKhDmOT5Yjdys5k3HExj9NxJ97aDvSaIw_zGQfGpgGB5DLPA6VWuwGI11TVgAgP61ZBtwV3qcr6_TY1EbCxrWBdbPqTH2RBDFK2BuG3xj_AsllNKVpB2v5vN-AMGZWUgoKlMNZecOLPsZT-B4Cncz5X1cqMKb5FY94s3eSmvJjBT3V1Vzgd-bXmdESK0ML5MfgyWFwnX_MYp6KUduZeonCygZehHXcvKx4l6n_vh14_RuQRPySpeligGdld9tun4WzcT1txeO78e7Yz4z-rCACA' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T13:46:50.455Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODM1MDcsImlhdCI6MTc1Mzg4MzIwNywiYXV0aF90aW1lIjoxNzUzODgzMjA2LCJqdGkiOiIzNzY2NTljYy05ZjdlLTQyMWMtOGVlYy1lNGI3MWMxMGI0ZGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.APlKjOQ8lxZAw93eTlvKR0PyfZbFpRiTbo3Vub4_EqD8icdk1Bo0H_KyugYVCGuRKhDmOT5Yjdys5k3HExj9NxJ97aDvSaIw_zGQfGpgGB5DLPA6VWuwGI11TVgAgP61ZBtwV3qcr6_TY1EbCxrWBdbPqTH2RBDFK2BuG3xj_AsllNKVpB2v5vN-AMGZWUgoKlMNZecOLPsZT-B4Cncz5X1cqMKb5FY94s3eSmvJjBT3V1Vzgd-bXmdESK0ML5MfgyWFwnX_MYp6KUduZeonCygZehHXcvKx4l6n_vh14_RuQRPySpeligGdld9tun4WzcT1txeO78e7Yz4z-rCACA' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T13:46:52.520Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODM1MDcsImlhdCI6MTc1Mzg4MzIwNywiYXV0aF90aW1lIjoxNzUzODgzMjA2LCJqdGkiOiIzNzY2NTljYy05ZjdlLTQyMWMtOGVlYy1lNGI3MWMxMGI0ZGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.APlKjOQ8lxZAw93eTlvKR0PyfZbFpRiTbo3Vub4_EqD8icdk1Bo0H_KyugYVCGuRKhDmOT5Yjdys5k3HExj9NxJ97aDvSaIw_zGQfGpgGB5DLPA6VWuwGI11TVgAgP61ZBtwV3qcr6_TY1EbCxrWBdbPqTH2RBDFK2BuG3xj_AsllNKVpB2v5vN-AMGZWUgoKlMNZecOLPsZT-B4Cncz5X1cqMKb5FY94s3eSmvJjBT3V1Vzgd-bXmdESK0ML5MfgyWFwnX_MYp6KUduZeonCygZehHXcvKx4l6n_vh14_RuQRPySpeligGdld9tun4WzcT1txeO78e7Yz4z-rCACA' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T13:46:54.528Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODM1MDcsImlhdCI6MTc1Mzg4MzIwNywiYXV0aF90aW1lIjoxNzUzODgzMjA2LCJqdGkiOiIzNzY2NTljYy05ZjdlLTQyMWMtOGVlYy1lNGI3MWMxMGI0ZGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.APlKjOQ8lxZAw93eTlvKR0PyfZbFpRiTbo3Vub4_EqD8icdk1Bo0H_KyugYVCGuRKhDmOT5Yjdys5k3HExj9NxJ97aDvSaIw_zGQfGpgGB5DLPA6VWuwGI11TVgAgP61ZBtwV3qcr6_TY1EbCxrWBdbPqTH2RBDFK2BuG3xj_AsllNKVpB2v5vN-AMGZWUgoKlMNZecOLPsZT-B4Cncz5X1cqMKb5FY94s3eSmvJjBT3V1Vzgd-bXmdESK0ML5MfgyWFwnX_MYp6KUduZeonCygZehHXcvKx4l6n_vh14_RuQRPySpeligGdld9tun4WzcT1txeO78e7Yz4z-rCACA' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T13:46:56.699Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODM1MDcsImlhdCI6MTc1Mzg4MzIwNywiYXV0aF90aW1lIjoxNzUzODgzMjA2LCJqdGkiOiIzNzY2NTljYy05ZjdlLTQyMWMtOGVlYy1lNGI3MWMxMGI0ZGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.APlKjOQ8lxZAw93eTlvKR0PyfZbFpRiTbo3Vub4_EqD8icdk1Bo0H_KyugYVCGuRKhDmOT5Yjdys5k3HExj9NxJ97aDvSaIw_zGQfGpgGB5DLPA6VWuwGI11TVgAgP61ZBtwV3qcr6_TY1EbCxrWBdbPqTH2RBDFK2BuG3xj_AsllNKVpB2v5vN-AMGZWUgoKlMNZecOLPsZT-B4Cncz5X1cqMKb5FY94s3eSmvJjBT3V1Vzgd-bXmdESK0ML5MfgyWFwnX_MYp6KUduZeonCygZehHXcvKx4l6n_vh14_RuQRPySpeligGdld9tun4WzcT1txeO78e7Yz4z-rCACA' failed: Establishing a tunnel via proxy server failed.

