[2025-07-30T14:05:54.035Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=435993ca-3d9b-469a-99a4-ca2ab4dc8e2e&response_mode=fragment&response_type=code&scope=openid&nonce=22b22c85-ca63-4a6a-985f-5f137dd8396b - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/ifi5d/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-30T14:05:54.036Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=435993ca-3d9b-469a-99a4-ca2ab4dc8e2e&response_mode=fragment&response_type=code&scope=openid&nonce=22b22c85-ca63-4a6a-985f-5f137dd8396b - Autofocus processing was blocked because a document already has a focused element.

[2025-07-30T14:05:56.144Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ2NTUsImlhdCI6MTc1Mzg4NDM1NSwiYXV0aF90aW1lIjoxNzUzODg0MzU0LCJqdGkiOiIzMzQyNzJkNy1mYjI2LTRiNzEtYTNjZS1hZGM3YWVlMzliZGMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.LRNPbUfvGsVxe4D7ja8n4efh_BEP7JqYwsNt2OgwnppgkFa-Kt3iaA2jauNydjPBG2AnyZk-pPAtkV5Pvf2usEWBBTYRvDehZVzZvENycGLnt7f9-cINfwKDjMUZaMuxa8E1SGPu6xEIWV1-heBVvsUfawDbSS4uYLD1R2gyv1cD993Dpm4_1DPmVc1R0hR3dhK_itU-RBCHltceWqRLxqza_RUvUqnUpwWrcla15hqbpunOz1fT_YgBPp-SdCYE9NPfswBngWbKsk_bBXCXHFG-TfvSC7mvLSgszRRffVWnm_lnpmBZl7OyvrjIBvk41_SpbJLimc7Nam17oG_dKw' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:05:58.169Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ2NTUsImlhdCI6MTc1Mzg4NDM1NSwiYXV0aF90aW1lIjoxNzUzODg0MzU0LCJqdGkiOiIzMzQyNzJkNy1mYjI2LTRiNzEtYTNjZS1hZGM3YWVlMzliZGMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.LRNPbUfvGsVxe4D7ja8n4efh_BEP7JqYwsNt2OgwnppgkFa-Kt3iaA2jauNydjPBG2AnyZk-pPAtkV5Pvf2usEWBBTYRvDehZVzZvENycGLnt7f9-cINfwKDjMUZaMuxa8E1SGPu6xEIWV1-heBVvsUfawDbSS4uYLD1R2gyv1cD993Dpm4_1DPmVc1R0hR3dhK_itU-RBCHltceWqRLxqza_RUvUqnUpwWrcla15hqbpunOz1fT_YgBPp-SdCYE9NPfswBngWbKsk_bBXCXHFG-TfvSC7mvLSgszRRffVWnm_lnpmBZl7OyvrjIBvk41_SpbJLimc7Nam17oG_dKw' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:06:00.276Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ2NTUsImlhdCI6MTc1Mzg4NDM1NSwiYXV0aF90aW1lIjoxNzUzODg0MzU0LCJqdGkiOiIzMzQyNzJkNy1mYjI2LTRiNzEtYTNjZS1hZGM3YWVlMzliZGMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.LRNPbUfvGsVxe4D7ja8n4efh_BEP7JqYwsNt2OgwnppgkFa-Kt3iaA2jauNydjPBG2AnyZk-pPAtkV5Pvf2usEWBBTYRvDehZVzZvENycGLnt7f9-cINfwKDjMUZaMuxa8E1SGPu6xEIWV1-heBVvsUfawDbSS4uYLD1R2gyv1cD993Dpm4_1DPmVc1R0hR3dhK_itU-RBCHltceWqRLxqza_RUvUqnUpwWrcla15hqbpunOz1fT_YgBPp-SdCYE9NPfswBngWbKsk_bBXCXHFG-TfvSC7mvLSgszRRffVWnm_lnpmBZl7OyvrjIBvk41_SpbJLimc7Nam17oG_dKw' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:06:02.218Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ2NTUsImlhdCI6MTc1Mzg4NDM1NSwiYXV0aF90aW1lIjoxNzUzODg0MzU0LCJqdGkiOiIzMzQyNzJkNy1mYjI2LTRiNzEtYTNjZS1hZGM3YWVlMzliZGMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.LRNPbUfvGsVxe4D7ja8n4efh_BEP7JqYwsNt2OgwnppgkFa-Kt3iaA2jauNydjPBG2AnyZk-pPAtkV5Pvf2usEWBBTYRvDehZVzZvENycGLnt7f9-cINfwKDjMUZaMuxa8E1SGPu6xEIWV1-heBVvsUfawDbSS4uYLD1R2gyv1cD993Dpm4_1DPmVc1R0hR3dhK_itU-RBCHltceWqRLxqza_RUvUqnUpwWrcla15hqbpunOz1fT_YgBPp-SdCYE9NPfswBngWbKsk_bBXCXHFG-TfvSC7mvLSgszRRffVWnm_lnpmBZl7OyvrjIBvk41_SpbJLimc7Nam17oG_dKw' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:06:04.374Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ2NTUsImlhdCI6MTc1Mzg4NDM1NSwiYXV0aF90aW1lIjoxNzUzODg0MzU0LCJqdGkiOiIzMzQyNzJkNy1mYjI2LTRiNzEtYTNjZS1hZGM3YWVlMzliZGMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.LRNPbUfvGsVxe4D7ja8n4efh_BEP7JqYwsNt2OgwnppgkFa-Kt3iaA2jauNydjPBG2AnyZk-pPAtkV5Pvf2usEWBBTYRvDehZVzZvENycGLnt7f9-cINfwKDjMUZaMuxa8E1SGPu6xEIWV1-heBVvsUfawDbSS4uYLD1R2gyv1cD993Dpm4_1DPmVc1R0hR3dhK_itU-RBCHltceWqRLxqza_RUvUqnUpwWrcla15hqbpunOz1fT_YgBPp-SdCYE9NPfswBngWbKsk_bBXCXHFG-TfvSC7mvLSgszRRffVWnm_lnpmBZl7OyvrjIBvk41_SpbJLimc7Nam17oG_dKw' failed: Establishing a tunnel via proxy server failed.
