[2025-07-30T14:08:11.656Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=62385692-b981-4678-b58c-02467eaec483&response_mode=fragment&response_type=code&scope=openid&nonce=fa821166-5f9e-4432-80e6-92223202755d - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/ifi5d/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-30T14:08:11.657Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=62385692-b981-4678-b58c-02467eaec483&response_mode=fragment&response_type=code&scope=openid&nonce=fa821166-5f9e-4432-80e6-92223202755d - Autofocus processing was blocked because a document already has a focused element.

[2025-07-30T14:08:13.812Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ3OTIsImlhdCI6MTc1Mzg4NDQ5MiwiYXV0aF90aW1lIjoxNzUzODg0NDkxLCJqdGkiOiIwNGU1OTNlOS04YzIzLTRiNGUtOWM2YS1kNDU2YTM2NDk3YjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KDG6KQI1LFlLAdNNxr995nsb9GqrcijTFsn4-0MsqceLeBjyo8-VFUFfFzn9H8dnbQ6UxrSr-XCa8jgmZZbKFFSEwJl6ZVXVNciVttJGSH-Rt2rvmfIXWHMIU6SUnDFO5trd2ZJ3OrhaL4opZLM_HzvCU1eIzL8J5tuaYVYavMI0H8pgvKl_SKDn6LCoGsusLv2n8Irqsd0RZiPYJXtyt3uHy7gnbHxflf11YBgYKjZrpSLrSomWRVeDLwh_gWuS9kHjHyDufvNtjYTntA4ExR4XUbq3CpLWfyNJnt9-XunSFQQ2OaQWgdHIDiXDtA5RBmNYSMgQnRadQmhYKJS2jw' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:08:15.817Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ3OTIsImlhdCI6MTc1Mzg4NDQ5MiwiYXV0aF90aW1lIjoxNzUzODg0NDkxLCJqdGkiOiIwNGU1OTNlOS04YzIzLTRiNGUtOWM2YS1kNDU2YTM2NDk3YjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KDG6KQI1LFlLAdNNxr995nsb9GqrcijTFsn4-0MsqceLeBjyo8-VFUFfFzn9H8dnbQ6UxrSr-XCa8jgmZZbKFFSEwJl6ZVXVNciVttJGSH-Rt2rvmfIXWHMIU6SUnDFO5trd2ZJ3OrhaL4opZLM_HzvCU1eIzL8J5tuaYVYavMI0H8pgvKl_SKDn6LCoGsusLv2n8Irqsd0RZiPYJXtyt3uHy7gnbHxflf11YBgYKjZrpSLrSomWRVeDLwh_gWuS9kHjHyDufvNtjYTntA4ExR4XUbq3CpLWfyNJnt9-XunSFQQ2OaQWgdHIDiXDtA5RBmNYSMgQnRadQmhYKJS2jw' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:08:17.936Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ3OTIsImlhdCI6MTc1Mzg4NDQ5MiwiYXV0aF90aW1lIjoxNzUzODg0NDkxLCJqdGkiOiIwNGU1OTNlOS04YzIzLTRiNGUtOWM2YS1kNDU2YTM2NDk3YjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KDG6KQI1LFlLAdNNxr995nsb9GqrcijTFsn4-0MsqceLeBjyo8-VFUFfFzn9H8dnbQ6UxrSr-XCa8jgmZZbKFFSEwJl6ZVXVNciVttJGSH-Rt2rvmfIXWHMIU6SUnDFO5trd2ZJ3OrhaL4opZLM_HzvCU1eIzL8J5tuaYVYavMI0H8pgvKl_SKDn6LCoGsusLv2n8Irqsd0RZiPYJXtyt3uHy7gnbHxflf11YBgYKjZrpSLrSomWRVeDLwh_gWuS9kHjHyDufvNtjYTntA4ExR4XUbq3CpLWfyNJnt9-XunSFQQ2OaQWgdHIDiXDtA5RBmNYSMgQnRadQmhYKJS2jw' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:08:19.875Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ3OTIsImlhdCI6MTc1Mzg4NDQ5MiwiYXV0aF90aW1lIjoxNzUzODg0NDkxLCJqdGkiOiIwNGU1OTNlOS04YzIzLTRiNGUtOWM2YS1kNDU2YTM2NDk3YjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KDG6KQI1LFlLAdNNxr995nsb9GqrcijTFsn4-0MsqceLeBjyo8-VFUFfFzn9H8dnbQ6UxrSr-XCa8jgmZZbKFFSEwJl6ZVXVNciVttJGSH-Rt2rvmfIXWHMIU6SUnDFO5trd2ZJ3OrhaL4opZLM_HzvCU1eIzL8J5tuaYVYavMI0H8pgvKl_SKDn6LCoGsusLv2n8Irqsd0RZiPYJXtyt3uHy7gnbHxflf11YBgYKjZrpSLrSomWRVeDLwh_gWuS9kHjHyDufvNtjYTntA4ExR4XUbq3CpLWfyNJnt9-XunSFQQ2OaQWgdHIDiXDtA5RBmNYSMgQnRadQmhYKJS2jw' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:08:22.027Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ3OTIsImlhdCI6MTc1Mzg4NDQ5MiwiYXV0aF90aW1lIjoxNzUzODg0NDkxLCJqdGkiOiIwNGU1OTNlOS04YzIzLTRiNGUtOWM2YS1kNDU2YTM2NDk3YjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KDG6KQI1LFlLAdNNxr995nsb9GqrcijTFsn4-0MsqceLeBjyo8-VFUFfFzn9H8dnbQ6UxrSr-XCa8jgmZZbKFFSEwJl6ZVXVNciVttJGSH-Rt2rvmfIXWHMIU6SUnDFO5trd2ZJ3OrhaL4opZLM_HzvCU1eIzL8J5tuaYVYavMI0H8pgvKl_SKDn6LCoGsusLv2n8Irqsd0RZiPYJXtyt3uHy7gnbHxflf11YBgYKjZrpSLrSomWRVeDLwh_gWuS9kHjHyDufvNtjYTntA4ExR4XUbq3CpLWfyNJnt9-XunSFQQ2OaQWgdHIDiXDtA5RBmNYSMgQnRadQmhYKJS2jw' failed: Establishing a tunnel via proxy server failed.
