[2025-07-30T14:10:51.076Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=55f89fb0-f590-4dfb-a9bd-c58f4fb4fdec&response_mode=fragment&response_type=code&scope=openid&nonce=be3a474c-0b67-4bfd-8b05-b80996a59fda - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/ifi5d/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-30T14:10:51.076Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=55f89fb0-f590-4dfb-a9bd-c58f4fb4fdec&response_mode=fragment&response_type=code&scope=openid&nonce=be3a474c-0b67-4bfd-8b05-b80996a59fda - Autofocus processing was blocked because a document already has a focused element.

[2025-07-30T14:10:53.267Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ5NTIsImlhdCI6MTc1Mzg4NDY1MiwiYXV0aF90aW1lIjoxNzUzODg0NjUxLCJqdGkiOiJlOTFmZWRjOC0yZmZmLTRiNzYtOWZlMy00NmRjMDRiMGIyMDciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.AEfvDnIMZoKRG6WKYW6h0tckphcZ0vnyAFoX9j3yAjbQIh5CtZ9vi8T0_Vh02x7meTFMTlrxwo8GjRzQoZt1FBgO8TlEqJ3CygSa3uS8FiLd1qqlIXqZJVoZrU6krhQmtSHAjyzi2wjlodHL0dmYD1VPI49RtC-a82Gz93mnA2ZDAO_aglxAXDCpQsYq8msXCbYWC2JSU-IcM7kVrHk5fCO3kkXWhSc4iPzPLXtATevDpDLJFo3CPaOVyL_ItrYkYVfmUmUy5NXlWOF3uMR6RnRAJNeAFYOPlLxzv-dojoUuygI576yhVDUuCb723py8dz96bLYKVJqV5Vf2rDtjYw' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:10:55.272Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ5NTIsImlhdCI6MTc1Mzg4NDY1MiwiYXV0aF90aW1lIjoxNzUzODg0NjUxLCJqdGkiOiJlOTFmZWRjOC0yZmZmLTRiNzYtOWZlMy00NmRjMDRiMGIyMDciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.AEfvDnIMZoKRG6WKYW6h0tckphcZ0vnyAFoX9j3yAjbQIh5CtZ9vi8T0_Vh02x7meTFMTlrxwo8GjRzQoZt1FBgO8TlEqJ3CygSa3uS8FiLd1qqlIXqZJVoZrU6krhQmtSHAjyzi2wjlodHL0dmYD1VPI49RtC-a82Gz93mnA2ZDAO_aglxAXDCpQsYq8msXCbYWC2JSU-IcM7kVrHk5fCO3kkXWhSc4iPzPLXtATevDpDLJFo3CPaOVyL_ItrYkYVfmUmUy5NXlWOF3uMR6RnRAJNeAFYOPlLxzv-dojoUuygI576yhVDUuCb723py8dz96bLYKVJqV5Vf2rDtjYw' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:10:57.364Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ5NTIsImlhdCI6MTc1Mzg4NDY1MiwiYXV0aF90aW1lIjoxNzUzODg0NjUxLCJqdGkiOiJlOTFmZWRjOC0yZmZmLTRiNzYtOWZlMy00NmRjMDRiMGIyMDciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.AEfvDnIMZoKRG6WKYW6h0tckphcZ0vnyAFoX9j3yAjbQIh5CtZ9vi8T0_Vh02x7meTFMTlrxwo8GjRzQoZt1FBgO8TlEqJ3CygSa3uS8FiLd1qqlIXqZJVoZrU6krhQmtSHAjyzi2wjlodHL0dmYD1VPI49RtC-a82Gz93mnA2ZDAO_aglxAXDCpQsYq8msXCbYWC2JSU-IcM7kVrHk5fCO3kkXWhSc4iPzPLXtATevDpDLJFo3CPaOVyL_ItrYkYVfmUmUy5NXlWOF3uMR6RnRAJNeAFYOPlLxzv-dojoUuygI576yhVDUuCb723py8dz96bLYKVJqV5Vf2rDtjYw' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:10:59.303Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ5NTIsImlhdCI6MTc1Mzg4NDY1MiwiYXV0aF90aW1lIjoxNzUzODg0NjUxLCJqdGkiOiJlOTFmZWRjOC0yZmZmLTRiNzYtOWZlMy00NmRjMDRiMGIyMDciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.AEfvDnIMZoKRG6WKYW6h0tckphcZ0vnyAFoX9j3yAjbQIh5CtZ9vi8T0_Vh02x7meTFMTlrxwo8GjRzQoZt1FBgO8TlEqJ3CygSa3uS8FiLd1qqlIXqZJVoZrU6krhQmtSHAjyzi2wjlodHL0dmYD1VPI49RtC-a82Gz93mnA2ZDAO_aglxAXDCpQsYq8msXCbYWC2JSU-IcM7kVrHk5fCO3kkXWhSc4iPzPLXtATevDpDLJFo3CPaOVyL_ItrYkYVfmUmUy5NXlWOF3uMR6RnRAJNeAFYOPlLxzv-dojoUuygI576yhVDUuCb723py8dz96bLYKVJqV5Vf2rDtjYw' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:11:01.457Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ5NTIsImlhdCI6MTc1Mzg4NDY1MiwiYXV0aF90aW1lIjoxNzUzODg0NjUxLCJqdGkiOiJlOTFmZWRjOC0yZmZmLTRiNzYtOWZlMy00NmRjMDRiMGIyMDciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.AEfvDnIMZoKRG6WKYW6h0tckphcZ0vnyAFoX9j3yAjbQIh5CtZ9vi8T0_Vh02x7meTFMTlrxwo8GjRzQoZt1FBgO8TlEqJ3CygSa3uS8FiLd1qqlIXqZJVoZrU6krhQmtSHAjyzi2wjlodHL0dmYD1VPI49RtC-a82Gz93mnA2ZDAO_aglxAXDCpQsYq8msXCbYWC2JSU-IcM7kVrHk5fCO3kkXWhSc4iPzPLXtATevDpDLJFo3CPaOVyL_ItrYkYVfmUmUy5NXlWOF3uMR6RnRAJNeAFYOPlLxzv-dojoUuygI576yhVDUuCb723py8dz96bLYKVJqV5Vf2rDtjYw' failed: Establishing a tunnel via proxy server failed.
