[2025-07-30T14:08:29.235Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=c9e553be-c319-4884-a905-bb720d32d4d3&response_mode=fragment&response_type=code&scope=openid&nonce=e6cbffe9-e24e-4caa-82cc-d2b7b7e5eb26 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/ifi5d/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-30T14:08:29.236Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=c9e553be-c319-4884-a905-bb720d32d4d3&response_mode=fragment&response_type=code&scope=openid&nonce=e6cbffe9-e24e-4caa-82cc-d2b7b7e5eb26 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-30T14:08:31.457Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ4MTAsImlhdCI6MTc1Mzg4NDUxMCwiYXV0aF90aW1lIjoxNzUzODg0NTA5LCJqdGkiOiIyMzYwYjRiZC1kNTg0LTRlYTctODU0NC1jNDVmNmYzMDBkMGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZNk5HjdpA3cVj5LVWqqIU28AO84_GMCilMKsuZ0Jh6y6vVF8BX-Gi_EYA-2CjI1U8tX4dPEXtv4Xe1Zidhdo23LeVrHNCtIU4uR32rZv0FmPFy3RelA6WEoF1ZSwCofwhTAr1cBvaGJlJ6iE0M6XPeqt0obG-JruH9ZQjmdmS9_cTpAAP-jYCNx0QAdURGYb7w1H5hDtWpSx8Ex38Ffw4qt1hN5MZ8hngJdr7Ir4cWPHZV245TSP0E7mmPdB7s_VNRHq09jYFlzwlU3K8DuWwjc7I69lt1xRx9PBKDw6pu_LfDafA2XtKqmu8CAuFo6dSR1fD_Srhm6-K8UyZrrKAA' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:08:33.482Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ4MTAsImlhdCI6MTc1Mzg4NDUxMCwiYXV0aF90aW1lIjoxNzUzODg0NTA5LCJqdGkiOiIyMzYwYjRiZC1kNTg0LTRlYTctODU0NC1jNDVmNmYzMDBkMGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZNk5HjdpA3cVj5LVWqqIU28AO84_GMCilMKsuZ0Jh6y6vVF8BX-Gi_EYA-2CjI1U8tX4dPEXtv4Xe1Zidhdo23LeVrHNCtIU4uR32rZv0FmPFy3RelA6WEoF1ZSwCofwhTAr1cBvaGJlJ6iE0M6XPeqt0obG-JruH9ZQjmdmS9_cTpAAP-jYCNx0QAdURGYb7w1H5hDtWpSx8Ex38Ffw4qt1hN5MZ8hngJdr7Ir4cWPHZV245TSP0E7mmPdB7s_VNRHq09jYFlzwlU3K8DuWwjc7I69lt1xRx9PBKDw6pu_LfDafA2XtKqmu8CAuFo6dSR1fD_Srhm6-K8UyZrrKAA' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:08:35.545Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ4MTAsImlhdCI6MTc1Mzg4NDUxMCwiYXV0aF90aW1lIjoxNzUzODg0NTA5LCJqdGkiOiIyMzYwYjRiZC1kNTg0LTRlYTctODU0NC1jNDVmNmYzMDBkMGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZNk5HjdpA3cVj5LVWqqIU28AO84_GMCilMKsuZ0Jh6y6vVF8BX-Gi_EYA-2CjI1U8tX4dPEXtv4Xe1Zidhdo23LeVrHNCtIU4uR32rZv0FmPFy3RelA6WEoF1ZSwCofwhTAr1cBvaGJlJ6iE0M6XPeqt0obG-JruH9ZQjmdmS9_cTpAAP-jYCNx0QAdURGYb7w1H5hDtWpSx8Ex38Ffw4qt1hN5MZ8hngJdr7Ir4cWPHZV245TSP0E7mmPdB7s_VNRHq09jYFlzwlU3K8DuWwjc7I69lt1xRx9PBKDw6pu_LfDafA2XtKqmu8CAuFo6dSR1fD_Srhm6-K8UyZrrKAA' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:08:37.494Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ4MTAsImlhdCI6MTc1Mzg4NDUxMCwiYXV0aF90aW1lIjoxNzUzODg0NTA5LCJqdGkiOiIyMzYwYjRiZC1kNTg0LTRlYTctODU0NC1jNDVmNmYzMDBkMGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZNk5HjdpA3cVj5LVWqqIU28AO84_GMCilMKsuZ0Jh6y6vVF8BX-Gi_EYA-2CjI1U8tX4dPEXtv4Xe1Zidhdo23LeVrHNCtIU4uR32rZv0FmPFy3RelA6WEoF1ZSwCofwhTAr1cBvaGJlJ6iE0M6XPeqt0obG-JruH9ZQjmdmS9_cTpAAP-jYCNx0QAdURGYb7w1H5hDtWpSx8Ex38Ffw4qt1hN5MZ8hngJdr7Ir4cWPHZV245TSP0E7mmPdB7s_VNRHq09jYFlzwlU3K8DuWwjc7I69lt1xRx9PBKDw6pu_LfDafA2XtKqmu8CAuFo6dSR1fD_Srhm6-K8UyZrrKAA' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:08:39.633Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ4MTAsImlhdCI6MTc1Mzg4NDUxMCwiYXV0aF90aW1lIjoxNzUzODg0NTA5LCJqdGkiOiIyMzYwYjRiZC1kNTg0LTRlYTctODU0NC1jNDVmNmYzMDBkMGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZNk5HjdpA3cVj5LVWqqIU28AO84_GMCilMKsuZ0Jh6y6vVF8BX-Gi_EYA-2CjI1U8tX4dPEXtv4Xe1Zidhdo23LeVrHNCtIU4uR32rZv0FmPFy3RelA6WEoF1ZSwCofwhTAr1cBvaGJlJ6iE0M6XPeqt0obG-JruH9ZQjmdmS9_cTpAAP-jYCNx0QAdURGYb7w1H5hDtWpSx8Ex38Ffw4qt1hN5MZ8hngJdr7Ir4cWPHZV245TSP0E7mmPdB7s_VNRHq09jYFlzwlU3K8DuWwjc7I69lt1xRx9PBKDw6pu_LfDafA2XtKqmu8CAuFo6dSR1fD_Srhm6-K8UyZrrKAA' failed: Establishing a tunnel via proxy server failed.
