[2025-07-30T14:06:29.331Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=96195362-5139-4813-93f9-b9624667e3dc&response_mode=fragment&response_type=code&scope=openid&nonce=6cee87f5-a99a-4e26-8af2-d6f10a30f6df - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/ifi5d/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-30T14:06:29.332Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=96195362-5139-4813-93f9-b9624667e3dc&response_mode=fragment&response_type=code&scope=openid&nonce=6cee87f5-a99a-4e26-8af2-d6f10a30f6df - Autofocus processing was blocked because a document already has a focused element.

[2025-07-30T14:06:31.518Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ2OTAsImlhdCI6MTc1Mzg4NDM5MCwiYXV0aF90aW1lIjoxNzUzODg0Mzg5LCJqdGkiOiI2NzQ3YjkyNy0yNjc4LTQ1MjUtYjdiYy1iOTc4NTQ2MGJkMGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.HkIP4Aq1UBtvzyw5exxoZzNDOSiM4XgeNedK69FZ1JtJUOiwctIr9cwyHF3rhQjMaiv5Www71-iLYBMuF_CjJcx8tHaK0DE7HfVkGNPkgepW2xcqUDKrs0q39oFiwrKRY4JbO_M2yJaGCBbg2_t0eW6IWW7eaj8CLyUe3C9tYSgjkJ4tBOADjtVLpuDokQYZ3HWsaEGMMvcfmT7O6t8ll0FUtYmgDW4UT6QpELaK98O7macV9GpBGbqfGXlK-maW863-TFJlO5-RTd6mrErURiGvwftLH8C5-5WRrEHKPCbwACNMufNM30V8m_bXXkEfJOKr0tUwjVQvOQV2I0ALFw' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:06:33.522Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ2OTAsImlhdCI6MTc1Mzg4NDM5MCwiYXV0aF90aW1lIjoxNzUzODg0Mzg5LCJqdGkiOiI2NzQ3YjkyNy0yNjc4LTQ1MjUtYjdiYy1iOTc4NTQ2MGJkMGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.HkIP4Aq1UBtvzyw5exxoZzNDOSiM4XgeNedK69FZ1JtJUOiwctIr9cwyHF3rhQjMaiv5Www71-iLYBMuF_CjJcx8tHaK0DE7HfVkGNPkgepW2xcqUDKrs0q39oFiwrKRY4JbO_M2yJaGCBbg2_t0eW6IWW7eaj8CLyUe3C9tYSgjkJ4tBOADjtVLpuDokQYZ3HWsaEGMMvcfmT7O6t8ll0FUtYmgDW4UT6QpELaK98O7macV9GpBGbqfGXlK-maW863-TFJlO5-RTd6mrErURiGvwftLH8C5-5WRrEHKPCbwACNMufNM30V8m_bXXkEfJOKr0tUwjVQvOQV2I0ALFw' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:06:35.663Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ2OTAsImlhdCI6MTc1Mzg4NDM5MCwiYXV0aF90aW1lIjoxNzUzODg0Mzg5LCJqdGkiOiI2NzQ3YjkyNy0yNjc4LTQ1MjUtYjdiYy1iOTc4NTQ2MGJkMGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.HkIP4Aq1UBtvzyw5exxoZzNDOSiM4XgeNedK69FZ1JtJUOiwctIr9cwyHF3rhQjMaiv5Www71-iLYBMuF_CjJcx8tHaK0DE7HfVkGNPkgepW2xcqUDKrs0q39oFiwrKRY4JbO_M2yJaGCBbg2_t0eW6IWW7eaj8CLyUe3C9tYSgjkJ4tBOADjtVLpuDokQYZ3HWsaEGMMvcfmT7O6t8ll0FUtYmgDW4UT6QpELaK98O7macV9GpBGbqfGXlK-maW863-TFJlO5-RTd6mrErURiGvwftLH8C5-5WRrEHKPCbwACNMufNM30V8m_bXXkEfJOKr0tUwjVQvOQV2I0ALFw' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:06:37.604Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ2OTAsImlhdCI6MTc1Mzg4NDM5MCwiYXV0aF90aW1lIjoxNzUzODg0Mzg5LCJqdGkiOiI2NzQ3YjkyNy0yNjc4LTQ1MjUtYjdiYy1iOTc4NTQ2MGJkMGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.HkIP4Aq1UBtvzyw5exxoZzNDOSiM4XgeNedK69FZ1JtJUOiwctIr9cwyHF3rhQjMaiv5Www71-iLYBMuF_CjJcx8tHaK0DE7HfVkGNPkgepW2xcqUDKrs0q39oFiwrKRY4JbO_M2yJaGCBbg2_t0eW6IWW7eaj8CLyUe3C9tYSgjkJ4tBOADjtVLpuDokQYZ3HWsaEGMMvcfmT7O6t8ll0FUtYmgDW4UT6QpELaK98O7macV9GpBGbqfGXlK-maW863-TFJlO5-RTd6mrErURiGvwftLH8C5-5WRrEHKPCbwACNMufNM30V8m_bXXkEfJOKr0tUwjVQvOQV2I0ALFw' failed: Establishing a tunnel via proxy server failed.

[2025-07-30T14:06:39.542Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM4ODQ2OTAsImlhdCI6MTc1Mzg4NDM5MCwiYXV0aF90aW1lIjoxNzUzODg0Mzg5LCJqdGkiOiI2NzQ3YjkyNy0yNjc4LTQ1MjUtYjdiYy1iOTc4NTQ2MGJkMGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.HkIP4Aq1UBtvzyw5exxoZzNDOSiM4XgeNedK69FZ1JtJUOiwctIr9cwyHF3rhQjMaiv5Www71-iLYBMuF_CjJcx8tHaK0DE7HfVkGNPkgepW2xcqUDKrs0q39oFiwrKRY4JbO_M2yJaGCBbg2_t0eW6IWW7eaj8CLyUe3C9tYSgjkJ4tBOADjtVLpuDokQYZ3HWsaEGMMvcfmT7O6t8ll0FUtYmgDW4UT6QpELaK98O7macV9GpBGbqfGXlK-maW863-TFJlO5-RTd6mrErURiGvwftLH8C5-5WRrEHKPCbwACNMufNM30V8m_bXXkEfJOKr0tUwjVQvOQV2I0ALFw' failed: Establishing a tunnel via proxy server failed.
