[2025-07-31T15:00:57.442Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=448154f5-509d-45a4-819a-59fc3fab6af1&response_mode=fragment&response_type=code&scope=openid&nonce=0c58a644-2b77-4986-ab6a-83d2c1cf4459 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/lgfma/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-31T15:00:57.443Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=448154f5-509d-45a4-819a-59fc3fab6af1&response_mode=fragment&response_type=code&scope=openid&nonce=0c58a644-2b77-4986-ab6a-83d2c1cf4459 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-31T15:00:59.213Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQzNTgsImlhdCI6MTc1Mzk3NDA1OCwiYXV0aF90aW1lIjoxNzUzOTc0MDU3LCJqdGkiOiJkYmM2NzBiNS1iZDBiLTRiZGMtYTFjOC1lNTE5NjcxZjRlYTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.GtdXKiqef5sHkEur40IezOR_Ibx3YpNOIPGut-XTR_DZ6z0hD58d69f_y6237WASsTv9m2PA1_dTX8xbcHt1jy9g0kcJcenYEGw8UP5VMSOP13HJa0aqNKKD6Q5RacsQaY9GPZSsiaqKIhZb4QkOIUsfamog4UWvpRQXEwNyMRqdJeZwxbLm6lcHRT6VlVHsCKdRT9hq0uS2y4xdVT7p1bRuqn1zjjZBwXa17Jplg8qKez3BBQLC4ydoKUzzx30oiHAllhcETOYhQP1kWutYjUheSvN3cdA80Cdw15oUvzEd84SDArMzrzm4tMRdST2pIaI5tTVSpFHNSgqJRPoTLQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T15:01:01.219Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQzNTgsImlhdCI6MTc1Mzk3NDA1OCwiYXV0aF90aW1lIjoxNzUzOTc0MDU3LCJqdGkiOiJkYmM2NzBiNS1iZDBiLTRiZGMtYTFjOC1lNTE5NjcxZjRlYTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.GtdXKiqef5sHkEur40IezOR_Ibx3YpNOIPGut-XTR_DZ6z0hD58d69f_y6237WASsTv9m2PA1_dTX8xbcHt1jy9g0kcJcenYEGw8UP5VMSOP13HJa0aqNKKD6Q5RacsQaY9GPZSsiaqKIhZb4QkOIUsfamog4UWvpRQXEwNyMRqdJeZwxbLm6lcHRT6VlVHsCKdRT9hq0uS2y4xdVT7p1bRuqn1zjjZBwXa17Jplg8qKez3BBQLC4ydoKUzzx30oiHAllhcETOYhQP1kWutYjUheSvN3cdA80Cdw15oUvzEd84SDArMzrzm4tMRdST2pIaI5tTVSpFHNSgqJRPoTLQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T15:01:03.350Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQzNTgsImlhdCI6MTc1Mzk3NDA1OCwiYXV0aF90aW1lIjoxNzUzOTc0MDU3LCJqdGkiOiJkYmM2NzBiNS1iZDBiLTRiZGMtYTFjOC1lNTE5NjcxZjRlYTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.GtdXKiqef5sHkEur40IezOR_Ibx3YpNOIPGut-XTR_DZ6z0hD58d69f_y6237WASsTv9m2PA1_dTX8xbcHt1jy9g0kcJcenYEGw8UP5VMSOP13HJa0aqNKKD6Q5RacsQaY9GPZSsiaqKIhZb4QkOIUsfamog4UWvpRQXEwNyMRqdJeZwxbLm6lcHRT6VlVHsCKdRT9hq0uS2y4xdVT7p1bRuqn1zjjZBwXa17Jplg8qKez3BBQLC4ydoKUzzx30oiHAllhcETOYhQP1kWutYjUheSvN3cdA80Cdw15oUvzEd84SDArMzrzm4tMRdST2pIaI5tTVSpFHNSgqJRPoTLQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T15:01:05.405Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQzNTgsImlhdCI6MTc1Mzk3NDA1OCwiYXV0aF90aW1lIjoxNzUzOTc0MDU3LCJqdGkiOiJkYmM2NzBiNS1iZDBiLTRiZGMtYTFjOC1lNTE5NjcxZjRlYTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.GtdXKiqef5sHkEur40IezOR_Ibx3YpNOIPGut-XTR_DZ6z0hD58d69f_y6237WASsTv9m2PA1_dTX8xbcHt1jy9g0kcJcenYEGw8UP5VMSOP13HJa0aqNKKD6Q5RacsQaY9GPZSsiaqKIhZb4QkOIUsfamog4UWvpRQXEwNyMRqdJeZwxbLm6lcHRT6VlVHsCKdRT9hq0uS2y4xdVT7p1bRuqn1zjjZBwXa17Jplg8qKez3BBQLC4ydoKUzzx30oiHAllhcETOYhQP1kWutYjUheSvN3cdA80Cdw15oUvzEd84SDArMzrzm4tMRdST2pIaI5tTVSpFHNSgqJRPoTLQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T15:01:07.566Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQzNTgsImlhdCI6MTc1Mzk3NDA1OCwiYXV0aF90aW1lIjoxNzUzOTc0MDU3LCJqdGkiOiJkYmM2NzBiNS1iZDBiLTRiZGMtYTFjOC1lNTE5NjcxZjRlYTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.GtdXKiqef5sHkEur40IezOR_Ibx3YpNOIPGut-XTR_DZ6z0hD58d69f_y6237WASsTv9m2PA1_dTX8xbcHt1jy9g0kcJcenYEGw8UP5VMSOP13HJa0aqNKKD6Q5RacsQaY9GPZSsiaqKIhZb4QkOIUsfamog4UWvpRQXEwNyMRqdJeZwxbLm6lcHRT6VlVHsCKdRT9hq0uS2y4xdVT7p1bRuqn1zjjZBwXa17Jplg8qKez3BBQLC4ydoKUzzx30oiHAllhcETOYhQP1kWutYjUheSvN3cdA80Cdw15oUvzEd84SDArMzrzm4tMRdST2pIaI5tTVSpFHNSgqJRPoTLQ' failed: Establishing a tunnel via proxy server failed.
