[2025-07-31T15:02:42.629Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=706018d0-5157-4cfb-b5bd-8e06635c3ada&response_mode=fragment&response_type=code&scope=openid&nonce=57857e68-8d1f-47e9-93cb-29e06d94d9f7 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/lgfma/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-31T15:02:42.630Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=706018d0-5157-4cfb-b5bd-8e06635c3ada&response_mode=fragment&response_type=code&scope=openid&nonce=57857e68-8d1f-47e9-93cb-29e06d94d9f7 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-31T15:02:44.491Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQ0NjMsImlhdCI6MTc1Mzk3NDE2MywiYXV0aF90aW1lIjoxNzUzOTc0MTYyLCJqdGkiOiI3MjgwMGIzYi00ZjM3LTQ0Y2EtOWYzMy1mOTUwYTlhMGU2NDAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Z63x5NfUn43E8vYlKAm7fbste4n95NWBIbb57ukmIA9HiB8xs7d2Q6ejRSDPejEj_qX1k5SVA7nbH9vb6beP1yXade96LrDASt7jo03DI0_OoZLED1ICKbzvwoPDLLyMlIUGaV1dzh70G7vjbeRuV76G9vNsCUMGzWtDdvn-XlikOSBeBraSkQTMJivKRKQ3QF0C8QfGMjCQcM0yiJAYnpYZ3DfBgxMZQ91y3TH2qAlYvNR2CDpWp--H8lX4FDsMDH1Xh2teJffw7SJG9gfJy2oShXXxdCwB0XfZQeckaoFEwMZA1eNPmbv13-IoCbngb1r_9QsMNhRLUQkEvrJygw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T15:02:46.516Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQ0NjMsImlhdCI6MTc1Mzk3NDE2MywiYXV0aF90aW1lIjoxNzUzOTc0MTYyLCJqdGkiOiI3MjgwMGIzYi00ZjM3LTQ0Y2EtOWYzMy1mOTUwYTlhMGU2NDAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Z63x5NfUn43E8vYlKAm7fbste4n95NWBIbb57ukmIA9HiB8xs7d2Q6ejRSDPejEj_qX1k5SVA7nbH9vb6beP1yXade96LrDASt7jo03DI0_OoZLED1ICKbzvwoPDLLyMlIUGaV1dzh70G7vjbeRuV76G9vNsCUMGzWtDdvn-XlikOSBeBraSkQTMJivKRKQ3QF0C8QfGMjCQcM0yiJAYnpYZ3DfBgxMZQ91y3TH2qAlYvNR2CDpWp--H8lX4FDsMDH1Xh2teJffw7SJG9gfJy2oShXXxdCwB0XfZQeckaoFEwMZA1eNPmbv13-IoCbngb1r_9QsMNhRLUQkEvrJygw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T15:02:48.728Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQ0NjMsImlhdCI6MTc1Mzk3NDE2MywiYXV0aF90aW1lIjoxNzUzOTc0MTYyLCJqdGkiOiI3MjgwMGIzYi00ZjM3LTQ0Y2EtOWYzMy1mOTUwYTlhMGU2NDAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Z63x5NfUn43E8vYlKAm7fbste4n95NWBIbb57ukmIA9HiB8xs7d2Q6ejRSDPejEj_qX1k5SVA7nbH9vb6beP1yXade96LrDASt7jo03DI0_OoZLED1ICKbzvwoPDLLyMlIUGaV1dzh70G7vjbeRuV76G9vNsCUMGzWtDdvn-XlikOSBeBraSkQTMJivKRKQ3QF0C8QfGMjCQcM0yiJAYnpYZ3DfBgxMZQ91y3TH2qAlYvNR2CDpWp--H8lX4FDsMDH1Xh2teJffw7SJG9gfJy2oShXXxdCwB0XfZQeckaoFEwMZA1eNPmbv13-IoCbngb1r_9QsMNhRLUQkEvrJygw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T15:02:50.745Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQ0NjMsImlhdCI6MTc1Mzk3NDE2MywiYXV0aF90aW1lIjoxNzUzOTc0MTYyLCJqdGkiOiI3MjgwMGIzYi00ZjM3LTQ0Y2EtOWYzMy1mOTUwYTlhMGU2NDAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Z63x5NfUn43E8vYlKAm7fbste4n95NWBIbb57ukmIA9HiB8xs7d2Q6ejRSDPejEj_qX1k5SVA7nbH9vb6beP1yXade96LrDASt7jo03DI0_OoZLED1ICKbzvwoPDLLyMlIUGaV1dzh70G7vjbeRuV76G9vNsCUMGzWtDdvn-XlikOSBeBraSkQTMJivKRKQ3QF0C8QfGMjCQcM0yiJAYnpYZ3DfBgxMZQ91y3TH2qAlYvNR2CDpWp--H8lX4FDsMDH1Xh2teJffw7SJG9gfJy2oShXXxdCwB0XfZQeckaoFEwMZA1eNPmbv13-IoCbngb1r_9QsMNhRLUQkEvrJygw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T15:02:52.894Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQ0NjMsImlhdCI6MTc1Mzk3NDE2MywiYXV0aF90aW1lIjoxNzUzOTc0MTYyLCJqdGkiOiI3MjgwMGIzYi00ZjM3LTQ0Y2EtOWYzMy1mOTUwYTlhMGU2NDAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Z63x5NfUn43E8vYlKAm7fbste4n95NWBIbb57ukmIA9HiB8xs7d2Q6ejRSDPejEj_qX1k5SVA7nbH9vb6beP1yXade96LrDASt7jo03DI0_OoZLED1ICKbzvwoPDLLyMlIUGaV1dzh70G7vjbeRuV76G9vNsCUMGzWtDdvn-XlikOSBeBraSkQTMJivKRKQ3QF0C8QfGMjCQcM0yiJAYnpYZ3DfBgxMZQ91y3TH2qAlYvNR2CDpWp--H8lX4FDsMDH1Xh2teJffw7SJG9gfJy2oShXXxdCwB0XfZQeckaoFEwMZA1eNPmbv13-IoCbngb1r_9QsMNhRLUQkEvrJygw' failed: Establishing a tunnel via proxy server failed.
