[2025-07-31T15:00:04.583Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=2f9c6a92-4033-4405-92b9-eba9fa34f6ca&response_mode=fragment&response_type=code&scope=openid&nonce=b4604acd-4c91-4fcd-8074-e73ab8e332cd - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/lgfma/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-31T15:00:04.584Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=2f9c6a92-4033-4405-92b9-eba9fa34f6ca&response_mode=fragment&response_type=code&scope=openid&nonce=b4604acd-4c91-4fcd-8074-e73ab8e332cd - Autofocus processing was blocked because a document already has a focused element.

[2025-07-31T15:00:06.545Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQzMDUsImlhdCI6MTc1Mzk3NDAwNSwiYXV0aF90aW1lIjoxNzUzOTc0MDA0LCJqdGkiOiIxNzZlNjkwMC1lZjBjLTRlMDAtYTBjZS0xM2YxMTI2ODFkODgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FaNHxEPEgavXI8io4Iud53JNtEvhNrWlCdIxygPQPTZauNQGxUgVvM4cXBxDDCxc24gGGhapAqeK9emiPP4g5I4f06P655p-tCfYvmulF-zYf8DYVwBM4mc-j4zGf1nGRdMxSCd6_xX93V3Pe_cedg0Azcj5zla-sv9oRmXcjS5gtrX2OniY74wP2iMRUvind_bvOz6DcEs84cS8og4Iv0Ni38YpbCP7Lu54Ee2hhj37h0xxpd-hBC6LXnCkGo28kgBEAlOCnWtlnsXwfC_pFcVXYYjjY10bUDabPV7hgKoqc3Ra4NvMpa_t0uJUYRcRAa6PgAfSDOhArJYwcNsURw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T15:00:08.550Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQzMDUsImlhdCI6MTc1Mzk3NDAwNSwiYXV0aF90aW1lIjoxNzUzOTc0MDA0LCJqdGkiOiIxNzZlNjkwMC1lZjBjLTRlMDAtYTBjZS0xM2YxMTI2ODFkODgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FaNHxEPEgavXI8io4Iud53JNtEvhNrWlCdIxygPQPTZauNQGxUgVvM4cXBxDDCxc24gGGhapAqeK9emiPP4g5I4f06P655p-tCfYvmulF-zYf8DYVwBM4mc-j4zGf1nGRdMxSCd6_xX93V3Pe_cedg0Azcj5zla-sv9oRmXcjS5gtrX2OniY74wP2iMRUvind_bvOz6DcEs84cS8og4Iv0Ni38YpbCP7Lu54Ee2hhj37h0xxpd-hBC6LXnCkGo28kgBEAlOCnWtlnsXwfC_pFcVXYYjjY10bUDabPV7hgKoqc3Ra4NvMpa_t0uJUYRcRAa6PgAfSDOhArJYwcNsURw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T15:00:10.662Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQzMDUsImlhdCI6MTc1Mzk3NDAwNSwiYXV0aF90aW1lIjoxNzUzOTc0MDA0LCJqdGkiOiIxNzZlNjkwMC1lZjBjLTRlMDAtYTBjZS0xM2YxMTI2ODFkODgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FaNHxEPEgavXI8io4Iud53JNtEvhNrWlCdIxygPQPTZauNQGxUgVvM4cXBxDDCxc24gGGhapAqeK9emiPP4g5I4f06P655p-tCfYvmulF-zYf8DYVwBM4mc-j4zGf1nGRdMxSCd6_xX93V3Pe_cedg0Azcj5zla-sv9oRmXcjS5gtrX2OniY74wP2iMRUvind_bvOz6DcEs84cS8og4Iv0Ni38YpbCP7Lu54Ee2hhj37h0xxpd-hBC6LXnCkGo28kgBEAlOCnWtlnsXwfC_pFcVXYYjjY10bUDabPV7hgKoqc3Ra4NvMpa_t0uJUYRcRAa6PgAfSDOhArJYwcNsURw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T15:00:12.738Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQzMDUsImlhdCI6MTc1Mzk3NDAwNSwiYXV0aF90aW1lIjoxNzUzOTc0MDA0LCJqdGkiOiIxNzZlNjkwMC1lZjBjLTRlMDAtYTBjZS0xM2YxMTI2ODFkODgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FaNHxEPEgavXI8io4Iud53JNtEvhNrWlCdIxygPQPTZauNQGxUgVvM4cXBxDDCxc24gGGhapAqeK9emiPP4g5I4f06P655p-tCfYvmulF-zYf8DYVwBM4mc-j4zGf1nGRdMxSCd6_xX93V3Pe_cedg0Azcj5zla-sv9oRmXcjS5gtrX2OniY74wP2iMRUvind_bvOz6DcEs84cS8og4Iv0Ni38YpbCP7Lu54Ee2hhj37h0xxpd-hBC6LXnCkGo28kgBEAlOCnWtlnsXwfC_pFcVXYYjjY10bUDabPV7hgKoqc3Ra4NvMpa_t0uJUYRcRAa6PgAfSDOhArJYwcNsURw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T15:00:14.700Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQzMDUsImlhdCI6MTc1Mzk3NDAwNSwiYXV0aF90aW1lIjoxNzUzOTc0MDA0LCJqdGkiOiIxNzZlNjkwMC1lZjBjLTRlMDAtYTBjZS0xM2YxMTI2ODFkODgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FaNHxEPEgavXI8io4Iud53JNtEvhNrWlCdIxygPQPTZauNQGxUgVvM4cXBxDDCxc24gGGhapAqeK9emiPP4g5I4f06P655p-tCfYvmulF-zYf8DYVwBM4mc-j4zGf1nGRdMxSCd6_xX93V3Pe_cedg0Azcj5zla-sv9oRmXcjS5gtrX2OniY74wP2iMRUvind_bvOz6DcEs84cS8og4Iv0Ni38YpbCP7Lu54Ee2hhj37h0xxpd-hBC6LXnCkGo28kgBEAlOCnWtlnsXwfC_pFcVXYYjjY10bUDabPV7hgKoqc3Ra4NvMpa_t0uJUYRcRAa6PgAfSDOhArJYwcNsURw' failed: Establishing a tunnel via proxy server failed.
