[2025-07-31T14:58:01.256Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=e8700285-6af6-462e-82ea-b65743b8f2f8&response_mode=fragment&response_type=code&scope=openid&nonce=5cc076bb-d355-4023-849a-fcb55a56a557 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/lgfma/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-31T14:58:01.256Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=e8700285-6af6-462e-82ea-b65743b8f2f8&response_mode=fragment&response_type=code&scope=openid&nonce=5cc076bb-d355-4023-849a-fcb55a56a557 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-31T14:58:03.526Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQxODIsImlhdCI6MTc1Mzk3Mzg4MiwiYXV0aF90aW1lIjoxNzUzOTczODgxLCJqdGkiOiI2YTA2ODY3Ny0zZGYyLTQxZTAtYjI4NS00ZWE3MTdmZWU1YWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XjCHlTwE0t6_252VBQBEgwKEjbzrtdJrvudnOqwwhPDaZpFGIlfoeGLxlufPYx2jLuxFmymGsae2qQssWSx1PNgvb7uhs1dfe1vbpIwXJQtTrjN6WCqO-ZCQ65Qb6oiFr7F2dNgIeHTP9YJeP_ucQTmFQzMFwWf0_Kp9XGpGFazoV37PoEGax9RDk19AydrfMKma6qzlKEwYysmF6heNAXIybNujO7mba1Wyi3j5wC3c8h5jvqDRd_HELL8-z8cXhF_WXEXMAVNPlROVxAmdt4ukYwXHgzr6iM_jFD8riRKHh02lEuzbmMHcdt7v_X6QQrojbY14xhRapcrRb8fH0Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:58:05.346Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQxODIsImlhdCI6MTc1Mzk3Mzg4MiwiYXV0aF90aW1lIjoxNzUzOTczODgxLCJqdGkiOiI2YTA2ODY3Ny0zZGYyLTQxZTAtYjI4NS00ZWE3MTdmZWU1YWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XjCHlTwE0t6_252VBQBEgwKEjbzrtdJrvudnOqwwhPDaZpFGIlfoeGLxlufPYx2jLuxFmymGsae2qQssWSx1PNgvb7uhs1dfe1vbpIwXJQtTrjN6WCqO-ZCQ65Qb6oiFr7F2dNgIeHTP9YJeP_ucQTmFQzMFwWf0_Kp9XGpGFazoV37PoEGax9RDk19AydrfMKma6qzlKEwYysmF6heNAXIybNujO7mba1Wyi3j5wC3c8h5jvqDRd_HELL8-z8cXhF_WXEXMAVNPlROVxAmdt4ukYwXHgzr6iM_jFD8riRKHh02lEuzbmMHcdt7v_X6QQrojbY14xhRapcrRb8fH0Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:58:07.355Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQxODIsImlhdCI6MTc1Mzk3Mzg4MiwiYXV0aF90aW1lIjoxNzUzOTczODgxLCJqdGkiOiI2YTA2ODY3Ny0zZGYyLTQxZTAtYjI4NS00ZWE3MTdmZWU1YWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XjCHlTwE0t6_252VBQBEgwKEjbzrtdJrvudnOqwwhPDaZpFGIlfoeGLxlufPYx2jLuxFmymGsae2qQssWSx1PNgvb7uhs1dfe1vbpIwXJQtTrjN6WCqO-ZCQ65Qb6oiFr7F2dNgIeHTP9YJeP_ucQTmFQzMFwWf0_Kp9XGpGFazoV37PoEGax9RDk19AydrfMKma6qzlKEwYysmF6heNAXIybNujO7mba1Wyi3j5wC3c8h5jvqDRd_HELL8-z8cXhF_WXEXMAVNPlROVxAmdt4ukYwXHgzr6iM_jFD8riRKHh02lEuzbmMHcdt7v_X6QQrojbY14xhRapcrRb8fH0Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:58:09.472Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQxODIsImlhdCI6MTc1Mzk3Mzg4MiwiYXV0aF90aW1lIjoxNzUzOTczODgxLCJqdGkiOiI2YTA2ODY3Ny0zZGYyLTQxZTAtYjI4NS00ZWE3MTdmZWU1YWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XjCHlTwE0t6_252VBQBEgwKEjbzrtdJrvudnOqwwhPDaZpFGIlfoeGLxlufPYx2jLuxFmymGsae2qQssWSx1PNgvb7uhs1dfe1vbpIwXJQtTrjN6WCqO-ZCQ65Qb6oiFr7F2dNgIeHTP9YJeP_ucQTmFQzMFwWf0_Kp9XGpGFazoV37PoEGax9RDk19AydrfMKma6qzlKEwYysmF6heNAXIybNujO7mba1Wyi3j5wC3c8h5jvqDRd_HELL8-z8cXhF_WXEXMAVNPlROVxAmdt4ukYwXHgzr6iM_jFD8riRKHh02lEuzbmMHcdt7v_X6QQrojbY14xhRapcrRb8fH0Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:58:11.419Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQxODIsImlhdCI6MTc1Mzk3Mzg4MiwiYXV0aF90aW1lIjoxNzUzOTczODgxLCJqdGkiOiI2YTA2ODY3Ny0zZGYyLTQxZTAtYjI4NS00ZWE3MTdmZWU1YWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XjCHlTwE0t6_252VBQBEgwKEjbzrtdJrvudnOqwwhPDaZpFGIlfoeGLxlufPYx2jLuxFmymGsae2qQssWSx1PNgvb7uhs1dfe1vbpIwXJQtTrjN6WCqO-ZCQ65Qb6oiFr7F2dNgIeHTP9YJeP_ucQTmFQzMFwWf0_Kp9XGpGFazoV37PoEGax9RDk19AydrfMKma6qzlKEwYysmF6heNAXIybNujO7mba1Wyi3j5wC3c8h5jvqDRd_HELL8-z8cXhF_WXEXMAVNPlROVxAmdt4ukYwXHgzr6iM_jFD8riRKHh02lEuzbmMHcdt7v_X6QQrojbY14xhRapcrRb8fH0Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:58:13.381Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQxODIsImlhdCI6MTc1Mzk3Mzg4MiwiYXV0aF90aW1lIjoxNzUzOTczODgxLCJqdGkiOiI2YTA2ODY3Ny0zZGYyLTQxZTAtYjI4NS00ZWE3MTdmZWU1YWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XjCHlTwE0t6_252VBQBEgwKEjbzrtdJrvudnOqwwhPDaZpFGIlfoeGLxlufPYx2jLuxFmymGsae2qQssWSx1PNgvb7uhs1dfe1vbpIwXJQtTrjN6WCqO-ZCQ65Qb6oiFr7F2dNgIeHTP9YJeP_ucQTmFQzMFwWf0_Kp9XGpGFazoV37PoEGax9RDk19AydrfMKma6qzlKEwYysmF6heNAXIybNujO7mba1Wyi3j5wC3c8h5jvqDRd_HELL8-z8cXhF_WXEXMAVNPlROVxAmdt4ukYwXHgzr6iM_jFD8riRKHh02lEuzbmMHcdt7v_X6QQrojbY14xhRapcrRb8fH0Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:58:15.530Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQxODIsImlhdCI6MTc1Mzk3Mzg4MiwiYXV0aF90aW1lIjoxNzUzOTczODgxLCJqdGkiOiI2YTA2ODY3Ny0zZGYyLTQxZTAtYjI4NS00ZWE3MTdmZWU1YWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XjCHlTwE0t6_252VBQBEgwKEjbzrtdJrvudnOqwwhPDaZpFGIlfoeGLxlufPYx2jLuxFmymGsae2qQssWSx1PNgvb7uhs1dfe1vbpIwXJQtTrjN6WCqO-ZCQ65Qb6oiFr7F2dNgIeHTP9YJeP_ucQTmFQzMFwWf0_Kp9XGpGFazoV37PoEGax9RDk19AydrfMKma6qzlKEwYysmF6heNAXIybNujO7mba1Wyi3j5wC3c8h5jvqDRd_HELL8-z8cXhF_WXEXMAVNPlROVxAmdt4ukYwXHgzr6iM_jFD8riRKHh02lEuzbmMHcdt7v_X6QQrojbY14xhRapcrRb8fH0Q' failed: Establishing a tunnel via proxy server failed.

