[2025-07-31T14:56:33.207Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=6b3c63d0-e48a-4392-848a-50da1d64df79&response_mode=fragment&response_type=code&scope=openid&nonce=9ec3bd53-4153-4520-8605-81ee33143e21 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/lgfma/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-31T14:56:33.207Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=6b3c63d0-e48a-4392-848a-50da1d64df79&response_mode=fragment&response_type=code&scope=openid&nonce=9ec3bd53-4153-4520-8605-81ee33143e21 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-31T14:56:35.065Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQwOTQsImlhdCI6MTc1Mzk3Mzc5NCwiYXV0aF90aW1lIjoxNzUzOTczNzkzLCJqdGkiOiI2YWI0YTAyOS1jYWFmLTQxMTgtOGZkZC0xMWNlODYxMTdlOTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QYyEISTjUF9TGJumEIk3VBMk4c2qpSjjSKH60WBnFSjVi59qEhCCTN_pxVsE9QrfAIx5Ecdjn12kVxt_vrUubwYsbQvqcow0MVkZP1-Fkx4g7vFTe3mLRpkVc7ZZEE-2oLBClPJcgfOYeJ1uqsxZY8bixCZTuFamjwzUElNQAVU6I1Igk008Pvi2kVmU1bSUWmp3go-AYIMktGH9pkqAy3GtMY_-yf9eRK5JUql5LOBYtd9BWuAX0Gv-4V10dxq34gIiXRDj-B0R49V4fYjLZCtgRljU27d6Eq7v4dey5TGhflsPFDOOCVV-eBAGN-lk9O0QNVXUgtO9V6n1RiVdYg' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:56:37.102Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQwOTQsImlhdCI6MTc1Mzk3Mzc5NCwiYXV0aF90aW1lIjoxNzUzOTczNzkzLCJqdGkiOiI2YWI0YTAyOS1jYWFmLTQxMTgtOGZkZC0xMWNlODYxMTdlOTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QYyEISTjUF9TGJumEIk3VBMk4c2qpSjjSKH60WBnFSjVi59qEhCCTN_pxVsE9QrfAIx5Ecdjn12kVxt_vrUubwYsbQvqcow0MVkZP1-Fkx4g7vFTe3mLRpkVc7ZZEE-2oLBClPJcgfOYeJ1uqsxZY8bixCZTuFamjwzUElNQAVU6I1Igk008Pvi2kVmU1bSUWmp3go-AYIMktGH9pkqAy3GtMY_-yf9eRK5JUql5LOBYtd9BWuAX0Gv-4V10dxq34gIiXRDj-B0R49V4fYjLZCtgRljU27d6Eq7v4dey5TGhflsPFDOOCVV-eBAGN-lk9O0QNVXUgtO9V6n1RiVdYg' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:56:39.233Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQwOTQsImlhdCI6MTc1Mzk3Mzc5NCwiYXV0aF90aW1lIjoxNzUzOTczNzkzLCJqdGkiOiI2YWI0YTAyOS1jYWFmLTQxMTgtOGZkZC0xMWNlODYxMTdlOTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QYyEISTjUF9TGJumEIk3VBMk4c2qpSjjSKH60WBnFSjVi59qEhCCTN_pxVsE9QrfAIx5Ecdjn12kVxt_vrUubwYsbQvqcow0MVkZP1-Fkx4g7vFTe3mLRpkVc7ZZEE-2oLBClPJcgfOYeJ1uqsxZY8bixCZTuFamjwzUElNQAVU6I1Igk008Pvi2kVmU1bSUWmp3go-AYIMktGH9pkqAy3GtMY_-yf9eRK5JUql5LOBYtd9BWuAX0Gv-4V10dxq34gIiXRDj-B0R49V4fYjLZCtgRljU27d6Eq7v4dey5TGhflsPFDOOCVV-eBAGN-lk9O0QNVXUgtO9V6n1RiVdYg' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:56:41.282Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQwOTQsImlhdCI6MTc1Mzk3Mzc5NCwiYXV0aF90aW1lIjoxNzUzOTczNzkzLCJqdGkiOiI2YWI0YTAyOS1jYWFmLTQxMTgtOGZkZC0xMWNlODYxMTdlOTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QYyEISTjUF9TGJumEIk3VBMk4c2qpSjjSKH60WBnFSjVi59qEhCCTN_pxVsE9QrfAIx5Ecdjn12kVxt_vrUubwYsbQvqcow0MVkZP1-Fkx4g7vFTe3mLRpkVc7ZZEE-2oLBClPJcgfOYeJ1uqsxZY8bixCZTuFamjwzUElNQAVU6I1Igk008Pvi2kVmU1bSUWmp3go-AYIMktGH9pkqAy3GtMY_-yf9eRK5JUql5LOBYtd9BWuAX0Gv-4V10dxq34gIiXRDj-B0R49V4fYjLZCtgRljU27d6Eq7v4dey5TGhflsPFDOOCVV-eBAGN-lk9O0QNVXUgtO9V6n1RiVdYg' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:56:43.444Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzQwOTQsImlhdCI6MTc1Mzk3Mzc5NCwiYXV0aF90aW1lIjoxNzUzOTczNzkzLCJqdGkiOiI2YWI0YTAyOS1jYWFmLTQxMTgtOGZkZC0xMWNlODYxMTdlOTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QYyEISTjUF9TGJumEIk3VBMk4c2qpSjjSKH60WBnFSjVi59qEhCCTN_pxVsE9QrfAIx5Ecdjn12kVxt_vrUubwYsbQvqcow0MVkZP1-Fkx4g7vFTe3mLRpkVc7ZZEE-2oLBClPJcgfOYeJ1uqsxZY8bixCZTuFamjwzUElNQAVU6I1Igk008Pvi2kVmU1bSUWmp3go-AYIMktGH9pkqAy3GtMY_-yf9eRK5JUql5LOBYtd9BWuAX0Gv-4V10dxq34gIiXRDj-B0R49V4fYjLZCtgRljU27d6Eq7v4dey5TGhflsPFDOOCVV-eBAGN-lk9O0QNVXUgtO9V6n1RiVdYg' failed: Establishing a tunnel via proxy server failed.
