[2025-08-07T10:39:06.374Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=861c1730-44f0-44ca-85eb-5780180f748f&response_mode=fragment&response_type=code&scope=openid&nonce=8c51c14a-08ab-49df-9b08-c3d6e51e1488 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/bcuno/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-08-07T10:39:06.375Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=861c1730-44f0-44ca-85eb-5780180f748f&response_mode=fragment&response_type=code&scope=openid&nonce=8c51c14a-08ab-49df-9b08-c3d6e51e1488 - Autofocus processing was blocked because a document already has a focused element.

[2025-08-07T10:39:08.379Z] [SEVERE] http://localhost:81/ui/static/js/main.2e181bd6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTQ1NjM0NDcsImlhdCI6MTc1NDU2MzE0NywiYXV0aF90aW1lIjoxNzU0NTYzMTQ2LCJqdGkiOiI1OGZlNWVhOC05ZGU3LTRhMTQtOTgwZi03N2Y2MWFlODVmNDgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.CScQ3gVrNUm-19bxxF_U2jD_ozBvBSu-aIcNsiM_65MtYpfBr6ga5t_HXmZajIWj_mEO5TV8_utJh9juHCpe6RGtDPdbHNaL6LvzwgeslCMrqLJnaK1ZjdL-Dv12bHOGLauzguYetTpyEcK18Gn8WV9PBHHgHPBdk98i-2Lp-T8lnlcrD2lHjQL2CGRqfsdBO7OmAmV6DlsdSMl4vpJvgVdC4t4jjYvxjRs7xbgbSwD_vYd2vu1yce_wkrzOH4V_kXtbF3_yItxR8QVm0tr3m-EiLCtz8HjNgn49CQEa-Sry1aBIAewmWoxWLD3nz5-8K0MJ9raxKVqL6Xj9zL16Zg' failed: Establishing a tunnel via proxy server failed.

[2025-08-07T10:39:10.394Z] [SEVERE] http://localhost:81/ui/static/js/main.2e181bd6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTQ1NjM0NDcsImlhdCI6MTc1NDU2MzE0NywiYXV0aF90aW1lIjoxNzU0NTYzMTQ2LCJqdGkiOiI1OGZlNWVhOC05ZGU3LTRhMTQtOTgwZi03N2Y2MWFlODVmNDgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.CScQ3gVrNUm-19bxxF_U2jD_ozBvBSu-aIcNsiM_65MtYpfBr6ga5t_HXmZajIWj_mEO5TV8_utJh9juHCpe6RGtDPdbHNaL6LvzwgeslCMrqLJnaK1ZjdL-Dv12bHOGLauzguYetTpyEcK18Gn8WV9PBHHgHPBdk98i-2Lp-T8lnlcrD2lHjQL2CGRqfsdBO7OmAmV6DlsdSMl4vpJvgVdC4t4jjYvxjRs7xbgbSwD_vYd2vu1yce_wkrzOH4V_kXtbF3_yItxR8QVm0tr3m-EiLCtz8HjNgn49CQEa-Sry1aBIAewmWoxWLD3nz5-8K0MJ9raxKVqL6Xj9zL16Zg' failed: Establishing a tunnel via proxy server failed.

[2025-08-07T10:39:12.403Z] [SEVERE] http://localhost:81/ui/static/js/main.2e181bd6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTQ1NjM0NDcsImlhdCI6MTc1NDU2MzE0NywiYXV0aF90aW1lIjoxNzU0NTYzMTQ2LCJqdGkiOiI1OGZlNWVhOC05ZGU3LTRhMTQtOTgwZi03N2Y2MWFlODVmNDgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.CScQ3gVrNUm-19bxxF_U2jD_ozBvBSu-aIcNsiM_65MtYpfBr6ga5t_HXmZajIWj_mEO5TV8_utJh9juHCpe6RGtDPdbHNaL6LvzwgeslCMrqLJnaK1ZjdL-Dv12bHOGLauzguYetTpyEcK18Gn8WV9PBHHgHPBdk98i-2Lp-T8lnlcrD2lHjQL2CGRqfsdBO7OmAmV6DlsdSMl4vpJvgVdC4t4jjYvxjRs7xbgbSwD_vYd2vu1yce_wkrzOH4V_kXtbF3_yItxR8QVm0tr3m-EiLCtz8HjNgn49CQEa-Sry1aBIAewmWoxWLD3nz5-8K0MJ9raxKVqL6Xj9zL16Zg' failed: Establishing a tunnel via proxy server failed.

[2025-08-07T10:39:22.810Z] [SEVERE] http://localhost:81/api/v1/file?id=70393e8a-1c1c-4e08-a081-541a4a0c9194&preview=false - Failed to load resource: the server responded with a status of 418 ()

[2025-08-07T10:39:22.810Z] [SEVERE] http://localhost:81/ui/static/js/main.2e181bd6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTQ1NjM0NDcsImlhdCI6MTc1NDU2MzE0NywiYXV0aF90aW1lIjoxNzU0NTYzMTQ2LCJqdGkiOiI1OGZlNWVhOC05ZGU3LTRhMTQtOTgwZi03N2Y2MWFlODVmNDgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.CScQ3gVrNUm-19bxxF_U2jD_ozBvBSu-aIcNsiM_65MtYpfBr6ga5t_HXmZajIWj_mEO5TV8_utJh9juHCpe6RGtDPdbHNaL6LvzwgeslCMrqLJnaK1ZjdL-Dv12bHOGLauzguYetTpyEcK18Gn8WV9PBHHgHPBdk98i-2Lp-T8lnlcrD2lHjQL2CGRqfsdBO7OmAmV6DlsdSMl4vpJvgVdC4t4jjYvxjRs7xbgbSwD_vYd2vu1yce_wkrzOH4V_kXtbF3_yItxR8QVm0tr3m-EiLCtz8HjNgn49CQEa-Sry1aBIAewmWoxWLD3nz5-8K0MJ9raxKVqL6Xj9zL16Zg' failed: Establishing a tunnel via proxy server failed.
