[2025-08-21T18:38:05.038Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=7840f166-0c61-42d3-8314-9def7a59873d&response_mode=fragment&response_type=code&scope=openid&nonce=4d8124a6-65f2-4921-848c-ba0bf2557f70 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/o8w4z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-08-21T18:38:05.040Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=7840f166-0c61-42d3-8314-9def7a59873d&response_mode=fragment&response_type=code&scope=openid&nonce=4d8124a6-65f2-4921-848c-ba0bf2557f70 - Autofocus processing was blocked because a document already has a focused element.

[2025-08-21T18:38:07.147Z] [SEVERE] http://localhost:81/ui/static/js/main.6ad8afbe.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4MDE3ODYsImlhdCI6MTc1NTgwMTQ4NiwiYXV0aF90aW1lIjoxNzU1ODAxNDg1LCJqdGkiOiJmYTMyNWFhYy03YmIyLTRjNDUtYjU3YS1iMjIwNzliZmNhZTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RSxWc4Ags-TZ18OvApmpjeY8_0AAMyrkm7DQOXdRo9p61_zvh0_MVU7hGhHyB-In6V5-tsnNX_TgNBSjk_kosuzFsPC9uPTGk9o_fP0IZaCtLAPXc2RF6rHh_ydkptSRRIudSzauDIGzPNlo9JyTn8Vyfe6X3CZBJylXz2AfRauRwLrQ1JvkjGyYtXbnQHnc_OEjzKAmwZpi9ySQoRkqHHUYZHNqSfcg9RuZVBhOOrlDVdNSPyBrw55ijl-P9lJOZE-XzuW2eABKacy8JkDXJ2TP9_2LUV_FL4k9Tvz3xvQh8u-E0E9XXokoHRJ07ownfE7GuAIdRY2r63hc98aUSw' failed: Establishing a tunnel via proxy server failed.

[2025-08-21T18:38:09.239Z] [SEVERE] http://localhost:81/ui/static/js/main.6ad8afbe.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4MDE3ODYsImlhdCI6MTc1NTgwMTQ4NiwiYXV0aF90aW1lIjoxNzU1ODAxNDg1LCJqdGkiOiJmYTMyNWFhYy03YmIyLTRjNDUtYjU3YS1iMjIwNzliZmNhZTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RSxWc4Ags-TZ18OvApmpjeY8_0AAMyrkm7DQOXdRo9p61_zvh0_MVU7hGhHyB-In6V5-tsnNX_TgNBSjk_kosuzFsPC9uPTGk9o_fP0IZaCtLAPXc2RF6rHh_ydkptSRRIudSzauDIGzPNlo9JyTn8Vyfe6X3CZBJylXz2AfRauRwLrQ1JvkjGyYtXbnQHnc_OEjzKAmwZpi9ySQoRkqHHUYZHNqSfcg9RuZVBhOOrlDVdNSPyBrw55ijl-P9lJOZE-XzuW2eABKacy8JkDXJ2TP9_2LUV_FL4k9Tvz3xvQh8u-E0E9XXokoHRJ07ownfE7GuAIdRY2r63hc98aUSw' failed: Establishing a tunnel via proxy server failed.

[2025-08-21T18:38:11.261Z] [SEVERE] http://localhost:81/ui/static/js/main.6ad8afbe.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4MDE3ODYsImlhdCI6MTc1NTgwMTQ4NiwiYXV0aF90aW1lIjoxNzU1ODAxNDg1LCJqdGkiOiJmYTMyNWFhYy03YmIyLTRjNDUtYjU3YS1iMjIwNzliZmNhZTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RSxWc4Ags-TZ18OvApmpjeY8_0AAMyrkm7DQOXdRo9p61_zvh0_MVU7hGhHyB-In6V5-tsnNX_TgNBSjk_kosuzFsPC9uPTGk9o_fP0IZaCtLAPXc2RF6rHh_ydkptSRRIudSzauDIGzPNlo9JyTn8Vyfe6X3CZBJylXz2AfRauRwLrQ1JvkjGyYtXbnQHnc_OEjzKAmwZpi9ySQoRkqHHUYZHNqSfcg9RuZVBhOOrlDVdNSPyBrw55ijl-P9lJOZE-XzuW2eABKacy8JkDXJ2TP9_2LUV_FL4k9Tvz3xvQh8u-E0E9XXokoHRJ07ownfE7GuAIdRY2r63hc98aUSw' failed: Establishing a tunnel via proxy server failed.

[2025-08-21T18:38:13.298Z] [SEVERE] http://localhost:81/ui/static/js/main.6ad8afbe.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4MDE3ODYsImlhdCI6MTc1NTgwMTQ4NiwiYXV0aF90aW1lIjoxNzU1ODAxNDg1LCJqdGkiOiJmYTMyNWFhYy03YmIyLTRjNDUtYjU3YS1iMjIwNzliZmNhZTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RSxWc4Ags-TZ18OvApmpjeY8_0AAMyrkm7DQOXdRo9p61_zvh0_MVU7hGhHyB-In6V5-tsnNX_TgNBSjk_kosuzFsPC9uPTGk9o_fP0IZaCtLAPXc2RF6rHh_ydkptSRRIudSzauDIGzPNlo9JyTn8Vyfe6X3CZBJylXz2AfRauRwLrQ1JvkjGyYtXbnQHnc_OEjzKAmwZpi9ySQoRkqHHUYZHNqSfcg9RuZVBhOOrlDVdNSPyBrw55ijl-P9lJOZE-XzuW2eABKacy8JkDXJ2TP9_2LUV_FL4k9Tvz3xvQh8u-E0E9XXokoHRJ07ownfE7GuAIdRY2r63hc98aUSw' failed: Establishing a tunnel via proxy server failed.

[2025-08-21T18:38:15.349Z] [SEVERE] http://localhost:81/ui/static/js/main.6ad8afbe.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4MDE3ODYsImlhdCI6MTc1NTgwMTQ4NiwiYXV0aF90aW1lIjoxNzU1ODAxNDg1LCJqdGkiOiJmYTMyNWFhYy03YmIyLTRjNDUtYjU3YS1iMjIwNzliZmNhZTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RSxWc4Ags-TZ18OvApmpjeY8_0AAMyrkm7DQOXdRo9p61_zvh0_MVU7hGhHyB-In6V5-tsnNX_TgNBSjk_kosuzFsPC9uPTGk9o_fP0IZaCtLAPXc2RF6rHh_ydkptSRRIudSzauDIGzPNlo9JyTn8Vyfe6X3CZBJylXz2AfRauRwLrQ1JvkjGyYtXbnQHnc_OEjzKAmwZpi9ySQoRkqHHUYZHNqSfcg9RuZVBhOOrlDVdNSPyBrw55ijl-P9lJOZE-XzuW2eABKacy8JkDXJ2TP9_2LUV_FL4k9Tvz3xvQh8u-E0E9XXokoHRJ07ownfE7GuAIdRY2r63hc98aUSw' failed: Establishing a tunnel via proxy server failed.
