[2025-08-22T12:53:01.194Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b7079a37-a2b7-49b8-bd7d-80ab81117982&response_mode=fragment&response_type=code&scope=openid&nonce=5918c339-2df3-4eae-85a4-734d2e391efe - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/fhgbl/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-08-22T12:53:01.195Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b7079a37-a2b7-49b8-bd7d-80ab81117982&response_mode=fragment&response_type=code&scope=openid&nonce=5918c339-2df3-4eae-85a4-734d2e391efe - Autofocus processing was blocked because a document already has a focused element.

[2025-08-22T12:53:03.578Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4Njc0ODIsImlhdCI6MTc1NTg2NzE4MiwiYXV0aF90aW1lIjoxNzU1ODY3MTgxLCJqdGkiOiJmMzFkNmM2ZS03OTg1LTRmZGItODQ0Mi01ZWU0MmFiYTA0ZDEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.opp0mnkUpza7itVkg7QGRVH3MHV2KuPBOScrvJ5OLye-JBWtehEQCakWWuqbGG8EAlhHVWb1Rdi7mO-ooHwf-s_99uwMrbIudLzQ5DEDGIaxhffc6OddM2qFV1R50HJZWbyyg9j4kRhHYHeyry79Jn3sqyBm_nrR2KpE_ZTUvGi0lL8usMLWIV0JB5-0m8pTgzM1XkpTkoYqmkfVpVYDWhP89NMoDCav6-m7C91A7GFR-TKCEnuJneMF7MqatyBtGs6k1hey52f2fkiTB8-qTk-0s6FUN7Jm6B0X8WLN9pGhlaus16Z69GOBNfBefuAPXhDgxW448m2yHkf0b5ebJg' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T12:53:05.584Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4Njc0ODIsImlhdCI6MTc1NTg2NzE4MiwiYXV0aF90aW1lIjoxNzU1ODY3MTgxLCJqdGkiOiJmMzFkNmM2ZS03OTg1LTRmZGItODQ0Mi01ZWU0MmFiYTA0ZDEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.opp0mnkUpza7itVkg7QGRVH3MHV2KuPBOScrvJ5OLye-JBWtehEQCakWWuqbGG8EAlhHVWb1Rdi7mO-ooHwf-s_99uwMrbIudLzQ5DEDGIaxhffc6OddM2qFV1R50HJZWbyyg9j4kRhHYHeyry79Jn3sqyBm_nrR2KpE_ZTUvGi0lL8usMLWIV0JB5-0m8pTgzM1XkpTkoYqmkfVpVYDWhP89NMoDCav6-m7C91A7GFR-TKCEnuJneMF7MqatyBtGs6k1hey52f2fkiTB8-qTk-0s6FUN7Jm6B0X8WLN9pGhlaus16Z69GOBNfBefuAPXhDgxW448m2yHkf0b5ebJg' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T12:53:07.794Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4Njc0ODIsImlhdCI6MTc1NTg2NzE4MiwiYXV0aF90aW1lIjoxNzU1ODY3MTgxLCJqdGkiOiJmMzFkNmM2ZS03OTg1LTRmZGItODQ0Mi01ZWU0MmFiYTA0ZDEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.opp0mnkUpza7itVkg7QGRVH3MHV2KuPBOScrvJ5OLye-JBWtehEQCakWWuqbGG8EAlhHVWb1Rdi7mO-ooHwf-s_99uwMrbIudLzQ5DEDGIaxhffc6OddM2qFV1R50HJZWbyyg9j4kRhHYHeyry79Jn3sqyBm_nrR2KpE_ZTUvGi0lL8usMLWIV0JB5-0m8pTgzM1XkpTkoYqmkfVpVYDWhP89NMoDCav6-m7C91A7GFR-TKCEnuJneMF7MqatyBtGs6k1hey52f2fkiTB8-qTk-0s6FUN7Jm6B0X8WLN9pGhlaus16Z69GOBNfBefuAPXhDgxW448m2yHkf0b5ebJg' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T12:53:09.592Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4Njc0ODIsImlhdCI6MTc1NTg2NzE4MiwiYXV0aF90aW1lIjoxNzU1ODY3MTgxLCJqdGkiOiJmMzFkNmM2ZS03OTg1LTRmZGItODQ0Mi01ZWU0MmFiYTA0ZDEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.opp0mnkUpza7itVkg7QGRVH3MHV2KuPBOScrvJ5OLye-JBWtehEQCakWWuqbGG8EAlhHVWb1Rdi7mO-ooHwf-s_99uwMrbIudLzQ5DEDGIaxhffc6OddM2qFV1R50HJZWbyyg9j4kRhHYHeyry79Jn3sqyBm_nrR2KpE_ZTUvGi0lL8usMLWIV0JB5-0m8pTgzM1XkpTkoYqmkfVpVYDWhP89NMoDCav6-m7C91A7GFR-TKCEnuJneMF7MqatyBtGs6k1hey52f2fkiTB8-qTk-0s6FUN7Jm6B0X8WLN9pGhlaus16Z69GOBNfBefuAPXhDgxW448m2yHkf0b5ebJg' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T12:53:11.611Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4Njc0ODIsImlhdCI6MTc1NTg2NzE4MiwiYXV0aF90aW1lIjoxNzU1ODY3MTgxLCJqdGkiOiJmMzFkNmM2ZS03OTg1LTRmZGItODQ0Mi01ZWU0MmFiYTA0ZDEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.opp0mnkUpza7itVkg7QGRVH3MHV2KuPBOScrvJ5OLye-JBWtehEQCakWWuqbGG8EAlhHVWb1Rdi7mO-ooHwf-s_99uwMrbIudLzQ5DEDGIaxhffc6OddM2qFV1R50HJZWbyyg9j4kRhHYHeyry79Jn3sqyBm_nrR2KpE_ZTUvGi0lL8usMLWIV0JB5-0m8pTgzM1XkpTkoYqmkfVpVYDWhP89NMoDCav6-m7C91A7GFR-TKCEnuJneMF7MqatyBtGs6k1hey52f2fkiTB8-qTk-0s6FUN7Jm6B0X8WLN9pGhlaus16Z69GOBNfBefuAPXhDgxW448m2yHkf0b5ebJg' failed: Establishing a tunnel via proxy server failed.
