[2025-08-22T12:43:41.080Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=26fdfd18-57e7-4714-88ee-8ccb97f9c08c&response_mode=fragment&response_type=code&scope=openid&nonce=0c6d581d-af4d-4c72-a0ee-3b04ff9098a9 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/fhgbl/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-08-22T12:43:41.081Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=26fdfd18-57e7-4714-88ee-8ccb97f9c08c&response_mode=fragment&response_type=code&scope=openid&nonce=0c6d581d-af4d-4c72-a0ee-3b04ff9098a9 - Autofocus processing was blocked because a document already has a focused element.

[2025-08-22T12:43:43.395Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NjY5MjIsImlhdCI6MTc1NTg2NjYyMiwiYXV0aF90aW1lIjoxNzU1ODY2NjIxLCJqdGkiOiIwOWUxMGY1Mi1mNGNlLTRiMTctYWRiNC0yMTBlNWFiYmY0YzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.K5QKM9PSh0J-PQZjn8mxm8cXaQHuNwkxQ0pO3htybtd7E-wzEyW2Yi4CLccDw8t9iBbIzQlBF58duhoUxEa8qTCCNbJhJxgvHnlSP8lxCujN-0fak4lrXwmR-oMDdpkaLAEGqntC5_h90vkObGIHoZPstYeITrDETdOaC_ovdeLnkouQju_8z16x64-bQ1GnZCp7qRAmvb3qe-Xq7soKxARjz3K1W0kx5TxoRhILiERkCN0k08isHFaAJl3EfvjmYcIt5aDWTqv6__2Z1MZ2pfTZ05uHzjQ2eWQ8_dILKj3c_x4c-IER3-8r20z4OC5qp6-cdaTcf8mXwcIMaj4YKg' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T12:43:45.398Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NjY5MjIsImlhdCI6MTc1NTg2NjYyMiwiYXV0aF90aW1lIjoxNzU1ODY2NjIxLCJqdGkiOiIwOWUxMGY1Mi1mNGNlLTRiMTctYWRiNC0yMTBlNWFiYmY0YzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.K5QKM9PSh0J-PQZjn8mxm8cXaQHuNwkxQ0pO3htybtd7E-wzEyW2Yi4CLccDw8t9iBbIzQlBF58duhoUxEa8qTCCNbJhJxgvHnlSP8lxCujN-0fak4lrXwmR-oMDdpkaLAEGqntC5_h90vkObGIHoZPstYeITrDETdOaC_ovdeLnkouQju_8z16x64-bQ1GnZCp7qRAmvb3qe-Xq7soKxARjz3K1W0kx5TxoRhILiERkCN0k08isHFaAJl3EfvjmYcIt5aDWTqv6__2Z1MZ2pfTZ05uHzjQ2eWQ8_dILKj3c_x4c-IER3-8r20z4OC5qp6-cdaTcf8mXwcIMaj4YKg' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T12:43:47.636Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NjY5MjIsImlhdCI6MTc1NTg2NjYyMiwiYXV0aF90aW1lIjoxNzU1ODY2NjIxLCJqdGkiOiIwOWUxMGY1Mi1mNGNlLTRiMTctYWRiNC0yMTBlNWFiYmY0YzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.K5QKM9PSh0J-PQZjn8mxm8cXaQHuNwkxQ0pO3htybtd7E-wzEyW2Yi4CLccDw8t9iBbIzQlBF58duhoUxEa8qTCCNbJhJxgvHnlSP8lxCujN-0fak4lrXwmR-oMDdpkaLAEGqntC5_h90vkObGIHoZPstYeITrDETdOaC_ovdeLnkouQju_8z16x64-bQ1GnZCp7qRAmvb3qe-Xq7soKxARjz3K1W0kx5TxoRhILiERkCN0k08isHFaAJl3EfvjmYcIt5aDWTqv6__2Z1MZ2pfTZ05uHzjQ2eWQ8_dILKj3c_x4c-IER3-8r20z4OC5qp6-cdaTcf8mXwcIMaj4YKg' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T12:43:49.425Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NjY5MjIsImlhdCI6MTc1NTg2NjYyMiwiYXV0aF90aW1lIjoxNzU1ODY2NjIxLCJqdGkiOiIwOWUxMGY1Mi1mNGNlLTRiMTctYWRiNC0yMTBlNWFiYmY0YzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.K5QKM9PSh0J-PQZjn8mxm8cXaQHuNwkxQ0pO3htybtd7E-wzEyW2Yi4CLccDw8t9iBbIzQlBF58duhoUxEa8qTCCNbJhJxgvHnlSP8lxCujN-0fak4lrXwmR-oMDdpkaLAEGqntC5_h90vkObGIHoZPstYeITrDETdOaC_ovdeLnkouQju_8z16x64-bQ1GnZCp7qRAmvb3qe-Xq7soKxARjz3K1W0kx5TxoRhILiERkCN0k08isHFaAJl3EfvjmYcIt5aDWTqv6__2Z1MZ2pfTZ05uHzjQ2eWQ8_dILKj3c_x4c-IER3-8r20z4OC5qp6-cdaTcf8mXwcIMaj4YKg' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T12:43:51.519Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NjY5MjIsImlhdCI6MTc1NTg2NjYyMiwiYXV0aF90aW1lIjoxNzU1ODY2NjIxLCJqdGkiOiIwOWUxMGY1Mi1mNGNlLTRiMTctYWRiNC0yMTBlNWFiYmY0YzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.K5QKM9PSh0J-PQZjn8mxm8cXaQHuNwkxQ0pO3htybtd7E-wzEyW2Yi4CLccDw8t9iBbIzQlBF58duhoUxEa8qTCCNbJhJxgvHnlSP8lxCujN-0fak4lrXwmR-oMDdpkaLAEGqntC5_h90vkObGIHoZPstYeITrDETdOaC_ovdeLnkouQju_8z16x64-bQ1GnZCp7qRAmvb3qe-Xq7soKxARjz3K1W0kx5TxoRhILiERkCN0k08isHFaAJl3EfvjmYcIt5aDWTqv6__2Z1MZ2pfTZ05uHzjQ2eWQ8_dILKj3c_x4c-IER3-8r20z4OC5qp6-cdaTcf8mXwcIMaj4YKg' failed: Establishing a tunnel via proxy server failed.
