[2025-08-22T12:47:54.531Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=ad16c9cd-f236-4bd8-bea9-dbe65bc6ff54&response_mode=fragment&response_type=code&scope=openid&nonce=c7df9857-87a2-46c3-8133-b33627f22082 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/fhgbl/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-08-22T12:47:54.533Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=ad16c9cd-f236-4bd8-bea9-dbe65bc6ff54&response_mode=fragment&response_type=code&scope=openid&nonce=c7df9857-87a2-46c3-8133-b33627f22082 - Autofocus processing was blocked because a document already has a focused element.

[2025-08-22T12:47:56.956Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NjcxNzYsImlhdCI6MTc1NTg2Njg3NiwiYXV0aF90aW1lIjoxNzU1ODY2ODc0LCJqdGkiOiIwM2I5MmUyOS04ZDA5LTRiOWQtYmM4ZS03OTI0MTEzN2FmNGMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.L8Tfze_vaKHq2lEyf2uA6KM3Wr9SP2ojhriU-zYPlVTLiEJo6Nnzo-BK_UfeCiNALLq-kj738HAGDK9vs3fFxKHTaBRP2UsWeyC8-n5jXI87UL-QEOlw-3wV-LWGozpy0fYlAKNFj-HQ76YRBnsEMvAgJye-nVfUgMDijlImWxOHLvsQ-5JWn23BM9DZVEYrSaNn8kwKWIyB8ZwzB5WG-d-66RPlnBBrKHAbNAH6hlcSuftgTyo2EfyggU1rt9sFib-Rb7xM6MCBOpkBgMcZ847YLEsbgAn_ECrA4euHzgyQyU9BDyRNX7dc-4D_DLQ2MrCsanky2qLY6gwk4QTpog' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T12:47:58.962Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NjcxNzYsImlhdCI6MTc1NTg2Njg3NiwiYXV0aF90aW1lIjoxNzU1ODY2ODc0LCJqdGkiOiIwM2I5MmUyOS04ZDA5LTRiOWQtYmM4ZS03OTI0MTEzN2FmNGMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.L8Tfze_vaKHq2lEyf2uA6KM3Wr9SP2ojhriU-zYPlVTLiEJo6Nnzo-BK_UfeCiNALLq-kj738HAGDK9vs3fFxKHTaBRP2UsWeyC8-n5jXI87UL-QEOlw-3wV-LWGozpy0fYlAKNFj-HQ76YRBnsEMvAgJye-nVfUgMDijlImWxOHLvsQ-5JWn23BM9DZVEYrSaNn8kwKWIyB8ZwzB5WG-d-66RPlnBBrKHAbNAH6hlcSuftgTyo2EfyggU1rt9sFib-Rb7xM6MCBOpkBgMcZ847YLEsbgAn_ECrA4euHzgyQyU9BDyRNX7dc-4D_DLQ2MrCsanky2qLY6gwk4QTpog' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T12:48:00.992Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NjcxNzYsImlhdCI6MTc1NTg2Njg3NiwiYXV0aF90aW1lIjoxNzU1ODY2ODc0LCJqdGkiOiIwM2I5MmUyOS04ZDA5LTRiOWQtYmM4ZS03OTI0MTEzN2FmNGMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.L8Tfze_vaKHq2lEyf2uA6KM3Wr9SP2ojhriU-zYPlVTLiEJo6Nnzo-BK_UfeCiNALLq-kj738HAGDK9vs3fFxKHTaBRP2UsWeyC8-n5jXI87UL-QEOlw-3wV-LWGozpy0fYlAKNFj-HQ76YRBnsEMvAgJye-nVfUgMDijlImWxOHLvsQ-5JWn23BM9DZVEYrSaNn8kwKWIyB8ZwzB5WG-d-66RPlnBBrKHAbNAH6hlcSuftgTyo2EfyggU1rt9sFib-Rb7xM6MCBOpkBgMcZ847YLEsbgAn_ECrA4euHzgyQyU9BDyRNX7dc-4D_DLQ2MrCsanky2qLY6gwk4QTpog' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T12:48:02.998Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NjcxNzYsImlhdCI6MTc1NTg2Njg3NiwiYXV0aF90aW1lIjoxNzU1ODY2ODc0LCJqdGkiOiIwM2I5MmUyOS04ZDA5LTRiOWQtYmM4ZS03OTI0MTEzN2FmNGMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.L8Tfze_vaKHq2lEyf2uA6KM3Wr9SP2ojhriU-zYPlVTLiEJo6Nnzo-BK_UfeCiNALLq-kj738HAGDK9vs3fFxKHTaBRP2UsWeyC8-n5jXI87UL-QEOlw-3wV-LWGozpy0fYlAKNFj-HQ76YRBnsEMvAgJye-nVfUgMDijlImWxOHLvsQ-5JWn23BM9DZVEYrSaNn8kwKWIyB8ZwzB5WG-d-66RPlnBBrKHAbNAH6hlcSuftgTyo2EfyggU1rt9sFib-Rb7xM6MCBOpkBgMcZ847YLEsbgAn_ECrA4euHzgyQyU9BDyRNX7dc-4D_DLQ2MrCsanky2qLY6gwk4QTpog' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T12:48:05.123Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NjcxNzYsImlhdCI6MTc1NTg2Njg3NiwiYXV0aF90aW1lIjoxNzU1ODY2ODc0LCJqdGkiOiIwM2I5MmUyOS04ZDA5LTRiOWQtYmM4ZS03OTI0MTEzN2FmNGMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.L8Tfze_vaKHq2lEyf2uA6KM3Wr9SP2ojhriU-zYPlVTLiEJo6Nnzo-BK_UfeCiNALLq-kj738HAGDK9vs3fFxKHTaBRP2UsWeyC8-n5jXI87UL-QEOlw-3wV-LWGozpy0fYlAKNFj-HQ76YRBnsEMvAgJye-nVfUgMDijlImWxOHLvsQ-5JWn23BM9DZVEYrSaNn8kwKWIyB8ZwzB5WG-d-66RPlnBBrKHAbNAH6hlcSuftgTyo2EfyggU1rt9sFib-Rb7xM6MCBOpkBgMcZ847YLEsbgAn_ECrA4euHzgyQyU9BDyRNX7dc-4D_DLQ2MrCsanky2qLY6gwk4QTpog' failed: Establishing a tunnel via proxy server failed.
