[2025-08-22T12:47:15.111Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=4e036811-58c6-4fa7-a0b8-6a4ba07ed2e6&response_mode=fragment&response_type=code&scope=openid&nonce=c535c070-5e77-4d15-9a9b-0040b322267f - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/fhgbl/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-08-22T12:47:15.112Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=4e036811-58c6-4fa7-a0b8-6a4ba07ed2e6&response_mode=fragment&response_type=code&scope=openid&nonce=c535c070-5e77-4d15-9a9b-0040b322267f - Autofocus processing was blocked because a document already has a focused element.

[2025-08-22T12:47:17.454Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NjcxMzYsImlhdCI6MTc1NTg2NjgzNiwiYXV0aF90aW1lIjoxNzU1ODY2ODM1LCJqdGkiOiJkZmUyZTgzNS1mZTFmLTQ3ZTktOWYzMi03MmM1MmZiZWI3MzgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.C0mzEiS1KKAv4Uc1DlAKewK27WydIGFWMNY3ejylhvwKkKOm3B69svCMfQWAptdXK6lgULhlI36FCieyZfeZAZ04HXYJIkadi5BD8PWHUXjbTRcZvdJCXDeHXZu6KjufbSfEMVAKA1JnP2z209ykcTNtLJN-jIhEIYBb6dXCHmqfDIEV71B15yaWa6SsCNxw5AZjaf3-7bvDM-XYmmzYRoCq7sExV1nE2568_SCqwYLLhbTZS9llUbiuK2TBHgLzvNqsmwCOqQ1q0fDanlnKLhRO7VapIwOiwAO3Hj5N2vng6ygVDrCOlMTYscohf1Pfgh_ZkF02xD1d8wc6eqAN-g' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T12:47:19.462Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NjcxMzYsImlhdCI6MTc1NTg2NjgzNiwiYXV0aF90aW1lIjoxNzU1ODY2ODM1LCJqdGkiOiJkZmUyZTgzNS1mZTFmLTQ3ZTktOWYzMi03MmM1MmZiZWI3MzgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.C0mzEiS1KKAv4Uc1DlAKewK27WydIGFWMNY3ejylhvwKkKOm3B69svCMfQWAptdXK6lgULhlI36FCieyZfeZAZ04HXYJIkadi5BD8PWHUXjbTRcZvdJCXDeHXZu6KjufbSfEMVAKA1JnP2z209ykcTNtLJN-jIhEIYBb6dXCHmqfDIEV71B15yaWa6SsCNxw5AZjaf3-7bvDM-XYmmzYRoCq7sExV1nE2568_SCqwYLLhbTZS9llUbiuK2TBHgLzvNqsmwCOqQ1q0fDanlnKLhRO7VapIwOiwAO3Hj5N2vng6ygVDrCOlMTYscohf1Pfgh_ZkF02xD1d8wc6eqAN-g' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T12:47:21.471Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NjcxMzYsImlhdCI6MTc1NTg2NjgzNiwiYXV0aF90aW1lIjoxNzU1ODY2ODM1LCJqdGkiOiJkZmUyZTgzNS1mZTFmLTQ3ZTktOWYzMi03MmM1MmZiZWI3MzgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.C0mzEiS1KKAv4Uc1DlAKewK27WydIGFWMNY3ejylhvwKkKOm3B69svCMfQWAptdXK6lgULhlI36FCieyZfeZAZ04HXYJIkadi5BD8PWHUXjbTRcZvdJCXDeHXZu6KjufbSfEMVAKA1JnP2z209ykcTNtLJN-jIhEIYBb6dXCHmqfDIEV71B15yaWa6SsCNxw5AZjaf3-7bvDM-XYmmzYRoCq7sExV1nE2568_SCqwYLLhbTZS9llUbiuK2TBHgLzvNqsmwCOqQ1q0fDanlnKLhRO7VapIwOiwAO3Hj5N2vng6ygVDrCOlMTYscohf1Pfgh_ZkF02xD1d8wc6eqAN-g' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T12:47:23.586Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NjcxMzYsImlhdCI6MTc1NTg2NjgzNiwiYXV0aF90aW1lIjoxNzU1ODY2ODM1LCJqdGkiOiJkZmUyZTgzNS1mZTFmLTQ3ZTktOWYzMi03MmM1MmZiZWI3MzgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.C0mzEiS1KKAv4Uc1DlAKewK27WydIGFWMNY3ejylhvwKkKOm3B69svCMfQWAptdXK6lgULhlI36FCieyZfeZAZ04HXYJIkadi5BD8PWHUXjbTRcZvdJCXDeHXZu6KjufbSfEMVAKA1JnP2z209ykcTNtLJN-jIhEIYBb6dXCHmqfDIEV71B15yaWa6SsCNxw5AZjaf3-7bvDM-XYmmzYRoCq7sExV1nE2568_SCqwYLLhbTZS9llUbiuK2TBHgLzvNqsmwCOqQ1q0fDanlnKLhRO7VapIwOiwAO3Hj5N2vng6ygVDrCOlMTYscohf1Pfgh_ZkF02xD1d8wc6eqAN-g' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T12:47:25.482Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NjcxMzYsImlhdCI6MTc1NTg2NjgzNiwiYXV0aF90aW1lIjoxNzU1ODY2ODM1LCJqdGkiOiJkZmUyZTgzNS1mZTFmLTQ3ZTktOWYzMi03MmM1MmZiZWI3MzgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.C0mzEiS1KKAv4Uc1DlAKewK27WydIGFWMNY3ejylhvwKkKOm3B69svCMfQWAptdXK6lgULhlI36FCieyZfeZAZ04HXYJIkadi5BD8PWHUXjbTRcZvdJCXDeHXZu6KjufbSfEMVAKA1JnP2z209ykcTNtLJN-jIhEIYBb6dXCHmqfDIEV71B15yaWa6SsCNxw5AZjaf3-7bvDM-XYmmzYRoCq7sExV1nE2568_SCqwYLLhbTZS9llUbiuK2TBHgLzvNqsmwCOqQ1q0fDanlnKLhRO7VapIwOiwAO3Hj5N2vng6ygVDrCOlMTYscohf1Pfgh_ZkF02xD1d8wc6eqAN-g' failed: Establishing a tunnel via proxy server failed.
