[2025-08-22T14:35:07.569Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=614dd032-fe27-4062-8c95-03f47106177d&response_mode=fragment&response_type=code&scope=openid&nonce=6d642fc1-88a4-4f74-a34b-2e15ff060b1b - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/fhgbl/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-08-22T14:35:07.570Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=614dd032-fe27-4062-8c95-03f47106177d&response_mode=fragment&response_type=code&scope=openid&nonce=6d642fc1-88a4-4f74-a34b-2e15ff060b1b - Autofocus processing was blocked because a document already has a focused element.

[2025-08-22T14:35:10.008Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzM2MDksImlhdCI6MTc1NTg3MzMwOSwiYXV0aF90aW1lIjoxNzU1ODczMzA3LCJqdGkiOiIyZmQzZTZlNy1mOTlmLTQ4MDctYjM2NC1jODgzY2IzOGVhMGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Reh4T85JZz7BzWK4BAl3LOqR0qBMr1GZ0SC9NWYKqerk3WySlY8btoHM_40-eKVja6AR5z2SoMkVLYSUFSPFr9-c4N80EC3Xy2qneahu7V8yUgI6Ho02xU7aX486YQe1AXjvD9t2Z0MIrUOsfHv07_eFHBM_1D5azko55Y1FHZhc49KfygMlwHsiGcSUMBjfvQi1-sKTwBOhUZw_x9D9II6MAEBJemuOWlv1g6tL1jPwSJBgQ0uhCqJ-HB2mfI6iZN8F-_eHwVoLpE7PIH4pP_XkV9SjFMciiTw9MByBecCXZ8oSMAWTLhDmlhDd7QCffgEmJ4f--MQ6dltL8q0dPg' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:35:11.890Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzM2MDksImlhdCI6MTc1NTg3MzMwOSwiYXV0aF90aW1lIjoxNzU1ODczMzA3LCJqdGkiOiIyZmQzZTZlNy1mOTlmLTQ4MDctYjM2NC1jODgzY2IzOGVhMGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Reh4T85JZz7BzWK4BAl3LOqR0qBMr1GZ0SC9NWYKqerk3WySlY8btoHM_40-eKVja6AR5z2SoMkVLYSUFSPFr9-c4N80EC3Xy2qneahu7V8yUgI6Ho02xU7aX486YQe1AXjvD9t2Z0MIrUOsfHv07_eFHBM_1D5azko55Y1FHZhc49KfygMlwHsiGcSUMBjfvQi1-sKTwBOhUZw_x9D9II6MAEBJemuOWlv1g6tL1jPwSJBgQ0uhCqJ-HB2mfI6iZN8F-_eHwVoLpE7PIH4pP_XkV9SjFMciiTw9MByBecCXZ8oSMAWTLhDmlhDd7QCffgEmJ4f--MQ6dltL8q0dPg' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:35:14.152Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzM2MDksImlhdCI6MTc1NTg3MzMwOSwiYXV0aF90aW1lIjoxNzU1ODczMzA3LCJqdGkiOiIyZmQzZTZlNy1mOTlmLTQ4MDctYjM2NC1jODgzY2IzOGVhMGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Reh4T85JZz7BzWK4BAl3LOqR0qBMr1GZ0SC9NWYKqerk3WySlY8btoHM_40-eKVja6AR5z2SoMkVLYSUFSPFr9-c4N80EC3Xy2qneahu7V8yUgI6Ho02xU7aX486YQe1AXjvD9t2Z0MIrUOsfHv07_eFHBM_1D5azko55Y1FHZhc49KfygMlwHsiGcSUMBjfvQi1-sKTwBOhUZw_x9D9II6MAEBJemuOWlv1g6tL1jPwSJBgQ0uhCqJ-HB2mfI6iZN8F-_eHwVoLpE7PIH4pP_XkV9SjFMciiTw9MByBecCXZ8oSMAWTLhDmlhDd7QCffgEmJ4f--MQ6dltL8q0dPg' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:35:15.898Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzM2MDksImlhdCI6MTc1NTg3MzMwOSwiYXV0aF90aW1lIjoxNzU1ODczMzA3LCJqdGkiOiIyZmQzZTZlNy1mOTlmLTQ4MDctYjM2NC1jODgzY2IzOGVhMGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Reh4T85JZz7BzWK4BAl3LOqR0qBMr1GZ0SC9NWYKqerk3WySlY8btoHM_40-eKVja6AR5z2SoMkVLYSUFSPFr9-c4N80EC3Xy2qneahu7V8yUgI6Ho02xU7aX486YQe1AXjvD9t2Z0MIrUOsfHv07_eFHBM_1D5azko55Y1FHZhc49KfygMlwHsiGcSUMBjfvQi1-sKTwBOhUZw_x9D9II6MAEBJemuOWlv1g6tL1jPwSJBgQ0uhCqJ-HB2mfI6iZN8F-_eHwVoLpE7PIH4pP_XkV9SjFMciiTw9MByBecCXZ8oSMAWTLhDmlhDd7QCffgEmJ4f--MQ6dltL8q0dPg' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:35:17.921Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzM2MDksImlhdCI6MTc1NTg3MzMwOSwiYXV0aF90aW1lIjoxNzU1ODczMzA3LCJqdGkiOiIyZmQzZTZlNy1mOTlmLTQ4MDctYjM2NC1jODgzY2IzOGVhMGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Reh4T85JZz7BzWK4BAl3LOqR0qBMr1GZ0SC9NWYKqerk3WySlY8btoHM_40-eKVja6AR5z2SoMkVLYSUFSPFr9-c4N80EC3Xy2qneahu7V8yUgI6Ho02xU7aX486YQe1AXjvD9t2Z0MIrUOsfHv07_eFHBM_1D5azko55Y1FHZhc49KfygMlwHsiGcSUMBjfvQi1-sKTwBOhUZw_x9D9II6MAEBJemuOWlv1g6tL1jPwSJBgQ0uhCqJ-HB2mfI6iZN8F-_eHwVoLpE7PIH4pP_XkV9SjFMciiTw9MByBecCXZ8oSMAWTLhDmlhDd7QCffgEmJ4f--MQ6dltL8q0dPg' failed: Establishing a tunnel via proxy server failed.
