[2025-08-22T14:28:33.978Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=fd9284e7-ec88-44dc-8d42-7802eafd8fa3&response_mode=fragment&response_type=code&scope=openid&nonce=b967a532-749e-4dc7-8e91-1864985bad68 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/fhgbl/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-08-22T14:28:33.979Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=fd9284e7-ec88-44dc-8d42-7802eafd8fa3&response_mode=fragment&response_type=code&scope=openid&nonce=b967a532-749e-4dc7-8e91-1864985bad68 - Autofocus processing was blocked because a document already has a focused element.

[2025-08-22T14:28:36.571Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMyMTUsImlhdCI6MTc1NTg3MjkxNSwiYXV0aF90aW1lIjoxNzU1ODcyOTE0LCJqdGkiOiI0YzRiMmEwMS1iOThmLTQ5NjQtOTEwMS1iMmY4MjQ2ODExYTkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.bPzCo3dcHKT-6as5wDKHCDkRPogojmcq0pQafd1b-kTC9lblJkQJEaxQz01OFhh9NNqLf5vXWGozbmeTc1FPFOFHtgkpi_jWLmAFb1Glm3MCt0Caxlpu7m6C6jKPx87E36D1rsnMRSTK6LaehnEJ4zfnRWZMFztWcnPYX7__nWOjJ0usS50WB4fPvJOLOKCvl3asALmTX4-eyxpciQ3hNuxfHx2JveuR6kWczYe_JGlF5RU2bEX7xdvFjgoMuRMrJCXubC_yhC4CkZVoxuGo5LQhtCVX_Wnxaet5reMmWqbIK58g8VSXjADNTGV52xrby4IIXa17tT8kyqdauZ_63g' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:28:38.578Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMyMTUsImlhdCI6MTc1NTg3MjkxNSwiYXV0aF90aW1lIjoxNzU1ODcyOTE0LCJqdGkiOiI0YzRiMmEwMS1iOThmLTQ5NjQtOTEwMS1iMmY4MjQ2ODExYTkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.bPzCo3dcHKT-6as5wDKHCDkRPogojmcq0pQafd1b-kTC9lblJkQJEaxQz01OFhh9NNqLf5vXWGozbmeTc1FPFOFHtgkpi_jWLmAFb1Glm3MCt0Caxlpu7m6C6jKPx87E36D1rsnMRSTK6LaehnEJ4zfnRWZMFztWcnPYX7__nWOjJ0usS50WB4fPvJOLOKCvl3asALmTX4-eyxpciQ3hNuxfHx2JveuR6kWczYe_JGlF5RU2bEX7xdvFjgoMuRMrJCXubC_yhC4CkZVoxuGo5LQhtCVX_Wnxaet5reMmWqbIK58g8VSXjADNTGV52xrby4IIXa17tT8kyqdauZ_63g' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:28:40.585Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMyMTUsImlhdCI6MTc1NTg3MjkxNSwiYXV0aF90aW1lIjoxNzU1ODcyOTE0LCJqdGkiOiI0YzRiMmEwMS1iOThmLTQ5NjQtOTEwMS1iMmY4MjQ2ODExYTkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.bPzCo3dcHKT-6as5wDKHCDkRPogojmcq0pQafd1b-kTC9lblJkQJEaxQz01OFhh9NNqLf5vXWGozbmeTc1FPFOFHtgkpi_jWLmAFb1Glm3MCt0Caxlpu7m6C6jKPx87E36D1rsnMRSTK6LaehnEJ4zfnRWZMFztWcnPYX7__nWOjJ0usS50WB4fPvJOLOKCvl3asALmTX4-eyxpciQ3hNuxfHx2JveuR6kWczYe_JGlF5RU2bEX7xdvFjgoMuRMrJCXubC_yhC4CkZVoxuGo5LQhtCVX_Wnxaet5reMmWqbIK58g8VSXjADNTGV52xrby4IIXa17tT8kyqdauZ_63g' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:28:42.687Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMyMTUsImlhdCI6MTc1NTg3MjkxNSwiYXV0aF90aW1lIjoxNzU1ODcyOTE0LCJqdGkiOiI0YzRiMmEwMS1iOThmLTQ5NjQtOTEwMS1iMmY4MjQ2ODExYTkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.bPzCo3dcHKT-6as5wDKHCDkRPogojmcq0pQafd1b-kTC9lblJkQJEaxQz01OFhh9NNqLf5vXWGozbmeTc1FPFOFHtgkpi_jWLmAFb1Glm3MCt0Caxlpu7m6C6jKPx87E36D1rsnMRSTK6LaehnEJ4zfnRWZMFztWcnPYX7__nWOjJ0usS50WB4fPvJOLOKCvl3asALmTX4-eyxpciQ3hNuxfHx2JveuR6kWczYe_JGlF5RU2bEX7xdvFjgoMuRMrJCXubC_yhC4CkZVoxuGo5LQhtCVX_Wnxaet5reMmWqbIK58g8VSXjADNTGV52xrby4IIXa17tT8kyqdauZ_63g' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:28:44.746Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMyMTUsImlhdCI6MTc1NTg3MjkxNSwiYXV0aF90aW1lIjoxNzU1ODcyOTE0LCJqdGkiOiI0YzRiMmEwMS1iOThmLTQ5NjQtOTEwMS1iMmY4MjQ2ODExYTkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.bPzCo3dcHKT-6as5wDKHCDkRPogojmcq0pQafd1b-kTC9lblJkQJEaxQz01OFhh9NNqLf5vXWGozbmeTc1FPFOFHtgkpi_jWLmAFb1Glm3MCt0Caxlpu7m6C6jKPx87E36D1rsnMRSTK6LaehnEJ4zfnRWZMFztWcnPYX7__nWOjJ0usS50WB4fPvJOLOKCvl3asALmTX4-eyxpciQ3hNuxfHx2JveuR6kWczYe_JGlF5RU2bEX7xdvFjgoMuRMrJCXubC_yhC4CkZVoxuGo5LQhtCVX_Wnxaet5reMmWqbIK58g8VSXjADNTGV52xrby4IIXa17tT8kyqdauZ_63g' failed: Establishing a tunnel via proxy server failed.
