[2025-08-22T14:33:29.059Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=0c85d83d-144e-4e32-8e01-6c93606035df&response_mode=fragment&response_type=code&scope=openid&nonce=64873155-265f-4856-868b-a84ddbd583ea - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/fhgbl/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-08-22T14:33:29.059Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=0c85d83d-144e-4e32-8e01-6c93606035df&response_mode=fragment&response_type=code&scope=openid&nonce=64873155-265f-4856-868b-a84ddbd583ea - Autofocus processing was blocked because a document already has a focused element.

[2025-08-22T14:33:31.499Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzM1MTAsImlhdCI6MTc1NTg3MzIxMCwiYXV0aF90aW1lIjoxNzU1ODczMjA5LCJqdGkiOiJjNThlNzcwZi0zNDI4LTRmN2UtYWIzMS01YmNjZTg3MTdmZWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VwpxF9RTbzLyk_PrZqeTXQfYhmJVtJBgemVYAqjH9f5i5Thx273dv_zDFP_Lj0L97X-qu6aWa16ITyJt1FEycPJ1X_zUHK4yuRyb9P3Ba6o0ycXj54FoQjNwwVzazOMpqQqn_19noWqio7qdjmbss9kyB9dLL5km1-zDuqs0R6JJ6mBx7Uyxp0NF5y9M70jyOz_xp9XuJ2GQqrGZcp2RGKdSxF2xbyPCZRy-nznwTD44tD7dLgXtfzXwmcWeWqcUj6LP3SbdYcR-djtthA2-w-H3tBbT2P03bO6QocD95kvnZM3UGCuIXKnE8btnqoK4lshk1dmR5pEowKPO64m9Cw' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:33:33.353Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzM1MTAsImlhdCI6MTc1NTg3MzIxMCwiYXV0aF90aW1lIjoxNzU1ODczMjA5LCJqdGkiOiJjNThlNzcwZi0zNDI4LTRmN2UtYWIzMS01YmNjZTg3MTdmZWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VwpxF9RTbzLyk_PrZqeTXQfYhmJVtJBgemVYAqjH9f5i5Thx273dv_zDFP_Lj0L97X-qu6aWa16ITyJt1FEycPJ1X_zUHK4yuRyb9P3Ba6o0ycXj54FoQjNwwVzazOMpqQqn_19noWqio7qdjmbss9kyB9dLL5km1-zDuqs0R6JJ6mBx7Uyxp0NF5y9M70jyOz_xp9XuJ2GQqrGZcp2RGKdSxF2xbyPCZRy-nznwTD44tD7dLgXtfzXwmcWeWqcUj6LP3SbdYcR-djtthA2-w-H3tBbT2P03bO6QocD95kvnZM3UGCuIXKnE8btnqoK4lshk1dmR5pEowKPO64m9Cw' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:33:35.640Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzM1MTAsImlhdCI6MTc1NTg3MzIxMCwiYXV0aF90aW1lIjoxNzU1ODczMjA5LCJqdGkiOiJjNThlNzcwZi0zNDI4LTRmN2UtYWIzMS01YmNjZTg3MTdmZWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VwpxF9RTbzLyk_PrZqeTXQfYhmJVtJBgemVYAqjH9f5i5Thx273dv_zDFP_Lj0L97X-qu6aWa16ITyJt1FEycPJ1X_zUHK4yuRyb9P3Ba6o0ycXj54FoQjNwwVzazOMpqQqn_19noWqio7qdjmbss9kyB9dLL5km1-zDuqs0R6JJ6mBx7Uyxp0NF5y9M70jyOz_xp9XuJ2GQqrGZcp2RGKdSxF2xbyPCZRy-nznwTD44tD7dLgXtfzXwmcWeWqcUj6LP3SbdYcR-djtthA2-w-H3tBbT2P03bO6QocD95kvnZM3UGCuIXKnE8btnqoK4lshk1dmR5pEowKPO64m9Cw' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:33:37.379Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzM1MTAsImlhdCI6MTc1NTg3MzIxMCwiYXV0aF90aW1lIjoxNzU1ODczMjA5LCJqdGkiOiJjNThlNzcwZi0zNDI4LTRmN2UtYWIzMS01YmNjZTg3MTdmZWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VwpxF9RTbzLyk_PrZqeTXQfYhmJVtJBgemVYAqjH9f5i5Thx273dv_zDFP_Lj0L97X-qu6aWa16ITyJt1FEycPJ1X_zUHK4yuRyb9P3Ba6o0ycXj54FoQjNwwVzazOMpqQqn_19noWqio7qdjmbss9kyB9dLL5km1-zDuqs0R6JJ6mBx7Uyxp0NF5y9M70jyOz_xp9XuJ2GQqrGZcp2RGKdSxF2xbyPCZRy-nznwTD44tD7dLgXtfzXwmcWeWqcUj6LP3SbdYcR-djtthA2-w-H3tBbT2P03bO6QocD95kvnZM3UGCuIXKnE8btnqoK4lshk1dmR5pEowKPO64m9Cw' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:33:39.405Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzM1MTAsImlhdCI6MTc1NTg3MzIxMCwiYXV0aF90aW1lIjoxNzU1ODczMjA5LCJqdGkiOiJjNThlNzcwZi0zNDI4LTRmN2UtYWIzMS01YmNjZTg3MTdmZWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VwpxF9RTbzLyk_PrZqeTXQfYhmJVtJBgemVYAqjH9f5i5Thx273dv_zDFP_Lj0L97X-qu6aWa16ITyJt1FEycPJ1X_zUHK4yuRyb9P3Ba6o0ycXj54FoQjNwwVzazOMpqQqn_19noWqio7qdjmbss9kyB9dLL5km1-zDuqs0R6JJ6mBx7Uyxp0NF5y9M70jyOz_xp9XuJ2GQqrGZcp2RGKdSxF2xbyPCZRy-nznwTD44tD7dLgXtfzXwmcWeWqcUj6LP3SbdYcR-djtthA2-w-H3tBbT2P03bO6QocD95kvnZM3UGCuIXKnE8btnqoK4lshk1dmR5pEowKPO64m9Cw' failed: Establishing a tunnel via proxy server failed.
