[2025-08-22T14:27:28.405Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b2a07405-2757-47da-a5df-295dd383484a&response_mode=fragment&response_type=code&scope=openid&nonce=87a7951f-ab84-49c5-a7af-74150ccb9b4a - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/fhgbl/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-08-22T14:27:28.406Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b2a07405-2757-47da-a5df-295dd383484a&response_mode=fragment&response_type=code&scope=openid&nonce=87a7951f-ab84-49c5-a7af-74150ccb9b4a - Autofocus processing was blocked because a document already has a focused element.

[2025-08-22T14:27:30.881Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMxNDksImlhdCI6MTc1NTg3Mjg0OSwiYXV0aF90aW1lIjoxNzU1ODcyODQ4LCJqdGkiOiIyODllMWRiNC1lNzVkLTQxZTItOGI3ZC04Yjc0NGRmMDg2YjQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.TUV7hEibfXftuNgNzoOjhxqfJamEM-01kPiTWjbKxhMvJtgcShY6AnPhIMaW64vQlvTEmQKVz14IvdLhCDclheJ7sxAec3LBtIQ4IPb3o8m2Q5_pbQVJXQ-Ug7Hw6KR8VEHM5-rn0RGk-OU64XP90pcQSMLN_7n1tNU43DsrzjfqI-lo5Xu21u1zTnxlBrO_SvjHloGmYd_l4bX7ZPDluyMJUnGQumBQhohYcw8GrPuwLDp2VB1x3q0SjfTaKhD6_wYTqPLJpRtktjODo6omv-PcnN9omzT-mQly7vvYyMKU7jXFaMJ3yebv9MZ7dEiyy0PTC15yXiMKKzhTiCZMIg' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:27:32.690Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMxNDksImlhdCI6MTc1NTg3Mjg0OSwiYXV0aF90aW1lIjoxNzU1ODcyODQ4LCJqdGkiOiIyODllMWRiNC1lNzVkLTQxZTItOGI3ZC04Yjc0NGRmMDg2YjQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.TUV7hEibfXftuNgNzoOjhxqfJamEM-01kPiTWjbKxhMvJtgcShY6AnPhIMaW64vQlvTEmQKVz14IvdLhCDclheJ7sxAec3LBtIQ4IPb3o8m2Q5_pbQVJXQ-Ug7Hw6KR8VEHM5-rn0RGk-OU64XP90pcQSMLN_7n1tNU43DsrzjfqI-lo5Xu21u1zTnxlBrO_SvjHloGmYd_l4bX7ZPDluyMJUnGQumBQhohYcw8GrPuwLDp2VB1x3q0SjfTaKhD6_wYTqPLJpRtktjODo6omv-PcnN9omzT-mQly7vvYyMKU7jXFaMJ3yebv9MZ7dEiyy0PTC15yXiMKKzhTiCZMIg' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:27:34.828Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMxNDksImlhdCI6MTc1NTg3Mjg0OSwiYXV0aF90aW1lIjoxNzU1ODcyODQ4LCJqdGkiOiIyODllMWRiNC1lNzVkLTQxZTItOGI3ZC04Yjc0NGRmMDg2YjQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.TUV7hEibfXftuNgNzoOjhxqfJamEM-01kPiTWjbKxhMvJtgcShY6AnPhIMaW64vQlvTEmQKVz14IvdLhCDclheJ7sxAec3LBtIQ4IPb3o8m2Q5_pbQVJXQ-Ug7Hw6KR8VEHM5-rn0RGk-OU64XP90pcQSMLN_7n1tNU43DsrzjfqI-lo5Xu21u1zTnxlBrO_SvjHloGmYd_l4bX7ZPDluyMJUnGQumBQhohYcw8GrPuwLDp2VB1x3q0SjfTaKhD6_wYTqPLJpRtktjODo6omv-PcnN9omzT-mQly7vvYyMKU7jXFaMJ3yebv9MZ7dEiyy0PTC15yXiMKKzhTiCZMIg' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:27:36.761Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMxNDksImlhdCI6MTc1NTg3Mjg0OSwiYXV0aF90aW1lIjoxNzU1ODcyODQ4LCJqdGkiOiIyODllMWRiNC1lNzVkLTQxZTItOGI3ZC04Yjc0NGRmMDg2YjQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.TUV7hEibfXftuNgNzoOjhxqfJamEM-01kPiTWjbKxhMvJtgcShY6AnPhIMaW64vQlvTEmQKVz14IvdLhCDclheJ7sxAec3LBtIQ4IPb3o8m2Q5_pbQVJXQ-Ug7Hw6KR8VEHM5-rn0RGk-OU64XP90pcQSMLN_7n1tNU43DsrzjfqI-lo5Xu21u1zTnxlBrO_SvjHloGmYd_l4bX7ZPDluyMJUnGQumBQhohYcw8GrPuwLDp2VB1x3q0SjfTaKhD6_wYTqPLJpRtktjODo6omv-PcnN9omzT-mQly7vvYyMKU7jXFaMJ3yebv9MZ7dEiyy0PTC15yXiMKKzhTiCZMIg' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:27:38.735Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMxNDksImlhdCI6MTc1NTg3Mjg0OSwiYXV0aF90aW1lIjoxNzU1ODcyODQ4LCJqdGkiOiIyODllMWRiNC1lNzVkLTQxZTItOGI3ZC04Yjc0NGRmMDg2YjQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.TUV7hEibfXftuNgNzoOjhxqfJamEM-01kPiTWjbKxhMvJtgcShY6AnPhIMaW64vQlvTEmQKVz14IvdLhCDclheJ7sxAec3LBtIQ4IPb3o8m2Q5_pbQVJXQ-Ug7Hw6KR8VEHM5-rn0RGk-OU64XP90pcQSMLN_7n1tNU43DsrzjfqI-lo5Xu21u1zTnxlBrO_SvjHloGmYd_l4bX7ZPDluyMJUnGQumBQhohYcw8GrPuwLDp2VB1x3q0SjfTaKhD6_wYTqPLJpRtktjODo6omv-PcnN9omzT-mQly7vvYyMKU7jXFaMJ3yebv9MZ7dEiyy0PTC15yXiMKKzhTiCZMIg' failed: Establishing a tunnel via proxy server failed.
