[2025-08-22T14:27:36.782Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=271e1807-c4e7-4786-80e9-aff4fb47d3e3&response_mode=fragment&response_type=code&scope=openid&nonce=c9a78069-ec39-443c-833b-3e3f2e5109ee - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/fhgbl/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-08-22T14:27:36.783Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=271e1807-c4e7-4786-80e9-aff4fb47d3e3&response_mode=fragment&response_type=code&scope=openid&nonce=c9a78069-ec39-443c-833b-3e3f2e5109ee - Autofocus processing was blocked because a document already has a focused element.

[2025-08-22T14:27:39.254Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMxNTgsImlhdCI6MTc1NTg3Mjg1OCwiYXV0aF90aW1lIjoxNzU1ODcyODU3LCJqdGkiOiJjMzgwMDFkMS1jMTEyLTQ0ZTgtOTY1ZC1mNTU2YjZjMGQ1Y2EiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.lQfX6oAXlQRk4C-hjuP1LhkEckVdJqxcCSD6HFQMwRZCNlAsIgwu92eG7OeNpze-3irD1vPjKxP5xle5fNpoZgvW1oAxoWPxQHnjVzsBH4-4UXsFhyL6GQHBXp0c1P_MBxX3yaMsKq7sz1Dc8AdF5FcmZCwwx5U7UcqOX7uRzm9yOCT-ziPKQzRT2aQMkkgGFbUgXElvs8N-sOhbjwnLijl9O5xwc4WEsZ0NZPouYChuRyWe0lOAvVVjBIlIPst444JwumpT5K1ME1PQ6PiUOvvIRVVCyNMSRP3OhAeEyjLBT7ZdFwwHlw7b2L1y0s4my_xqjYteQucuXll4-TnvTA' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:27:41.126Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMxNTgsImlhdCI6MTc1NTg3Mjg1OCwiYXV0aF90aW1lIjoxNzU1ODcyODU3LCJqdGkiOiJjMzgwMDFkMS1jMTEyLTQ0ZTgtOTY1ZC1mNTU2YjZjMGQ1Y2EiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.lQfX6oAXlQRk4C-hjuP1LhkEckVdJqxcCSD6HFQMwRZCNlAsIgwu92eG7OeNpze-3irD1vPjKxP5xle5fNpoZgvW1oAxoWPxQHnjVzsBH4-4UXsFhyL6GQHBXp0c1P_MBxX3yaMsKq7sz1Dc8AdF5FcmZCwwx5U7UcqOX7uRzm9yOCT-ziPKQzRT2aQMkkgGFbUgXElvs8N-sOhbjwnLijl9O5xwc4WEsZ0NZPouYChuRyWe0lOAvVVjBIlIPst444JwumpT5K1ME1PQ6PiUOvvIRVVCyNMSRP3OhAeEyjLBT7ZdFwwHlw7b2L1y0s4my_xqjYteQucuXll4-TnvTA' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:27:43.146Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMxNTgsImlhdCI6MTc1NTg3Mjg1OCwiYXV0aF90aW1lIjoxNzU1ODcyODU3LCJqdGkiOiJjMzgwMDFkMS1jMTEyLTQ0ZTgtOTY1ZC1mNTU2YjZjMGQ1Y2EiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.lQfX6oAXlQRk4C-hjuP1LhkEckVdJqxcCSD6HFQMwRZCNlAsIgwu92eG7OeNpze-3irD1vPjKxP5xle5fNpoZgvW1oAxoWPxQHnjVzsBH4-4UXsFhyL6GQHBXp0c1P_MBxX3yaMsKq7sz1Dc8AdF5FcmZCwwx5U7UcqOX7uRzm9yOCT-ziPKQzRT2aQMkkgGFbUgXElvs8N-sOhbjwnLijl9O5xwc4WEsZ0NZPouYChuRyWe0lOAvVVjBIlIPst444JwumpT5K1ME1PQ6PiUOvvIRVVCyNMSRP3OhAeEyjLBT7ZdFwwHlw7b2L1y0s4my_xqjYteQucuXll4-TnvTA' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:27:45.255Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMxNTgsImlhdCI6MTc1NTg3Mjg1OCwiYXV0aF90aW1lIjoxNzU1ODcyODU3LCJqdGkiOiJjMzgwMDFkMS1jMTEyLTQ0ZTgtOTY1ZC1mNTU2YjZjMGQ1Y2EiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.lQfX6oAXlQRk4C-hjuP1LhkEckVdJqxcCSD6HFQMwRZCNlAsIgwu92eG7OeNpze-3irD1vPjKxP5xle5fNpoZgvW1oAxoWPxQHnjVzsBH4-4UXsFhyL6GQHBXp0c1P_MBxX3yaMsKq7sz1Dc8AdF5FcmZCwwx5U7UcqOX7uRzm9yOCT-ziPKQzRT2aQMkkgGFbUgXElvs8N-sOhbjwnLijl9O5xwc4WEsZ0NZPouYChuRyWe0lOAvVVjBIlIPst444JwumpT5K1ME1PQ6PiUOvvIRVVCyNMSRP3OhAeEyjLBT7ZdFwwHlw7b2L1y0s4my_xqjYteQucuXll4-TnvTA' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:27:47.176Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMxNTgsImlhdCI6MTc1NTg3Mjg1OCwiYXV0aF90aW1lIjoxNzU1ODcyODU3LCJqdGkiOiJjMzgwMDFkMS1jMTEyLTQ0ZTgtOTY1ZC1mNTU2YjZjMGQ1Y2EiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.lQfX6oAXlQRk4C-hjuP1LhkEckVdJqxcCSD6HFQMwRZCNlAsIgwu92eG7OeNpze-3irD1vPjKxP5xle5fNpoZgvW1oAxoWPxQHnjVzsBH4-4UXsFhyL6GQHBXp0c1P_MBxX3yaMsKq7sz1Dc8AdF5FcmZCwwx5U7UcqOX7uRzm9yOCT-ziPKQzRT2aQMkkgGFbUgXElvs8N-sOhbjwnLijl9O5xwc4WEsZ0NZPouYChuRyWe0lOAvVVjBIlIPst444JwumpT5K1ME1PQ6PiUOvvIRVVCyNMSRP3OhAeEyjLBT7ZdFwwHlw7b2L1y0s4my_xqjYteQucuXll4-TnvTA' failed: Establishing a tunnel via proxy server failed.
