[2025-08-22T14:26:29.756Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b484bdb6-4627-417c-95b0-0dc88c860c04&response_mode=fragment&response_type=code&scope=openid&nonce=f23921d8-a54e-4a93-b622-1cc2dfb17d5c - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/fhgbl/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-08-22T14:26:29.757Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b484bdb6-4627-417c-95b0-0dc88c860c04&response_mode=fragment&response_type=code&scope=openid&nonce=f23921d8-a54e-4a93-b622-1cc2dfb17d5c - Autofocus processing was blocked because a document already has a focused element.

[2025-08-22T14:26:32.504Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMwOTEsImlhdCI6MTc1NTg3Mjc5MSwiYXV0aF90aW1lIjoxNzU1ODcyNzkwLCJqdGkiOiIyMjFhODcyMC02ZjdmLTQ0NTYtOGFiMC02NTZlZjIyMzlkZTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ocnEwuo9AycOLDGKwsgJR-VhlIQcqoiWmYyezr1CFL1X3RGPbeWxImov60HqLWRhqc6T3lGgw31n57pqW6ZOkzxawstLaT6IZiKJzcOEooBq7zKHZydYvoGyh8xFq3IGObVFZ9pO23dKyV6_qmk3Cu1fqBd8tjlJKJ1khWuJhgiKD7ZdgzaN9cPokI_LauNuVplzfnHmgd2ry1AyToDka9Uui5s3Xbt4t17q1L6o7k-HBrCHc7t2ccvGtWcxn467KJMMZFkXLfEu9ub0yAJw8WsA5AXbyeDg6RmO_SLL5N7CWWpARDF0k9knfMQx4aGpKjPZFgRALJDtHJ7CzVRZ7w' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:26:34.320Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMwOTEsImlhdCI6MTc1NTg3Mjc5MSwiYXV0aF90aW1lIjoxNzU1ODcyNzkwLCJqdGkiOiIyMjFhODcyMC02ZjdmLTQ0NTYtOGFiMC02NTZlZjIyMzlkZTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ocnEwuo9AycOLDGKwsgJR-VhlIQcqoiWmYyezr1CFL1X3RGPbeWxImov60HqLWRhqc6T3lGgw31n57pqW6ZOkzxawstLaT6IZiKJzcOEooBq7zKHZydYvoGyh8xFq3IGObVFZ9pO23dKyV6_qmk3Cu1fqBd8tjlJKJ1khWuJhgiKD7ZdgzaN9cPokI_LauNuVplzfnHmgd2ry1AyToDka9Uui5s3Xbt4t17q1L6o7k-HBrCHc7t2ccvGtWcxn467KJMMZFkXLfEu9ub0yAJw8WsA5AXbyeDg6RmO_SLL5N7CWWpARDF0k9knfMQx4aGpKjPZFgRALJDtHJ7CzVRZ7w' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:26:36.143Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=5560faff-4053-4bee-8dc0-4eb0c1475ab0&response_mode=fragment&response_type=code&scope=openid&nonce=2752b805-f9bc-4b35-86dc-73b5f3cc90a2 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/fhgbl/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-08-22T14:26:38.713Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMwOTcsImlhdCI6MTc1NTg3Mjc5NywiYXV0aF90aW1lIjoxNzU1ODcyNzk2LCJqdGkiOiIwMDhmMjMyZC04NzZhLTQzNDAtOWY2MS1kMGMzMGVjMGUyZmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.b4wXB7jZnP0yjv_tq_FeCr8sH72hdheJfIBASSJyTuBSLUnd1QwLeawBMkmwtxpDnYnB79j5TdfntWLXx9LRN1KZ78bef316C8OBV2qfRaBntaAxct1-0UUS6CS0_6jyZmRX9JCqli0yjqHiglOfZ4aNilMhtrL7ekMnFVdIw3d9Jw_wjtJcgthzyFSVWEp35oRB4DJdNfiJIQkHLsMNKPigcKjm_bqf092q2HrB3EwlofOsVztdRceqTlAKTiE3H5Tic-6dIbdtZJH_pIamA1QWxjbAbe7AVK9ZrJcItTrvZH1eGoti6nwH8_8QzPydDtbZ5kcKU_K272nO7irqxw' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:26:40.722Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMwOTcsImlhdCI6MTc1NTg3Mjc5NywiYXV0aF90aW1lIjoxNzU1ODcyNzk2LCJqdGkiOiIwMDhmMjMyZC04NzZhLTQzNDAtOWY2MS1kMGMzMGVjMGUyZmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.b4wXB7jZnP0yjv_tq_FeCr8sH72hdheJfIBASSJyTuBSLUnd1QwLeawBMkmwtxpDnYnB79j5TdfntWLXx9LRN1KZ78bef316C8OBV2qfRaBntaAxct1-0UUS6CS0_6jyZmRX9JCqli0yjqHiglOfZ4aNilMhtrL7ekMnFVdIw3d9Jw_wjtJcgthzyFSVWEp35oRB4DJdNfiJIQkHLsMNKPigcKjm_bqf092q2HrB3EwlofOsVztdRceqTlAKTiE3H5Tic-6dIbdtZJH_pIamA1QWxjbAbe7AVK9ZrJcItTrvZH1eGoti6nwH8_8QzPydDtbZ5kcKU_K272nO7irqxw' failed: Establishing a tunnel via proxy server failed.
